,verse,terminacion
0,Hanoi en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Hanoi los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Hanoi si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Hanoi estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Hanoi los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Hanoi nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Hanoi con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Hanoi dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Hanoi la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Hanoi composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Hanoi márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Hanoi la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Hanoi conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Hanoi un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Hanoi el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Hanoi la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Hanoi la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Hanoi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Hanoi su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Hanoi en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Hanoi atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Hanoi gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Hanoi los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Hanoi al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Hanoi de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Hanoi estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
26,Hanoi también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
27,Hanoi los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
28,Hanoi gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
29,Hanoi consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Hanoi es un convenio sobre el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
31,Hanoi ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
32,Hanoi de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
33,Hanoi de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
34,Hanoi la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
35,Hanoi a la sociedad de la sonientia,"[<'so':sV>, <'nien':cvVc>, <'tia':cvV>]"
36,Hanoi de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
37,Hanoi con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
38,Hanoi la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
39,Hanoi la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
40,Hanoi la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
41,Hanoi políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
42,Hanoi con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
43,Hanoi la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
44,Hanoi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
45,Hanoi de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
46,Hanoi la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
47,Hanoi tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
48,Hanoi en la caleración del carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
49,Hanoi que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
50,Hanoi de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
51,Hanoi el sistema de la organización,"[<'or':Vc>, <'ga':cV>, <'ni':cv>, <'za':cV>, <'ción':cvVc>]"
52,Hanoi la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
53,Hanoi de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
54,Hanoi emisiones de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
55,Hanoi la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
56,Hanoi de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
57,Hanoi centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
58,Hanoi de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
59,Hanoi medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
60,Hanoi bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
61,Hanoi en el correcionar nuestra parte,"[<'par':cVc>, <'te':cV>]"
62,Hanoi de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
63,Hanoi continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
64,Hanoi la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
65,Hanoi por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
66,Hanoi estados para las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
67,Hanoi electricidad en las medidas,"[<'me':cV>, <'di':cv>, <'das':cVs>]"
68,Hanoi de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
69,Hanoi las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
70,Hanoi modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
71,Hanoi de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
72,Hanoi la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
73,Hanoi funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
74,Hanoi como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
75,Hanoi registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
76,Hanoi como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
77,Hanoi contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
78,Hanoi primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
79,Hanoi las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
80,Hanoi de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
81,Hanoi contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
82,Hanoi sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
83,Hanoi de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
84,Hanoi del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
85,Hanoi los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
86,Hanoi de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
87,Hanoi mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
88,Hanoi la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
89,Hanoi la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
90,Hanoi previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
91,Hanoi en la recisión de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
92,Hanoi del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
93,Hanoi por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
94,Hanoi los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
95,Hanoi la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
96,Hanoi puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
97,Hanoi te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
98,Hanoi de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
99,Hanoi de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
100,Hanoi contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
101,Hanoi cantidad de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
102,Hanoi mantenida entre la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
103,Hanoi con el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
104,Hanoi el calentamiento medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
105,Hanoi pueden el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
106,Hanoi mercado que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
107,Hanoi de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
108,Hanoi las países para virturar,"[<'vi':cv>, <'rtu':ccv>, <'rar':cVc>]"
109,Hanoi la concentración de la educción,"[<'e':V>, <'duc':cvc>, <'ción':cvVc>]"
110,Hanoi la contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
111,Hanoi de energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
112,Hanoi pueda despertar lo que es una,"[<'u':v>, <'na':cV>]"
113,Hanoi de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
114,Hanoi fósiles y las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
115,Hanoi la superficie de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
116,Hanoi de los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
117,Hanoi la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
118,Hanoi información de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
119,Hanoi de carbono algo internacional,"[<'in':vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nal':cVc>]"
120,Hanoi en el actual también en el medio,"[<'me':cV>, <'dio':cvV>]"
121,Hanoi la reducida del principal,"[<'prin':ccvc>, <'ci':cv>, <'pal':cVc>]"
122,Hanoi principal responsar la salud,"[<'sa':sV>, <'lud':cvc>]"
123,Hanoi partir del problema del medio,"[<'me':cV>, <'dio':cvV>]"
124,Hanoi del problema del medio ambiente,"[<'am':Vc>, <'bien':cvVc>, <'te':cV>]"
125,Hanoi se ha encreto de los distintos,"[<'dis':cvs>, <'tin':cvc>, <'tos':cVs>]"
126,Hanoi los de los civilizaciones,"[<'ci':cv>, <'vi':cv>, <'li':cv>, <'za':cV>, <'cio':cvV>, <'nes':cVs>]"
127,Hanoi la temperatura del nivel,"[<'ni':cv>, <'vel':cVc>]"
128,Hanoi contribución a la precisión,"[<'pre':ccV>, <'ci':cv>, <'sión':svVc>]"
129,Hanoi los periodos del pauso medio,"[<'me':cV>, <'dio':cvV>]"
130,Hanoi medidas por la emisión de este,"[<'es':Vs>, <'te':cV>]"
131,Hanoi de carbono para el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
132,Hanoi de eren en las palanidades,"[<'pa':cV>, <'la':cV>, <'ni':cv>, <'da':cV>, <'des':cVs>]"
133,Hanoi medio ambiente por la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
134,Hanoi de agua tantos de los modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
135,Hanoi dicionadas de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
136,Hanoi los países temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
137,Hanoi contribuir el albedo es la alta,"[<'al':Vc>, <'ta':cV>]"
138,Hanoi concentración de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
139,Hanoi la contribución del mar soda,"[<'so':sV>, <'da':cV>]"
140,Hanoi contribución del mar soda este,"[<'es':Vs>, <'te':cV>]"
141,Hanoi ción en la actividad del nivel,"[<'ni':cv>, <'vel':cVc>]"
142,Hanoi medio ambiente y un problema,"[<'pro':ccV>, <'ble':ccV>, <'ma':cV>]"
143,Hanoi y un problema de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
144,Hanoi la contención al energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
145,Hanoi con el sector energético,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'co':cV>]"
146,Hanoi mundo en el besta del modelo,"[<'mo':cV>, <'de':cV>, <'lo':cV>]"
147,Hanoi la internacional del convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
148,Hanoi de la cual controlar el amor,"[<'a':V>, <'mor':cVc>]"
149,Hanoi esta desestudión de los pasos,"[<'pa':cV>, <'sos':sVs>]"
150,Hanoi de las partes de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
151,Hanoi los contenidos por la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
152,Hanoi golíticos entre la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
153,Hanoi el gas de la esta de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
154,Hanoi estados de sus actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
155,Hanoi sus actividades por solo,"[<'so':sV>, <'lo':cV>]"
156,Hanoi la ieversidad dio esta tendencia,"[<'ten':cVc>, <'den':cVc>, <'cia':cvV>]"
157,Hanoi guarda ante para lo que es algo,"[<'al':Vc>, <'go':cV>]"
158,Hanoi que el consumo en la mayor parte,"[<'par':cVc>, <'te':cV>]"
159,Hanoi la consecuencia energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
160,Hanoi calar el informe del nivel,"[<'ni':cv>, <'vel':cVc>]"
161,Hanoi los países de los pationes,"[<'pa':cV>, <'tio':cvV>, <'nes':cVs>]"
162,Hanoi de la estrategia de los pales,"[<'pa':cV>, <'les':cVs>]"
163,Hanoi contribución a la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
164,Hanoi de la sociedad de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
165,Hanoi esta concentración de las partes,"[<'par':cVc>, <'tes':cVs>]"
166,Hanoi la deficienta de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
167,Hanoi de carbono de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
168,Hanoi de la conferencia del país,"[<'pa':cV>, <'ís':Vs>]"
169,Hanoi del país de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
170,Hanoi la cumbre del clima este estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
