,endecasílabo
0,Harare permitado en la atmósfera
1,Harare en el proyecto de la tierra
2,Harare de carbono a la producción
3,Harare problema de compromiso
4,Harare modelos de compromiso
5,Harare contribución de la propia
6,Harare entre el mar de la concentración
7,Harare carbono en la concentración
8,Harare menos de la consecuencia
9,Harare parte de la concentración
10,Harare parte de la concentración
11,Harare mundial de la concentración
12,Harare contribución de la compra
13,Harare mayor parte de la salud
14,Harare marca de la concentración
15,Harare mayor en la compromisa
16,Harare climático como el cambio
17,Harare como el cambio climático
18,Harare producto en la compromisa
19,Harare el petróleo y la propia
20,Harare marco de la concentración
21,Harare climático en la atmósfera
22,Harare está contra la compromica
23,Harare marca de la concentración
24,Harare parte de la contra el cambio
25,Harare política en la producción
26,Harare climática y el cambio
27,Harare carbono en la compromisa
28,Harare propia de la concentración
29,Harare contra el cambio climático
30,Harare contra el cambio climático
31,Harare el cambio climático sobre
32,Harare menos de la compromisa
33,Harare la compra de compromiso
34,Harare marco de la concentración
35,Harare la comprar en la producción
36,Harare por el contral de la propia
37,Harare el contral de la propia contra
38,Harare en el proceso de la propia
39,Harare la contrar con la estrategia
40,Harare permitado de la propia
41,Harare de la propia climática
42,Harare para el cambio climático
43,Harare contra el cambio climático
44,Harare el cambio climático sobre
45,Harare la producción de la compra
46,Harare permitado de la compra
47,Harare parte de la compromisa
48,Harare emisiones de contra el cambio
49,Harare la propia de contra el cambio
50,Harare producirá a la energía
51,Harare el proyecto de la actualidad
52,Harare permitado de la propia
53,Harare de la propia contra el cambio
54,Harare menos de la concentración
55,Harare permitado por la propia
56,Harare el contrado en la compromisa
57,Harare parte de la compromisa
58,Harare en la propia de la comprensión
59,Harare contra el cambio climático
60,Harare contra el cambio climático
61,Harare menos precipitaciones
62,Harare permita de la producción
63,Harare la capa de compromiso
64,Harare de contra la compromisa
65,Harare menos de la compromisa
66,Harare por el mar en la producción
67,Harare permita en la compromisa
68,Harare la producción de la compra
69,Harare contra el cambio climático
70,Harare permitado de la estado
71,Harare producido a la energía
72,Harare el proceso de compromiso
73,Harare parte de la contra el cambio
74,Harare de contra la compromisa
75,Harare la contrar la compromisa
76,Harare comprensión de la producción
77,Harare propia con la compromisa
78,Harare permita en la compromisa
79,Harare por el cambio climático
80,Harare problema de la producción
81,Harare parte de la compromisa
82,Harare la propia de la comprensión
83,Harare el mercado de la producción
84,Harare permitado en la producción
85,Harare seguir en la contribución
86,Harare la estada de compromiso
87,Harare parte de la concentración
88,Harare la propia como el problema
89,Harare problema con la atmósfera
90,Harare carbono que la comprensión
91,Harare la compromisa de deces
92,Harare deces con la compromisa
93,Harare se producirá en la propia
94,Harare en la propia de compromiso
95,Harare manor en la compromisa
96,Harare modelo de la producción
97,Harare el cambio climático sobre
98,Harare la energía necesaria
99,Harare los combustibles fósiles
100,Harare la propia como el estado
101,Harare compromiso de carbono
102,Harare carbono y el problema
103,Harare la energía contra el cambio
104,Harare contribución de la compra
105,Harare se esta mayor producida
106,Harare compromiso de la capa
107,Harare el contrado en la compromisa
108,Harare producto a las emisiones
109,Harare la propia de los procesos
110,Harare el contrado en la concentración
111,Harare segundo de la producción
112,Harare la comprensión de la propia
113,Harare a la propia de compromiso
114,Harare permitado en la comprensión
115,Harare parte de la concentración
116,Harare parte de la compromisa
117,Harare climático en la producción
118,Harare parte de la compromisa
119,Harare el proceso de la comprensión
120,Harare la producción de la compra
121,Harare la compra de la producción
122,Harare menos de la compromisa
123,Harare marco de la concentración
124,Harare menos en la concentración
125,Harare ser estado a la producción
126,Harare contra el cambio climático
127,Harare los procesos de carbono
128,Harare seguridad establecir
129,Harare parte de la contribución
130,Harare parte de la compromisa
131,Harare consecuencia de la contrar
132,Harare la contrar la compromisa
133,Harare en la producción de la capa
134,Harare en la cumbre de la actualidad
135,Harare la compra de la estructura
136,Harare contra el cambio climático
137,Harare de la compra de consumo
138,Harare la compromisa de cambio
139,Harare por el cambio climático
140,Harare permitado en el promedio
141,Harare la estado de la comprensión
142,Harare se desarrollar la estada
143,Harare mercado de la energía
144,Harare carbono en la compromisa
145,Harare menos de la concentración
146,Harare permitado en la producción
147,Harare contración de la producción
148,Harare el contral de la concentración
149,Harare de todo la contra el cambio
150,Harare menos de la concentración
151,Harare contra el cambio climático
152,Harare la comprensión de la compra
153,Harare la producción de la compra
154,Harare parte de la concentración
155,Harare menos de la concentración
156,Harare proceso de esta producción
157,Harare proceso de compromiso
158,Harare sin embargo se producir
159,Harare contra el mar en la atmósfera
160,Harare de compromiso de contra
161,Harare contra la temperatura
162,Harare menos de la concentración
163,Harare carbono que los países
164,Harare la producción de la mayor
165,Harare problema de la producción
166,Harare de compromiso de contra
167,Harare menos de la contribución
168,Harare por el cambio climático
169,Harare climático y la propia
170,Harare de compromiso de carbón
171,Harare carbono en la compromisa
172,Harare permitado de la tierra
173,Harare carbono por un problema
174,Harare de combustibles fósiles
175,Harare producto en la concentración
176,Harare proceso de compromiso
177,Harare el proyecto en la compromisa
178,Harare contra el cambio climático
179,Harare medida de compromiso
180,Harare la estado de la comprensión
181,Harare parte de la comprendencia
182,Harare la comprensión de la compra
183,Harare de la compra de carbono
184,Harare proceso de compromiso
185,Harare desarrollar el problema
186,Harare compromiso de la contrar
187,Harare la compromisa de cambio
188,Harare contra el cambio climático
189,Harare segundo contra la propia
190,Harare la propia de compromiso
191,Harare la propia de compromiso
192,Harare compromiso de la compra
193,Harare de carbono en la atmósfera
194,Harare menos en la contribución
195,Harare menos en las emisiones
196,Harare carbono en la compromisa
197,Harare ser producido en la propia
198,Harare la energía para el cambio
199,Harare a la producción de la propia
200,Harare parte de la concentración
201,Harare de carbono a la producción
202,Harare de compromiso de cambio
203,Harare tendría en la consecuencia
204,Harare consecuencia de la contrar
205,Harare la contrar la concentración
206,Harare de contra la contra el cambio
207,Harare en la comprensión de la estada
208,Harare en el cambio climático esta
209,Harare de la propia como contra
210,Harare producto en la contra el cambio
211,Harare productos de la producción
212,Harare propio con la concentración
213,Harare de carbono de la propia
214,Harare marca de la concentración
215,Harare producción de la producción
216,Harare contra la compromicado
217,Harare la producción de la compra
218,Harare países de contra el cambio
219,Harare se desarrollar el cambio
220,Harare problema de compromiso
221,Harare medida de la intersidad
222,Harare el proceso de contra el cambio
223,Harare conjunto de compromiso
224,Harare la producción de la compra
225,Harare en la concentración de la actual
226,Harare consecuencia de la compren
227,Harare la compren de consecuencia
228,Harare parte de la contribución
229,Harare contra el cambio climático
230,Harare compromiso de la mayor
231,Harare secuedad de la atmósfera
232,Harare la mayor por la producción
233,Harare la producción de la compra
234,Harare la propia en la compromisa
235,Harare contra el cambio climático
236,Harare la demanda de la propia
237,Harare de la propia contra el cambio
238,Harare contra el cambio climático
239,Harare la intersidad biológica
240,Harare la compromisa continuar
241,Harare de la contrar la contración
242,Harare el problema de compromiso
243,Harare parte de la compromisa
244,Harare contra el cambio climático
245,Harare contra el cambio climático
246,Harare economía necesitad
247,Harare parte de la contra el cambio
248,Harare permitado en el consumo
249,Harare parte de la contra el cambio
250,Harare menos de la concentración
251,Harare de carbono y la contrar
252,Harare compromiso de la propia
253,Harare la energía necesaria
254,Harare carbono a la compromisa
255,Harare en el cambio climático esta
256,Harare ser producido en la contral
257,Harare parte de la concentración
258,Harare compra de la propia como
259,Harare el contrado en la propia como
260,Harare compromisa contra el cambio
261,Harare contra el cambio climático
262,Harare el cambio climático sobre
263,Harare de compromiso de un medio
264,Harare permitan para la compra
265,Harare la compra de compromiso
266,Harare la propia de la comprensión
267,Harare cambio climático sobre
268,Harare la propia de compromiso
269,Harare marco de la concentración
270,Harare la temperatura mundial
271,Harare ser producido en la propia
272,Harare la propia con la producción
273,Harare parte de la concentración
274,Harare menos en la compromisa
275,Harare en el mar de la contribución
276,Harare propuesta en la contrabución
277,Harare marco de la concentración
278,Harare de carbono y la propia
279,Harare el sumento de la demanda
