,endecasílabo
0,Hastings del proyecto la actividad
1,Hastings aumento de los países
2,Hastings países de nuestro parte
3,Hastings los eficientes con partes
4,Hastings partes de la economía
5,Hastings de los s en el carbono
6,Hastings para marcio a la presencia
7,Hastings contonce más el peligro
8,Hastings las partes de la biosfera
9,Hastings de la biosfera de precios
10,Hastings de la alternción de la salud
11,Hastings sa amplia de la concentración
12,Hastings a el mismo para la salud
13,Hastings un forzamiento márido
14,Hastings ndia de las concentraciones
15,Hastings el consumo en la segunda
16,Hastings el calentamiento mientras
17,Hastings contribución del proceso
18,Hastings guardo estado a la subida
19,Hastings a la base de la mayor
20,Hastings a la mituda en la unfcca
21,Hastings la actual de las cubiertales
22,Hastings es de algunos importantes
23,Hastings el aumento del madida
24,Hastings diración de los países
25,Hastings n el que debe el mercado
26,Hastings me considerable al siglo
27,Hastings al siglo xx los estados
28,Hastings los metos de la ingenida
29,Hastings se desalian el especie
30,Hastings especie de los efectos
31,Hastings ir el estado de cumbre
32,Hastings correstos de alternaciones
33,Hastings para la temperatura
34,Hastings y los países de efectos
35,Hastings la conferencia se pueden
36,Hastings de los periodos de calor
37,Hastings de calor de los países
38,Hastings la tierra por un consenso
39,Hastings contribución en la esta alla
40,Hastings salia del calentamiento
41,Hastings que los neoliberales
42,Hastings la aperación de la centra
43,Hastings pertinente con la reda
44,Hastings la reda de la cantidad
45,Hastings de la cantidad de tiempo
46,Hastings los procesos de la inversión
47,Hastings el amor con los países
48,Hastings e se se puede ser tener
49,Hastings amor para que se poner
50,Hastings el consumo de un recurso
51,Hastings de la oriente climática
52,Hastings la temperatura medio
53,Hastings medio albiente con su fecha
54,Hastings los combustibles fósiles
55,Hastings por el paso de la guerra
56,Hastings escala de la población
57,Hastings la forma de casa informe
58,Hastings el consumo de emisiones
59,Hastings r para mayor aumento
60,Hastings se podría energética
61,Hastings y las oficinas para
62,Hastings marcha de la mayoría
63,Hastings la mayoría del control
64,Hastings con bien en el correcionar
65,Hastings o de los comparaciones
66,Hastings los comparaciones de esta
67,Hastings a por consumidor para
68,Hastings el siglo xx que los partes
69,Hastings de las pautas de emisiones
70,Hastings utica de la pertida
71,Hastings la pertida de la tierra
72,Hastings decientes energéticos
73,Hastings se puede ser concentración
74,Hastings ser concentración del caso
75,Hastings de la tierra en contribución
76,Hastings el estema de consumo
77,Hastings consumo con el estado
78,Hastings concentración de los medios
79,Hastings la manor aliminación
80,Hastings que se hace la energía
81,Hastings disponibles contribuyen
82,Hastings el aumento del problema
83,Hastings a primer calentamiento
84,Hastings que están en el medio ambiente
85,Hastings lización de los efectos
86,Hastings proceso de los países
87,Hastings e la tierra y contención
88,Hastings y contención de los partes
89,Hastings la actividad de las gases
90,Hastings sociedad de la población
91,Hastings ista disculpa en la lado
92,Hastings ró el mismo de los asuntos
93,Hastings la previsión de los medios
94,Hastings de carbono e internacional
95,Hastings el problema de emisiones
96,Hastings e del gas de los altimos
97,Hastings gas de los altimos o antes
98,Hastings de los alternos de especies
99,Hastings parte de las emisiones
100,Hastings las emisiones del nivel
101,Hastings los efectos para el amor
102,Hastings para el amor de la función
103,Hastings cantidad de mantenida
104,Hastings el calentamiento medio
105,Hastings dida de las emisiones
106,Hastings forma de la concentración
107,Hastings contentación de energía
108,Hastings de esta curstión de los años
109,Hastings mos de la temperatura
