,verse,terminacion
0,Ho Chi Minh City load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Ho Chi Minh City ### load model,"[<'mo':cV>, <'del':cVc>]"
2,Ho Chi Minh City alphabet_size,"[<'al':Vc>, <'pha':ccV>, <'bet':cVc>, <'_si':csv>, <'ze':cV>]"
3,Ho Chi Minh City alphabet_size,"[<'al':Vc>, <'pha':ccV>, <'bet':cVc>, <'_si':csv>, <'ze':cV>]"
4,Ho Chi Minh City la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
5,Ho Chi Minh City la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
6,Ho Chi Minh City la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
7,Ho Chi Minh City contra el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
8,Ho Chi Minh City de la intersidad,"[<'in':vc>, <'ter':cVc>, <'si':sv>, <'dad':cVc>]"
9,Ho Chi Minh City la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
11,Ho Chi Minh City e en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
12,Ho Chi Minh City de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
13,Ho Chi Minh City la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
14,Ho Chi Minh City la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,Ho Chi Minh City la compra de esta,"[<'es':Vs>, <'ta':cV>]"
16,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
17,Ho Chi Minh City la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
18,Ho Chi Minh City la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
19,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
20,Ho Chi Minh City en el contrado,"[<'con':cVc>, <'tra':ccV>, <'do':cV>]"
21,Ho Chi Minh City de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
22,Ho Chi Minh City la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
25,Ho Chi Minh City la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Ho Chi Minh City la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
