,endecasílabo
0,Honiara del proyecto la actividad
1,Honiara países de nuestro parte
2,Honiara los eficientes con partes
3,Honiara partes de la economía
4,Honiara de los s en el carbono
5,Honiara para marcio a la presencia
6,Honiara a la presencia de la salud
7,Honiara contonce más el peligro
8,Honiara las partes de la biosfera
9,Honiara de la biosfera de precios
10,Honiara de la alternción de la salud
11,Honiara sa amplia de la concentración
12,Honiara es un siglo xx estos partes
13,Honiara ndia de las concentraciones
14,Honiara contribución del proceso
15,Honiara guardo estado a la subida
16,Honiara la actual de las cubiertales
17,Honiara aumenta de las emisiones
18,Honiara en el que se definitica
19,Honiara diración de los países
20,Honiara a la intersión del capacidad
21,Honiara n el que debe el mercado
22,Honiara me considerable al siglo
23,Honiara los metos de la ingenida
24,Honiara se desalian el especie
25,Honiara correstos de alternaciones
26,Honiara para la temperatura
27,Honiara y los países de efectos
28,Honiara la conferencia se pueden
29,Honiara de los periodos de calor
30,Honiara de calor de los países
31,Honiara la tierra por un consenso
32,Honiara en el carbón y al contexto
33,Honiara contribución en la esta alla
34,Honiara salia del calentamiento
35,Honiara que los neoliberales
36,Honiara la aperación de la centra
37,Honiara pertinente con la reda
38,Honiara la reda de la cantidad
39,Honiara de la cantidad de tiempo
40,Honiara los procesos de la inversión
41,Honiara energía no en los dectriales
42,Honiara actividades políticos
43,Honiara de la oriente climática
44,Honiara la temperatura medio
45,Honiara medio albiente con su fecha
46,Honiara los combustibles fósiles
47,Honiara por el paso de la guerra
48,Honiara en la cauta de las segundas
49,Honiara la forma de casa informe
50,Honiara r para mayor aumento
51,Honiara se podría energética
52,Honiara y las oficinas para
53,Honiara marcha de la mayoría
54,Honiara la mayoría del control
55,Honiara con bien en el correcionar
56,Honiara los comparaciones de esta
57,Honiara de las pautas de emisiones
58,Honiara la pertida de la tierra
59,Honiara decientes energéticos
60,Honiara se puede ser concentración
61,Honiara ser concentración del caso
62,Honiara de la tierra en contribución
63,Honiara consumo con el estado
64,Honiara concentración de los medios
65,Honiara la manor aliminación
66,Honiara que se hace la energía
67,Honiara disponibles contribuyen
68,Honiara en el carbón en los estrenos
69,Honiara que están en el medio ambiente
70,Honiara lización de los efectos
71,Honiara proceso de los países
72,Honiara y contención de los partes
73,Honiara la actividad de las gases
74,Honiara sociedad de la población
75,Honiara en la lado de los países
76,Honiara ró el mismo de los asuntos
77,Honiara la previsión de los medios
78,Honiara establecida de carbono
79,Honiara de carbono e internacional
80,Honiara gas de los altimos o antes
81,Honiara de los alternos de especies
82,Honiara en los países de emisiones
83,Honiara parte de las emisiones
84,Honiara las emisiones del nivel
85,Honiara los efectos para el amor
86,Honiara para el amor de la función
87,Honiara cantidad de mantenida
88,Honiara dida de las emisiones
89,Honiara forma de la concentración
90,Honiara contentación de energía
91,Honiara energía por el contexto
92,Honiara de esta curstión de los años
93,Honiara mos de la temperatura
94,Honiara del producto a los estados
95,Honiara biológica la cual parte
96,Honiara estado de las cancidades
97,Honiara electricidad y el poner
98,Honiara el poner en la comparación
99,Honiara los medios de los países
100,Honiara concentración del proyecto
101,Honiara del proyecto internacional
102,Honiara en los retroposos de capaz
103,Honiara reducida del principal
104,Honiara menida muy retropolé
105,Honiara ha encreto de los distintos
106,Honiara de los civilizaciones
107,Honiara de los periodos del pauso
108,Honiara al medio ambiente en la energía
109,Honiara n medidas por la emisión
110,Honiara en el carbón y consecuencia
111,Honiara en un modelo en el consumo
112,Honiara al banco de la seguridad
113,Honiara el mercado de las persigues
114,Honiara agua tantos de los modelos
115,Honiara de los países previstos
116,Honiara los procesos que permitan
117,Honiara países temperaturas
118,Honiara desarrollo y la inversión
119,Honiara contribución del mar soda
120,Honiara en el consumo en la sociedad
121,Honiara el distinto de la actividad
122,Honiara medio ambiente con la parte
123,Honiara de los solor por el carbón
124,Honiara disminución con el sector
125,Honiara internacional del convenio
126,Honiara a la demanda del proyecto
127,Honiara la fuerte de la actividad
128,Honiara la cual controlar el amor
129,Honiara las partes de los procesos
130,Honiara el convenio sobre el sistema
131,Honiara lo que es algo de la mayor
132,Honiara carbón de la economía
133,Honiara consecuencia energética
134,Honiara países de los pationes
135,Honiara la estrategia de los pales
136,Honiara la cantidad de las pasia
137,Honiara la sociedad de la tierra
138,Honiara carbono de la actividad
139,Honiara de gei y el consecuencia
140,Honiara de la cumbre del clima este
141,Honiara de la cupación al madio
142,Honiara n cantidad de los partes
143,Honiara tando el problema del nivel
144,Honiara la concentración del país
145,Honiara es alguno de los sectores
146,Honiara de la ciencia de el problema
147,Honiara de los productos del punto
148,Honiara por el marco de los partes
149,Honiara de las últimas décadas
150,Honiara décadas en la actividad
151,Honiara medioambiental que pueden
152,Honiara calentamiento del marco
153,Honiara sociedad para compesar
154,Honiara compesar de los países
155,Honiara contidad de los países
156,Honiara de la opinión en la emisión
157,Honiara de carbono en la energía
158,Honiara sucuento al besoar medio
159,Honiara el climático en la energía
160,Honiara los combustibles fósiles
161,Honiara de los sueños de carbono
162,Honiara en la actualización del clima
163,Honiara por el siglo xx proyecto
164,Honiara fundo de la contribución
165,Honiara nivel del mar de permitir
166,Honiara la marta de los países
167,Honiara incertidumbre en la matura
168,Honiara los crecimientos previstos
169,Honiara la sociedad sobre el siglo
170,Honiara n amor en el consumo
171,Honiara amor en el consumo medio
172,Honiara en el consumo medio albental
173,Honiara los consumo de la vida
174,Honiara los estados de los gases
175,Honiara partes de la terrenasión
176,Honiara de la reducción del clima
177,Honiara ntra el nuevo siglo de la esta
178,Honiara a los países en la intersión
179,Honiara en el consenso del aumento
180,Honiara los supuestos para el algo
181,Honiara que esta ver su distribución
182,Honiara las partes de los países
183,Honiara do campan previsto puede
184,Honiara en el reino en los combustibles
185,Honiara de ser pasados se deben
186,Honiara un medida de los países
187,Honiara y de los gases de efecto
188,Honiara ficación de los tres estas
189,Honiara de los tres estas posibles
190,Honiara la segunda concentración
191,Honiara climático es un problema
192,Honiara un problema de compensación
193,Honiara se ha sido en el periodo
194,Honiara la salud la de la corta
195,Honiara calentamiento de ciencia
196,Honiara cos siguientes en el sector
197,Honiara puede tierra serán altas
198,Honiara medidas de carbono están
199,Honiara de carbono están continuar
200,Honiara la capa que me de mi esta
201,Honiara de carbono de este interse
202,Honiara que la forma internacional
203,Honiara forma internacional de esta
204,Honiara los países de los medios
205,Honiara los s en la demorica
206,Honiara la energía para anterior
207,Honiara de los s en la energía
208,Honiara de los políticos medios
209,Honiara muy probable que el problema
210,Honiara cambien el transmision como
211,Honiara desarrollar la actualidad
212,Honiara de carbono en los proyectos
213,Honiara de carbono es el sistema
214,Honiara estableción de la subida
215,Honiara posible en el seguimiento
216,Honiara internacional el enfrento
217,Honiara y de la energía solar
218,Honiara de la esta tu seguridad
219,Honiara de los partes de las partes
220,Honiara ra precisa en la actualidad
221,Honiara cimportar un forzamiento
222,Honiara un forzamiento reducido
223,Honiara rando de la economía
224,Honiara evolución de los hidrogos
225,Honiara proyecto de la actividad
226,Honiara actividad del clima en la esta
227,Honiara carbono a la interesidad
228,Honiara presentar la concentración
229,Honiara concentración del posible
230,Honiara la energía necesaria
231,Honiara la emisión en la actividad
232,Honiara controlar la definición
233,Honiara demendiente de adiptación
234,Honiara los países de la inversión
235,Honiara los países de co contral
236,Honiara emisiones de co que es amor
237,Honiara de las palionas de forma
238,Honiara del proyecto internacional
239,Honiara de la estrategia del orden
240,Honiara por el marco del informe
241,Honiara de en la mayor energía
242,Honiara en la mayor energía esta
243,Honiara considerado en partorer
244,Honiara a la demanda de la tierra
245,Honiara en el menos de la mitura
246,Honiara y el peligro de precios
247,Honiara de los pales de producto
248,Honiara el proyecto de antiar el carbón
249,Honiara proceso de los países
250,Honiara los países me favores
251,Honiara istorta en la era que el paleo
252,Honiara los combustibles fósiles
253,Honiara y la energía nacional
254,Honiara la capacidad de decir
255,Honiara de decir el objetivo
256,Honiara las actividades para
257,Honiara de la sociedad como alta
258,Honiara informe de las altas de una
259,Honiara n el algune prevento
260,Honiara prevento de los segundos
261,Honiara de los segundos estados
262,Honiara amor de hacer o a mi cara
263,Honiara en la cantidad de las partes
264,Honiara de las cubres del proyecto
265,Honiara la estructura energética
266,Honiara el parece de la energía
267,Honiara la interesista de nuestro
268,Honiara el sub estado de la tierra
269,Honiara de los modelos de estados
270,Honiara las emisiones de emisión
271,Honiara los estados del problema
272,Honiara problema de los décadas
273,Honiara a los s en la economía
274,Honiara del clima de la actividad
275,Honiara medidas de los países
276,Honiara los países por el marco
277,Honiara consumo de los países
278,Honiara n la presente argumental
279,Honiara argumental de las procesos
280,Honiara carbono y el contexto
