,endecasílabo
0,Ingenio el proyecto de la concentración
1,Ingenio permitado en la compromisa
2,Ingenio en el proyecto en la contribución
3,Ingenio en el proceso de compromiso
4,Ingenio la concentración de la compra
5,Ingenio el contrado de la concentración
6,Ingenio la concentración de la propia
7,Ingenio las procesos de compromiso
8,Ingenio de compromiso de carbono
9,Ingenio los modelos de compromiso
10,Ingenio la concentración de la propia
11,Ingenio de la propia de compromiso
12,Ingenio ha contral de la concentración
13,Ingenio provocado en la compromisa
14,Ingenio el cambio climático en la propia
15,Ingenio permitado en la concentración
16,Ingenio en la concentración de la compra
17,Ingenio la propia de la consecuencia
18,Ingenio permitado en la compromitad
19,Ingenio mayor parte de la producción
20,Ingenio por el mar de la consecuencia
21,Ingenio de carbono en la concentración
22,Ingenio permitado en la compromisa
23,Ingenio la contribución de la compra
24,Ingenio a los procesos de compromiso
25,Ingenio producción de la concentración
26,Ingenio medida de la concentración
27,Ingenio las problemas de compromiso
28,Ingenio propia como la contra el cambio
29,Ingenio la concentración de la contrar
30,Ingenio la capa de la contra el cambio
31,Ingenio el cambio climático es un cambio
32,Ingenio la compra de la contra el cambio
33,Ingenio la contrar con la concentración
34,Ingenio permitado en las emisiones
35,Ingenio permitado en el petróleo
36,Ingenio en el petróleo y la propia
37,Ingenio las emisiones de carbono
38,Ingenio carbono y la compromiso
39,Ingenio cambio climático está contra
40,Ingenio producido en la compromisa
41,Ingenio la concentración de la propia
42,Ingenio la compromisa climática
43,Ingenio de carbono en la compromisa
44,Ingenio permitado en la concentración
45,Ingenio la propia de la concentración
46,Ingenio producción de la concentración
47,Ingenio la concentración de la compra
48,Ingenio compromitad de la comprensión
49,Ingenio contra el cambio climático esta
50,Ingenio las emisiones de carbono
51,Ingenio de la compra de compromiso
52,Ingenio permitado en la compromiso
53,Ingenio producido en la compromisa
54,Ingenio de la comprar en la producción
55,Ingenio demanda de la compromisa
56,Ingenio compromisa de compromiso
57,Ingenio compromiso de compromiso
58,Ingenio el promedio de la conferencia
