,verse,terminacion
0,Ingenio el proyecto de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
1,Ingenio permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Ingenio en el proyecto en la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
3,Ingenio en el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Ingenio la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
5,Ingenio el contrado de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
6,Ingenio la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Ingenio las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Ingenio de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
9,Ingenio los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
10,Ingenio la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
11,Ingenio de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,Ingenio ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
13,Ingenio provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
14,Ingenio el cambio climático en la propia,"[<'pro':ccV>, <'pia':cvV>]"
15,Ingenio permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
16,Ingenio en la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
17,Ingenio la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Ingenio permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
19,Ingenio mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
20,Ingenio por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
21,Ingenio de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Ingenio permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Ingenio la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
24,Ingenio a los procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
25,Ingenio producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
26,Ingenio medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Ingenio las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
28,Ingenio propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
29,Ingenio la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
30,Ingenio la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
31,Ingenio el cambio climático es un cambio,"[<'cam':cVc>, <'bio':cvV>]"
32,Ingenio la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
33,Ingenio la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
34,Ingenio permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
35,Ingenio permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
36,Ingenio en el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
