,verse,terminacion
0,Kabul ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Kabul los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Kabul si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Kabul los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Kabul nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Kabul en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Kabul con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Kabul dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Kabul e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Kabul la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Kabul composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Kabul en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Kabul márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Kabul la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Kabul conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Kabul la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Kabul la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Kabul de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Kabul su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Kabul gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Kabul los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Kabul de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Kabul el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Kabul también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Kabul los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Kabul gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Kabul consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Kabul ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Kabul de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Kabul de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Kabul la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Kabul de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Kabul en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Kabul con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Kabul en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Kabul estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Kabul la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Kabul ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Kabul la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Kabul la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Kabul umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Kabul actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Kabul políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Kabul con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
