,verse,terminacion
0,Kano en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Kano los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Kano si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Kano estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Kano los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Kano nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Kano con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Kano dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Kano la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Kano composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Kano márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Kano la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Kano conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Kano un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Kano el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Kano la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Kano la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Kano de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Kano su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Kano en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Kano atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Kano gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Kano los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Kano al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Kano de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
25,Kano estado de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
