,endecasílabo
0,Karachi permitado en la atmósfera
1,Karachi en el proyecto de la tierra
2,Karachi de carbono a la producción
3,Karachi problema de compromiso
4,Karachi modelos de compromiso
5,Karachi contribución de la propia
6,Karachi entre el mar de la concentración
7,Karachi carbono en la concentración
8,Karachi menos de la consecuencia
9,Karachi parte de la concentración
10,Karachi parte de la concentración
11,Karachi mundial de la concentración
12,Karachi contribución de la compra
13,Karachi mayor parte de la salud
14,Karachi marca de la concentración
15,Karachi mayor en la compromisa
16,Karachi climático como el cambio
17,Karachi como el cambio climático
18,Karachi producto en la compromisa
19,Karachi el petróleo y la propia
20,Karachi marco de la concentración
21,Karachi climático en la atmósfera
22,Karachi está contra la compromica
23,Karachi marca de la concentración
24,Karachi parte de la contra el cambio
25,Karachi política en la producción
26,Karachi climática y el cambio
27,Karachi carbono en la compromisa
28,Karachi propia de la concentración
29,Karachi contra el cambio climático
30,Karachi contra el cambio climático
31,Karachi el cambio climático sobre
32,Karachi menos de la compromisa
33,Karachi la compra de compromiso
34,Karachi marco de la concentración
35,Karachi la comprar en la producción
36,Karachi por el contral de la propia
37,Karachi el contral de la propia contra
38,Karachi en el proceso de la propia
39,Karachi la contrar con la estrategia
40,Karachi permitado de la propia
41,Karachi de la propia climática
42,Karachi para el cambio climático
43,Karachi contra el cambio climático
44,Karachi el cambio climático sobre
45,Karachi la producción de la compra
46,Karachi permitado de la compra
47,Karachi parte de la compromisa
48,Karachi emisiones de contra el cambio
49,Karachi la propia de contra el cambio
50,Karachi producirá a la energía
51,Karachi el proyecto de la actualidad
52,Karachi permitado de la propia
53,Karachi de la propia contra el cambio
54,Karachi menos de la concentración
55,Karachi permitado por la propia
56,Karachi el contrado en la compromisa
57,Karachi parte de la compromisa
58,Karachi en la propia de la comprensión
59,Karachi contra el cambio climático
60,Karachi contra el cambio climático
61,Karachi menos precipitaciones
62,Karachi permita de la producción
63,Karachi la capa de compromiso
64,Karachi de contra la compromisa
65,Karachi menos de la compromisa
66,Karachi por el mar en la producción
67,Karachi permita en la compromisa
68,Karachi la producción de la compra
69,Karachi contra el cambio climático
70,Karachi permitado de la estado
71,Karachi producido a la energía
72,Karachi el proceso de compromiso
73,Karachi parte de la contra el cambio
74,Karachi de contra la compromisa
75,Karachi la contrar la compromisa
76,Karachi comprensión de la producción
77,Karachi propia con la compromisa
78,Karachi permita en la compromisa
79,Karachi por el cambio climático
80,Karachi problema de la producción
81,Karachi parte de la compromisa
82,Karachi la propia de la comprensión
83,Karachi el mercado de la producción
84,Karachi permitado en la producción
85,Karachi seguir en la contribución
86,Karachi la estada de compromiso
87,Karachi parte de la concentración
88,Karachi la propia como el problema
89,Karachi problema con la atmósfera
90,Karachi carbono que la comprensión
91,Karachi la compromisa de deces
92,Karachi deces con la compromisa
93,Karachi se producirá en la propia
