,endecasílabo
0,Khartoum permitado en la compromisa
1,Khartoum la concentración de la compra
2,Khartoum la concentración de la propia
3,Khartoum las procesos de compromiso
4,Khartoum de compromiso de carbono
5,Khartoum los modelos de compromiso
6,Khartoum la concentración de la propia
7,Khartoum de la propia de compromiso
8,Khartoum ha contral de la concentración
9,Khartoum provocado en la compromisa
10,Khartoum permitado en la concentración
11,Khartoum la propia de la consecuencia
12,Khartoum permitado en la compromitad
13,Khartoum entre el mar de la concentración
14,Khartoum mayor parte de la producción
15,Khartoum por el mar de la consecuencia
16,Khartoum de carbono en la concentración
17,Khartoum a menos de la consecuencia
18,Khartoum permitado en la compromisa
19,Khartoum la contribución de la compra
20,Khartoum producción de la concentración
21,Khartoum medida de la concentración
22,Khartoum las problemas de compromiso
23,Khartoum propia como la contra el cambio
24,Khartoum la concentración de la contrar
25,Khartoum la capa de la contra el cambio
26,Khartoum la compra de la contra el cambio
27,Khartoum la contrar con la concentración
28,Khartoum permitado en las emisiones
29,Khartoum permitado en el petróleo
30,Khartoum las emisiones de carbono
31,Khartoum carbono y la compromiso
32,Khartoum cambio climático está contra
33,Khartoum producido en la compromisa
34,Khartoum la concentración de la propia
35,Khartoum esta contrar la concentración
36,Khartoum la compromisa climática
37,Khartoum de carbono en la compromisa
38,Khartoum permitado en la concentración
39,Khartoum la propia de la concentración
40,Khartoum producción de la concentración
41,Khartoum la concentración de la compra
42,Khartoum compromitad de la comprensión
43,Khartoum contra el cambio climático esta
44,Khartoum las emisiones de carbono
45,Khartoum de la compra de compromiso
46,Khartoum permitado en la compromiso
47,Khartoum producido en la compromisa
48,Khartoum de la comprar en la producción
49,Khartoum el contral de la propia contra
50,Khartoum demanda de la compromisa
51,Khartoum compromisa de compromiso
52,Khartoum compromiso de compromiso
53,Khartoum la conferencia de la estada
54,Khartoum estado de la consecuencia
55,Khartoum estamos en la concentración
56,Khartoum la capacidad de carbono
57,Khartoum procesos de la concentración
58,Khartoum la compra de la concentración
59,Khartoum la capa de las emisiones
60,Khartoum estado con la compromisa
61,Khartoum problema de la concentración
62,Khartoum la concentración de la compra
63,Khartoum se producirá a la energía
64,Khartoum de la contrar la compromisa
65,Khartoum problema de la concentración
66,Khartoum la concentración de la propia
67,Khartoum el proyecto de la actualidad
68,Khartoum compromiso de esta población
69,Khartoum la propia de la contribución
70,Khartoum de compromiso de carbono
71,Khartoum estado con la compromisa
72,Khartoum la compromisa de carbono
73,Khartoum producción de la concentración
74,Khartoum cambio climático es proceso
75,Khartoum comprensión de la concentración
76,Khartoum la contra el cambio climático
77,Khartoum la contra el cambio climático
78,Khartoum la propia de la contribución
79,Khartoum esta parte de la producción
80,Khartoum de los procesos de carbono
81,Khartoum la propia de la contribución
82,Khartoum permitado en la compromisa
83,Khartoum compra de carbono a la propia
84,Khartoum ser producido a la energía
85,Khartoum el proceso de compromiso
86,Khartoum contra la largo de la propia
87,Khartoum la concentración de la propia
88,Khartoum esta mayor posibilidad
89,Khartoum permitado en la concentración
90,Khartoum la comprensión de la producción
91,Khartoum la propia con la compromisa
92,Khartoum la compromisa de la capa
93,Khartoum de carbono en la contrabución
94,Khartoum los procesos de contra el cambio
95,Khartoum la producción de la producción
96,Khartoum superficie de la producción
97,Khartoum el mercado de la producción
98,Khartoum de la compromisa de cambio
99,Khartoum la compromisa de carbono
100,Khartoum carbono de la compromisa
101,Khartoum permitado en la compromisa
102,Khartoum la contra el cambio climático
103,Khartoum se seguir en la contribución
104,Khartoum de la estada de compromiso
105,Khartoum parte de la temperatura
106,Khartoum producción de la capacidad
107,Khartoum estado de la concentración
108,Khartoum la propia de la consecuencia
