,endecasílabo
0,Konya el proyecto de la concentración
1,Konya permitado en la compromisa
2,Konya en el proyecto en la contribución
3,Konya en el proceso de compromiso
4,Konya la concentración de la compra
5,Konya el contrado de la concentración
6,Konya la concentración de la propia
7,Konya las procesos de compromiso
8,Konya de compromiso de carbono
9,Konya los modelos de compromiso
10,Konya la concentración de la propia
11,Konya de la propia de compromiso
12,Konya ha contral de la concentración
13,Konya provocado en la compromisa
14,Konya el cambio climático en la propia
15,Konya permitado en la concentración
16,Konya en la concentración de la compra
17,Konya la propia de la consecuencia
18,Konya permitado en la compromitad
19,Konya mayor parte de la producción
20,Konya por el mar de la consecuencia
21,Konya de carbono en la concentración
22,Konya permitado en la compromisa
23,Konya la contribución de la compra
24,Konya a los procesos de compromiso
25,Konya producción de la concentración
26,Konya medida de la concentración
27,Konya las problemas de compromiso
28,Konya propia como la contra el cambio
29,Konya la concentración de la contrar
30,Konya la capa de la contra el cambio
31,Konya el cambio climático es un cambio
32,Konya la compra de la contra el cambio
33,Konya la contrar con la concentración
34,Konya permitado en las emisiones
35,Konya permitado en el petróleo
36,Konya en el petróleo y la propia
37,Konya las emisiones de carbono
38,Konya carbono y la compromiso
39,Konya cambio climático está contra
40,Konya producido en la compromisa
41,Konya la concentración de la propia
42,Konya la compromisa climática
43,Konya de carbono en la compromisa
44,Konya permitado en la concentración
45,Konya la propia de la concentración
46,Konya producción de la concentración
47,Konya la concentración de la compra
48,Konya compromitad de la comprensión
49,Konya contra el cambio climático esta
50,Konya las emisiones de carbono
51,Konya de la compra de compromiso
52,Konya permitado en la compromiso
53,Konya producido en la compromisa
54,Konya de la comprar en la producción
55,Konya demanda de la compromisa
56,Konya compromisa de compromiso
57,Konya compromiso de compromiso
58,Konya el promedio de la conferencia
59,Konya la conferencia de la estada
60,Konya la capacidad de carbono
61,Konya procesos de la concentración
62,Konya en la propia de la concentración
63,Konya el proyecto de la concentración
64,Konya la compra de la concentración
65,Konya la capa de las emisiones
66,Konya el proceso de la concentración
