,verse,terminacion
0,La Oliva permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,La Oliva en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,La Oliva de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,La Oliva problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,La Oliva modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,La Oliva contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,La Oliva entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,La Oliva carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,La Oliva menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,La Oliva parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,La Oliva parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,La Oliva mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,La Oliva contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,La Oliva mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,La Oliva marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,La Oliva mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,La Oliva climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,La Oliva como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,La Oliva producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,La Oliva el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,La Oliva marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,La Oliva climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,La Oliva está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,La Oliva marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,La Oliva parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,La Oliva política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,La Oliva climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,La Oliva carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,La Oliva propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,La Oliva contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,La Oliva contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,La Oliva el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,La Oliva menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,La Oliva la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,La Oliva marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,La Oliva la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,La Oliva por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,La Oliva el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,La Oliva en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
