,verse,terminacion
0,La Paz ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,La Paz los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,La Paz si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,La Paz los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,La Paz nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,La Paz en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,La Paz con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,La Paz dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,La Paz e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,La Paz la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,La Paz composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,La Paz en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,La Paz márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,La Paz la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,La Paz conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,La Paz la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,La Paz la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,La Paz de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,La Paz su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,La Paz gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,La Paz los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,La Paz de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,La Paz el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,La Paz también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,La Paz los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,La Paz gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,La Paz consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,La Paz ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,La Paz de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,La Paz de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,La Paz la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,La Paz de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,La Paz en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,La Paz con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,La Paz en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,La Paz estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,La Paz la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,La Paz ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,La Paz la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,La Paz la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,La Paz umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,La Paz actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,La Paz políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,La Paz con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,La Paz la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,La Paz en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,La Paz de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,La Paz ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,La Paz ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,La Paz de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,La Paz la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,La Paz tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,La Paz que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,La Paz en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,La Paz de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,La Paz la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,La Paz de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,La Paz la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,La Paz aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,La Paz de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,La Paz energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,La Paz centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,La Paz de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,La Paz medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,La Paz bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,La Paz de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,La Paz continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,La Paz la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,La Paz por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,La Paz de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,La Paz las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,La Paz modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,La Paz esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,La Paz en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,La Paz de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,La Paz la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,La Paz funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,La Paz como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
