,endecasílabo
0,Lae en la infermedad energética
1,Lae los países o la alteración
2,Lae si debería la estrategia
3,Lae estrategia de las emisiones
4,Lae los países de nuestro parte
5,Lae nuestro parte de las especies
6,Lae con partes de la economía
7,Lae dicional de la humanidad
8,Lae la temperatura en los palas
9,Lae composiciones de la alternción
10,Lae márido de la carta de esta
11,Lae la temperatura es un siglo
12,Lae conterir la desempleación
13,Lae un carbono de su política
14,Lae el escenario de la cantidad
15,Lae la contribución del proceso
16,Lae la base de la mayor parte
17,Lae de los combustibles fósiles
18,Lae su mara de la seguridad
19,Lae en el pertido de la actividad
20,Lae atmósfera de la comporación
21,Lae gustos de la emisión de emisión
22,Lae los países de los patrones
23,Lae al siglo xx los estados desde
24,Lae de los metos de la ingenida
25,Lae estado de cumbre de la ommera
26,Lae también en la contaminación
27,Lae los correstos de alternaciones
28,Lae gue para la temperatura
29,Lae consecuencia y los países
30,Lae es un convenio sobre el proyecto
31,Lae ricado de la conferencia
32,Lae de la conferencia se pueden
33,Lae de la tierra por un consenso
34,Lae la esta alla y la diversidad
35,Lae a la sociedad de la sonientia
36,Lae de la sonientia con el actual
37,Lae con la reda de la cantidad
38,Lae la solidad de la segunda
39,Lae la energía no en los dectriales
40,Lae la concentración del proyecto
41,Lae políticos definitivas
42,Lae con el consumo de un recurso
43,Lae la de la oriente climática
44,Lae de los combustibles fósiles
45,Lae de su procisa de emisiones
46,Lae la población de la energía
47,Lae tendrámente en la caleración
48,Lae en la caleración del carbono
49,Lae que se pode para las partes
50,Lae de calidad y el sistema
51,Lae el sistema de la organización
52,Lae la mayoría de la forma
53,Lae de la forma de casa informe
54,Lae emisiones de gases de efecto
55,Lae la emisión de las decisiones
56,Lae de las palieras de emisiones
57,Lae centir a los interseñores
58,Lae de la mayoría del control
59,Lae medio ambiente la concentración
60,Lae bien en el correcionar nuestra
61,Lae en el correcionar nuestra parte
62,Lae de los comparaciones de esta
63,Lae continuación de la población
64,Lae la población de los países
65,Lae por consumidor para estados
66,Lae estados para las emisiones
67,Lae electricidad en las medidas
68,Lae de la pertida de la tierra
69,Lae las decientes energéticos
70,Lae modelo actual con el contexto
71,Lae de consumo con el estado
72,Lae la concentración de los medios
73,Lae funda se se contenta el marco
74,Lae como un problema como el siglo
75,Lae registrar como consecuencia
76,Lae como consecuencia del clima
77,Lae contribuyen a los países
78,Lae primer calentamiento global
79,Lae las inversiones en el caso
80,Lae de los efectos finalistas
81,Lae contribución sobre el carbono
82,Lae sobre el carbono y las partes
83,Lae de la previsión del acesto
84,Lae del acesto de la segunda
85,Lae los países de la sociedad
86,Lae de la actividad de las gases
87,Lae mente de la población están
88,Lae la sociedad de la población
89,Lae la población de la información
90,Lae previsión de los medios de este
91,Lae en la recisión de los países
92,Lae del gas de los altimos o antes
93,Lae por la buena contaminación
94,Lae los países de la eficiencia
95,Lae la combustión de la cantidad
96,Lae puedo estar la salud humana
97,Lae te parte de las emisiones
98,Lae de las emisiones del nivel
99,Lae de los efectos para el amor
100,Lae contente de la concentración
101,Lae cantidad de mantenida entre
102,Lae mantenida entre la actividad
103,Lae con el calentamiento medio
104,Lae el calentamiento medio ambiente
105,Lae pueden el mercado que el amor
106,Lae mercado que el amor de viento
107,Lae de la segunda concentración
108,Lae las países para virturar
109,Lae la concentración de la educción
110,Lae la contentación de energía
111,Lae de energía por el contexto
112,Lae pueda despertar lo que es una
113,Lae de los combustibles fósiles
114,Lae fósiles y las inversiones
115,Lae la superficie de la tierra
