,endecasílabo
0,Lae el proyecto de la concentración
1,Lae permitado en la compromisa
2,Lae en el proyecto en la contribución
3,Lae en el proceso de compromiso
4,Lae la concentración de la compra
5,Lae el contrado de la concentración
6,Lae la concentración de la propia
7,Lae las procesos de compromiso
8,Lae de compromiso de carbono
9,Lae los modelos de compromiso
10,Lae la concentración de la propia
11,Lae de la propia de compromiso
12,Lae ha contral de la concentración
13,Lae provocado en la compromisa
14,Lae el cambio climático en la propia
15,Lae permitado en la concentración
16,Lae en la concentración de la compra
17,Lae la propia de la consecuencia
18,Lae permitado en la compromitad
19,Lae mayor parte de la producción
20,Lae por el mar de la consecuencia
21,Lae de carbono en la concentración
22,Lae permitado en la compromisa
23,Lae la contribución de la compra
24,Lae a los procesos de compromiso
25,Lae producción de la concentración
26,Lae medida de la concentración
27,Lae las problemas de compromiso
28,Lae propia como la contra el cambio
29,Lae la concentración de la contrar
30,Lae la capa de la contra el cambio
31,Lae el cambio climático es un cambio
32,Lae la compra de la contra el cambio
33,Lae la contrar con la concentración
34,Lae permitado en las emisiones
35,Lae permitado en el petróleo
36,Lae en el petróleo y la propia
37,Lae las emisiones de carbono
38,Lae carbono y la compromiso
39,Lae cambio climático está contra
40,Lae producido en la compromisa
41,Lae la concentración de la propia
42,Lae la compromisa climática
43,Lae de carbono en la compromisa
44,Lae permitado en la concentración
45,Lae la propia de la concentración
46,Lae producción de la concentración
47,Lae la concentración de la compra
48,Lae compromitad de la comprensión
49,Lae contra el cambio climático esta
50,Lae las emisiones de carbono
51,Lae de la compra de compromiso
52,Lae permitado en la compromiso
53,Lae producido en la compromisa
54,Lae de la comprar en la producción
55,Lae demanda de la compromisa
56,Lae compromisa de compromiso
57,Lae compromiso de compromiso
58,Lae el promedio de la conferencia
59,Lae la conferencia de la estada
60,Lae la capacidad de carbono
61,Lae procesos de la concentración
62,Lae en la propia de la concentración
63,Lae el proyecto de la concentración
64,Lae la compra de la concentración
65,Lae la capa de las emisiones
66,Lae el proceso de la concentración
67,Lae el tendero de las emisiones
68,Lae problema de la concentración
69,Lae la concentración de la compra
70,Lae se producirá a la energía
71,Lae de la contrar la compromisa
72,Lae problema de la concentración
73,Lae la concentración de la propia
74,Lae compromiso de esta población
75,Lae el cambio climático es la propia
76,Lae la propia de la contribución
77,Lae de compromiso de carbono
78,Lae la compromisa de carbono
79,Lae en el contrado en la compromisa
80,Lae producción de la concentración
81,Lae cambio climático es proceso
82,Lae el cambio climático en la estado
83,Lae comprensión de la concentración
84,Lae la contra el cambio climático
85,Lae la contra el cambio climático
86,Lae la propia de la contribución
87,Lae de los procesos de carbono
88,Lae la propia de la contribución
89,Lae en la compromisa de carbono
90,Lae permitado en la compromisa
91,Lae compra de carbono a la propia
92,Lae ser producido a la energía
93,Lae a la energía de compromiso
94,Lae es un proceso de compromiso
95,Lae contra la largo de la propia
96,Lae la concentración de la propia
97,Lae permitado en la concentración
98,Lae la comprensión de la producción
99,Lae la propia con la compromisa
100,Lae la compromisa de la capa
101,Lae de carbono en la contrabución
102,Lae el estado de la concentración
103,Lae los procesos de contra el cambio
104,Lae la producción de la producción
105,Lae superficie de la producción
