,verse,terminacion
0,Lagos ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Lagos los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Lagos si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Lagos los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Lagos nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Lagos en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Lagos con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Lagos dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Lagos e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Lagos la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Lagos composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Lagos en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Lagos márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Lagos la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Lagos conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Lagos la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Lagos la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Lagos de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Lagos su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Lagos gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Lagos los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Lagos de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Lagos el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Lagos también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Lagos los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Lagos gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Lagos consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Lagos ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Lagos de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Lagos de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Lagos la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Lagos de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Lagos en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Lagos con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Lagos en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Lagos estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Lagos la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Lagos ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Lagos la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Lagos la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Lagos umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Lagos actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Lagos políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Lagos con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Lagos la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Lagos en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Lagos de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Lagos ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Lagos ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Lagos de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Lagos la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Lagos tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Lagos que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Lagos en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Lagos de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Lagos la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Lagos de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Lagos la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Lagos aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Lagos de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Lagos energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Lagos centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Lagos de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Lagos medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Lagos bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Lagos de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Lagos continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Lagos la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Lagos por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Lagos de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Lagos las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Lagos modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Lagos esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Lagos en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Lagos de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Lagos la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Lagos funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Lagos como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Lagos registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Lagos como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Lagos en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Lagos o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
