,endecasílabo
0,Lahore permitado en la atmósfera
1,Lahore en el proyecto de la tierra
2,Lahore de carbono a la producción
3,Lahore problema de compromiso
4,Lahore modelos de compromiso
5,Lahore contribución de la propia
6,Lahore entre el mar de la concentración
7,Lahore carbono en la concentración
8,Lahore menos de la consecuencia
9,Lahore parte de la concentración
10,Lahore parte de la concentración
11,Lahore mundial de la concentración
12,Lahore contribución de la compra
13,Lahore mayor parte de la salud
14,Lahore marca de la concentración
15,Lahore mayor en la compromisa
16,Lahore climático como el cambio
17,Lahore como el cambio climático
18,Lahore producto en la compromisa
19,Lahore el petróleo y la propia
20,Lahore marco de la concentración
21,Lahore climático en la atmósfera
22,Lahore está contra la compromica
23,Lahore marca de la concentración
24,Lahore parte de la contra el cambio
25,Lahore política en la producción
26,Lahore climática y el cambio
27,Lahore carbono en la compromisa
28,Lahore propia de la concentración
29,Lahore contra el cambio climático
30,Lahore contra el cambio climático
31,Lahore el cambio climático sobre
32,Lahore menos de la compromisa
33,Lahore la compra de compromiso
34,Lahore marco de la concentración
35,Lahore la comprar en la producción
36,Lahore por el contral de la propia
37,Lahore el contral de la propia contra
38,Lahore en el proceso de la propia
39,Lahore la contrar con la estrategia
40,Lahore permitado de la propia
41,Lahore de la propia climática
42,Lahore para el cambio climático
43,Lahore contra el cambio climático
44,Lahore el cambio climático sobre
45,Lahore la producción de la compra
46,Lahore permitado de la compra
47,Lahore parte de la compromisa
48,Lahore emisiones de contra el cambio
49,Lahore la propia de contra el cambio
50,Lahore producirá a la energía
51,Lahore el proyecto de la actualidad
52,Lahore permitado de la propia
53,Lahore de la propia contra el cambio
54,Lahore menos de la concentración
55,Lahore permitado por la propia
56,Lahore el contrado en la compromisa
57,Lahore parte de la compromisa
58,Lahore en la propia de la comprensión
59,Lahore contra el cambio climático
60,Lahore contra el cambio climático
61,Lahore menos precipitaciones
62,Lahore permita de la producción
63,Lahore la capa de compromiso
64,Lahore de contra la compromisa
65,Lahore menos de la compromisa
66,Lahore por el mar en la producción
67,Lahore permita en la compromisa
68,Lahore la producción de la compra
69,Lahore contra el cambio climático
70,Lahore permitado de la estado
71,Lahore producido a la energía
72,Lahore el proceso de compromiso
73,Lahore parte de la contra el cambio
74,Lahore de contra la compromisa
75,Lahore la contrar la compromisa
76,Lahore comprensión de la producción
77,Lahore propia con la compromisa
78,Lahore permita en la compromisa
79,Lahore por el cambio climático
80,Lahore problema de la producción
81,Lahore parte de la compromisa
82,Lahore la propia de la comprensión
83,Lahore el mercado de la producción
84,Lahore permitado en la producción
85,Lahore seguir en la contribución
86,Lahore la estada de compromiso
87,Lahore parte de la concentración
