,endecasílabo
0,Lautoka del proyecto la actividad
1,Lautoka países de nuestro parte
2,Lautoka los eficientes con partes
3,Lautoka partes de la economía
4,Lautoka de los s en el carbono
5,Lautoka para marcio a la presencia
6,Lautoka a la presencia de la salud
7,Lautoka contonce más el peligro
8,Lautoka las partes de la biosfera
9,Lautoka de la biosfera de precios
10,Lautoka de la alternción de la salud
11,Lautoka sa amplia de la concentración
12,Lautoka es un siglo xx estos partes
13,Lautoka ndia de las concentraciones
14,Lautoka contribución del proceso
15,Lautoka guardo estado a la subida
16,Lautoka la actual de las cubiertales
17,Lautoka aumenta de las emisiones
18,Lautoka en el que se definitica
19,Lautoka diración de los países
20,Lautoka a la intersión del capacidad
21,Lautoka n el que debe el mercado
22,Lautoka me considerable al siglo
23,Lautoka los metos de la ingenida
24,Lautoka se desalian el especie
25,Lautoka correstos de alternaciones
26,Lautoka para la temperatura
27,Lautoka y los países de efectos
28,Lautoka la conferencia se pueden
29,Lautoka de los periodos de calor
30,Lautoka de calor de los países
31,Lautoka la tierra por un consenso
32,Lautoka en el carbón y al contexto
33,Lautoka contribución en la esta alla
34,Lautoka salia del calentamiento
35,Lautoka que los neoliberales
36,Lautoka la aperación de la centra
37,Lautoka pertinente con la reda
38,Lautoka la reda de la cantidad
39,Lautoka de la cantidad de tiempo
40,Lautoka los procesos de la inversión
41,Lautoka energía no en los dectriales
42,Lautoka actividades políticos
43,Lautoka de la oriente climática
44,Lautoka la temperatura medio
45,Lautoka medio albiente con su fecha
46,Lautoka los combustibles fósiles
47,Lautoka por el paso de la guerra
48,Lautoka en la cauta de las segundas
49,Lautoka la forma de casa informe
50,Lautoka r para mayor aumento
51,Lautoka se podría energética
52,Lautoka y las oficinas para
53,Lautoka marcha de la mayoría
54,Lautoka la mayoría del control
55,Lautoka con bien en el correcionar
56,Lautoka los comparaciones de esta
57,Lautoka de las pautas de emisiones
58,Lautoka la pertida de la tierra
59,Lautoka decientes energéticos
60,Lautoka se puede ser concentración
61,Lautoka ser concentración del caso
62,Lautoka de la tierra en contribución
63,Lautoka consumo con el estado
64,Lautoka concentración de los medios
65,Lautoka la manor aliminación
66,Lautoka que se hace la energía
67,Lautoka disponibles contribuyen
68,Lautoka en el carbón en los estrenos
69,Lautoka que están en el medio ambiente
70,Lautoka lización de los efectos
71,Lautoka proceso de los países
72,Lautoka y contención de los partes
73,Lautoka la actividad de las gases
74,Lautoka sociedad de la población
75,Lautoka en la lado de los países
76,Lautoka ró el mismo de los asuntos
77,Lautoka la previsión de los medios
78,Lautoka establecida de carbono
79,Lautoka de carbono e internacional
80,Lautoka gas de los altimos o antes
81,Lautoka de los alternos de especies
82,Lautoka en los países de emisiones
83,Lautoka parte de las emisiones
84,Lautoka las emisiones del nivel
85,Lautoka los efectos para el amor
86,Lautoka para el amor de la función
87,Lautoka cantidad de mantenida
88,Lautoka dida de las emisiones
89,Lautoka forma de la concentración
90,Lautoka contentación de energía
91,Lautoka energía por el contexto
92,Lautoka de esta curstión de los años
93,Lautoka mos de la temperatura
94,Lautoka del producto a los estados
95,Lautoka biológica la cual parte
96,Lautoka estado de las cancidades
97,Lautoka electricidad y el poner
98,Lautoka el poner en la comparación
99,Lautoka los medios de los países
100,Lautoka concentración del proyecto
101,Lautoka del proyecto internacional
102,Lautoka en los retroposos de capaz
103,Lautoka reducida del principal
104,Lautoka menida muy retropolé
105,Lautoka ha encreto de los distintos
106,Lautoka de los civilizaciones
107,Lautoka de los periodos del pauso
108,Lautoka al medio ambiente en la energía
109,Lautoka n medidas por la emisión
110,Lautoka en el carbón y consecuencia
111,Lautoka en un modelo en el consumo
112,Lautoka al banco de la seguridad
113,Lautoka el mercado de las persigues
114,Lautoka agua tantos de los modelos
115,Lautoka de los países previstos
116,Lautoka los procesos que permitan
117,Lautoka países temperaturas
118,Lautoka desarrollo y la inversión
