,endecasílabo
0,Lautoka permitado en la atmósfera
1,Lautoka en el proyecto de la tierra
2,Lautoka de carbono a la producción
3,Lautoka problema de compromiso
4,Lautoka modelos de compromiso
5,Lautoka contribución de la propia
6,Lautoka entre el mar de la concentración
7,Lautoka carbono en la concentración
8,Lautoka menos de la consecuencia
9,Lautoka parte de la concentración
10,Lautoka parte de la concentración
11,Lautoka mundial de la concentración
12,Lautoka contribución de la compra
13,Lautoka mayor parte de la salud
14,Lautoka marca de la concentración
15,Lautoka mayor en la compromisa
16,Lautoka climático como el cambio
17,Lautoka como el cambio climático
18,Lautoka producto en la compromisa
19,Lautoka el petróleo y la propia
20,Lautoka marco de la concentración
21,Lautoka climático en la atmósfera
22,Lautoka está contra la compromica
23,Lautoka marca de la concentración
24,Lautoka parte de la contra el cambio
25,Lautoka política en la producción
26,Lautoka climática y el cambio
27,Lautoka carbono en la compromisa
28,Lautoka propia de la concentración
29,Lautoka contra el cambio climático
30,Lautoka contra el cambio climático
31,Lautoka el cambio climático sobre
32,Lautoka menos de la compromisa
33,Lautoka la compra de compromiso
34,Lautoka marco de la concentración
35,Lautoka la comprar en la producción
36,Lautoka por el contral de la propia
37,Lautoka el contral de la propia contra
38,Lautoka en el proceso de la propia
39,Lautoka la contrar con la estrategia
40,Lautoka permitado de la propia
41,Lautoka de la propia climática
42,Lautoka para el cambio climático
43,Lautoka contra el cambio climático
44,Lautoka el cambio climático sobre
45,Lautoka la producción de la compra
46,Lautoka permitado de la compra
47,Lautoka parte de la compromisa
48,Lautoka emisiones de contra el cambio
49,Lautoka la propia de contra el cambio
50,Lautoka producirá a la energía
51,Lautoka el proyecto de la actualidad
52,Lautoka permitado de la propia
53,Lautoka de la propia contra el cambio
54,Lautoka menos de la concentración
55,Lautoka permitado por la propia
56,Lautoka el contrado en la compromisa
57,Lautoka parte de la compromisa
58,Lautoka en la propia de la comprensión
59,Lautoka contra el cambio climático
60,Lautoka contra el cambio climático
61,Lautoka menos precipitaciones
62,Lautoka permita de la producción
63,Lautoka la capa de compromiso
64,Lautoka de contra la compromisa
65,Lautoka menos de la compromisa
66,Lautoka por el mar en la producción
67,Lautoka permita en la compromisa
68,Lautoka la producción de la compra
69,Lautoka contra el cambio climático
70,Lautoka permitado de la estado
71,Lautoka producido a la energía
72,Lautoka el proceso de compromiso
73,Lautoka parte de la contra el cambio
74,Lautoka de contra la compromisa
75,Lautoka la contrar la compromisa
76,Lautoka comprensión de la producción
77,Lautoka propia con la compromisa
78,Lautoka permita en la compromisa
79,Lautoka por el cambio climático
80,Lautoka problema de la producción
81,Lautoka parte de la compromisa
82,Lautoka la propia de la comprensión
83,Lautoka el mercado de la producción
84,Lautoka permitado en la producción
85,Lautoka seguir en la contribución
86,Lautoka la estada de compromiso
87,Lautoka parte de la concentración
88,Lautoka la propia como el problema
89,Lautoka problema con la atmósfera
90,Lautoka carbono que la comprensión
91,Lautoka la compromisa de deces
92,Lautoka deces con la compromisa
93,Lautoka se producirá en la propia
94,Lautoka en la propia de compromiso
95,Lautoka manor en la compromisa
96,Lautoka modelo de la producción
97,Lautoka el cambio climático sobre
98,Lautoka la energía necesaria
99,Lautoka los combustibles fósiles
100,Lautoka la propia como el estado
101,Lautoka compromiso de carbono
102,Lautoka carbono y el problema
103,Lautoka la energía contra el cambio
104,Lautoka contribución de la compra
105,Lautoka se esta mayor producida
106,Lautoka compromiso de la capa
107,Lautoka el contrado en la compromisa
108,Lautoka producto a las emisiones
