,verse,terminacion
0,Liverpool producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Liverpool contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Liverpool carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Liverpool en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Liverpool su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Liverpool el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Liverpool parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Liverpool alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Liverpool problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Liverpool estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Liverpool como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Liverpool como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Liverpool contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Liverpool el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Liverpool el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Liverpool contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Liverpool la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Liverpool contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Liverpool se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Liverpool el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Liverpool cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Liverpool climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Liverpool contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Liverpool contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Liverpool menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Liverpool sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Liverpool ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Liverpool permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Liverpool contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Liverpool estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Liverpool el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Liverpool problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Liverpool el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Liverpool estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Liverpool contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Liverpool la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
