,verse,terminacion
0,Logan City producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Logan City contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Logan City carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Logan City en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Logan City su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Logan City el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Logan City parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Logan City alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Logan City problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Logan City estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Logan City como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Logan City como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Logan City contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Logan City el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Logan City el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Logan City contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Logan City la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Logan City contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Logan City se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Logan City el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Logan City cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Logan City climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Logan City contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Logan City contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Logan City menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Logan City sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Logan City ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Logan City permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Logan City contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Logan City estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Logan City el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Logan City problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Logan City el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Logan City estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Logan City contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
35,Logan City la cual con la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Logan City la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
37,Logan City estado en la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
38,Logan City permitan para el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Logan City de carbono a la propia,"[<'pro':ccV>, <'pia':cvV>]"
40,Logan City el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
41,Logan City sobre la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
42,Logan City sobre la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
43,Logan City producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
44,Logan City de la compra de cambio,"[<'cam':cVc>, <'bio':cvV>]"
45,Logan City permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
46,Logan City propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
47,Logan City producto de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
48,Logan City las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
49,Logan City es de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
50,Logan City parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
