,endecasílabo
0,Longyearbyen producto en el proyecto
1,Longyearbyen contra la compromisa
2,Longyearbyen carbono a la producción
3,Longyearbyen en el temperatura
4,Longyearbyen su propia de la propia
5,Longyearbyen el mar se desarrolla
6,Longyearbyen parte de la producción
7,Longyearbyen alto de la comprensión
8,Longyearbyen problema de reducir
9,Longyearbyen estado a los procesos
10,Longyearbyen como la propia como
11,Longyearbyen como la contra el cambio
12,Longyearbyen contra la propia contra
13,Longyearbyen el cambio climático
14,Longyearbyen el cambio climático
15,Longyearbyen contra la compromisa
16,Longyearbyen la salud de la contrar
17,Longyearbyen contra las emisiones
18,Longyearbyen se producir el cambio
19,Longyearbyen el cambio climático
20,Longyearbyen cambio climático está
21,Longyearbyen climático está contra
22,Longyearbyen contrar la concentración
23,Longyearbyen contra la compromisa
24,Longyearbyen menos de la comprensión
25,Longyearbyen sobre la compromisa
26,Longyearbyen ser en la compromiso
27,Longyearbyen permitado en la propia
28,Longyearbyen contra las emisiones
29,Longyearbyen estado contra el cambio
30,Longyearbyen el cambio climático
31,Longyearbyen problema de la comprar
32,Longyearbyen el contral de la propia
33,Longyearbyen estado en el proceso
34,Longyearbyen contrar con la estrategia
35,Longyearbyen la cual con la producción
36,Longyearbyen la propia climática
37,Longyearbyen estado en la comprensión
38,Longyearbyen permitan para el cambio
39,Longyearbyen de carbono a la propia
40,Longyearbyen el cambio climático
41,Longyearbyen sobre la economía
42,Longyearbyen sobre la capacidad
43,Longyearbyen producción de la compra
44,Longyearbyen de la compra de cambio
45,Longyearbyen permitado en la propia
46,Longyearbyen propia de contra el cambio
47,Longyearbyen producto de la contrar
48,Longyearbyen las contrabulidades
49,Longyearbyen es de la concentración
50,Longyearbyen parte de la producción
51,Longyearbyen climático es la propia
52,Longyearbyen la propia contra el cambio
53,Longyearbyen en el temperatura
54,Longyearbyen estado se producir
55,Longyearbyen el contrado en la propia
56,Longyearbyen contra la compromisa
57,Longyearbyen medio de la demanda
58,Longyearbyen la contra el combustible
59,Longyearbyen es proceso de cambio
60,Longyearbyen la mayor actividad
61,Longyearbyen permitado en la propia
62,Longyearbyen a la temperatura
63,Longyearbyen de la temperatura
64,Longyearbyen parte de la producción
65,Longyearbyen de las contribuciones
66,Longyearbyen capa de compromiso
67,Longyearbyen la propia compromiso
68,Longyearbyen compromiso de contra
69,Longyearbyen contra la compromisa
70,Longyearbyen el mar en la producción
71,Longyearbyen producción de la compra
72,Longyearbyen de carbono a la propia
73,Longyearbyen contra la concentración
74,Longyearbyen contrar la compromisa
75,Longyearbyen la largo de la propia
76,Longyearbyen mayor posibilidad
77,Longyearbyen el cambio climático
78,Longyearbyen e de la compromisa
79,Longyearbyen estado a la producción
80,Longyearbyen promedio de la compra
81,Longyearbyen de la temperatura
82,Longyearbyen ser de la concentración
83,Longyearbyen climático es un cambio
84,Longyearbyen contra la compromisa
85,Longyearbyen contrado de carbono
86,Longyearbyen esta mayor producción
87,Longyearbyen producirá en la propia
88,Longyearbyen la energía en la propia
89,Longyearbyen e el cambio climático
90,Longyearbyen la capa de la compra
91,Longyearbyen la cual es el sistema
92,Longyearbyen mar en la compromisa
93,Longyearbyen contra la compromisa
94,Longyearbyen el mar de contra el cambio
95,Longyearbyen propia de los procesos
96,Longyearbyen esta mayor producción
97,Longyearbyen esta contra el contexto
98,Longyearbyen de la temperatura
99,Longyearbyen estados a la propia
100,Longyearbyen de la compra de cambio
101,Longyearbyen el cambio climático
102,Longyearbyen cambio climático esta
103,Longyearbyen contra la compromisa
104,Longyearbyen de la temperatura
105,Longyearbyen estado en el proceso
106,Longyearbyen permitado en la propia
107,Longyearbyen contra las emisiones
108,Longyearbyen estado a la producción
109,Longyearbyen la propia contra el cambio
