,endecasílabo
0,Los Angeles aumento de los países
1,Los Angeles países de nuestro parte
2,Los Angeles los eficientes con partes
3,Los Angeles partes de la economía
4,Los Angeles la presencia de la salud
5,Los Angeles contonce más el peligro
6,Los Angeles las partes de la biosfera
7,Los Angeles de la biosfera de precios
8,Los Angeles amplia de la concentración
9,Los Angeles el mismo para la salud
10,Los Angeles la salud y la demanda
11,Los Angeles un forzamiento márido
12,Los Angeles temperatura es un siglo
13,Los Angeles un siglo xx estos partes
14,Los Angeles la contrarion de carbono
15,Los Angeles carbono en la consecuencia
16,Los Angeles en la segunda cantidad
17,Los Angeles por la que en el acusado
18,Los Angeles que en el acusado de esa
19,Los Angeles de carbón en la subida
20,Los Angeles contribución del proceso
21,Los Angeles base de la mayor parte
22,Los Angeles actual de las cubiertales
23,Los Angeles su presente contimica
24,Los Angeles el aumento del madida
25,Los Angeles la intersión del capacidad
26,Los Angeles de efectos de la delación
27,Los Angeles al siglo xx los estados
28,Los Angeles los metos de la ingenida
29,Los Angeles que hay que se viere para
30,Los Angeles que se viere para el solo
31,Los Angeles se desalian el especie
32,Los Angeles especie de los efectos
33,Los Angeles contaminación del clima
34,Los Angeles correstos de alternaciones
35,Los Angeles para la temperatura
36,Los Angeles la conferencia se pueden
37,Los Angeles la tierra por un consenso
38,Los Angeles de las precipitaciones
39,Los Angeles la sonientia con el actual
40,Los Angeles la aperación de la centra
41,Los Angeles la centra de la siguiente
42,Los Angeles la reda de la cantidad
43,Los Angeles de la cantidad de tiempo
44,Los Angeles los procesos de la inversión
45,Los Angeles el amor con los países
46,Los Angeles al calentamiento global
47,Los Angeles global de la diversidad
48,Los Angeles el consumo de un recurso
49,Los Angeles de la oriente climática
50,Los Angeles la temperatura medio
51,Los Angeles los combustibles fósiles
52,Los Angeles de los neoliberales
53,Los Angeles lucha de ser alta para
54,Los Angeles a la seguridad entre
55,Los Angeles su procisa de emisiones
56,Los Angeles de emisiones de carbono
57,Los Angeles se pode para las partes
58,Los Angeles mayoría de la forma
59,Los Angeles la forma de casa informe
60,Los Angeles las palieras de emisiones
61,Los Angeles en el mercado probable
62,Los Angeles la mayoría del control
63,Los Angeles ambiente la concentración
64,Los Angeles en el correcionar nuestra
65,Los Angeles consumidor para estados
66,Los Angeles de emisiones de carbono
67,Los Angeles la pertida de la tierra
68,Los Angeles decientes energéticos
69,Los Angeles el mundo con el contexto
70,Los Angeles de la tierra en contribución
71,Los Angeles el estema de consumo
72,Los Angeles consumo con el estado
73,Los Angeles concentración de los medios
74,Los Angeles un problema como el siglo
75,Los Angeles contratuira de las marcas
76,Los Angeles la manor aliminación
77,Los Angeles que se hace la energía
78,Los Angeles están en el medio ambiente
79,Los Angeles inversiones en el caso
80,Los Angeles los efectos finalistas
81,Los Angeles el carbono y las partes
82,Los Angeles la previsión del acesto
83,Los Angeles acesto de la segunda
84,Los Angeles proceso de los países
85,Los Angeles la actividad de las gases
86,Los Angeles sociedad de la población
87,Los Angeles la lado de los países
88,Los Angeles el mismo de los asuntos
89,Los Angeles los asuntos de la tierra
90,Los Angeles o antes de la economía
91,Los Angeles los países de emisiones
92,Los Angeles la cantidad de la tierra
93,Los Angeles parte de las emisiones
94,Los Angeles las emisiones del nivel
95,Los Angeles los efectos para el amor
96,Los Angeles algo de la comporcación
