,verse,terminacion
0,Los Llanos de Aridane load model,"[<'mo':cV>, <'del':cVc>]"
1,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
2,Los Llanos de Aridane la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
3,Los Llanos de Aridane la intersidad,"[<'in':vc>, <'ter':cVc>, <'si':sv>, <'dad':cVc>]"
4,Los Llanos de Aridane política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
5,Los Llanos de Aridane de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
6,Los Llanos de Aridane de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
7,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
8,Los Llanos de Aridane en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
9,Los Llanos de Aridane compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
10,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
11,Los Llanos de Aridane la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
12,Los Llanos de Aridane las procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
13,Los Llanos de Aridane de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
14,Los Llanos de Aridane compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
15,Los Llanos de Aridane compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
16,Los Llanos de Aridane producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
17,Los Llanos de Aridane provocado,"[<'pro':ccV>, <'vo':cV>, <'ca':cV>, <'do':cV>]"
18,Los Llanos de Aridane la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
19,Los Llanos de Aridane de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
20,Los Llanos de Aridane de la compra,"[<'com':cVc>, <'pra':ccV>]"
21,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
22,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
23,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
24,Los Llanos de Aridane los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
25,Los Llanos de Aridane la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
26,Los Llanos de Aridane la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
27,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
28,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
29,Los Llanos de Aridane contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
30,Los Llanos de Aridane compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
31,Los Llanos de Aridane los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
32,Los Llanos de Aridane las problemas,"[<'pro':ccV>, <'ble':ccV>, <'mas':cVs>]"
33,Los Llanos de Aridane propia como,"[<'co':cV>, <'mo':cV>]"
34,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
35,Los Llanos de Aridane propia contra,"[<'con':cVc>, <'tra':ccV>]"
36,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
37,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
38,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
39,Los Llanos de Aridane la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
40,Los Llanos de Aridane el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
41,Los Llanos de Aridane y la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
43,Los Llanos de Aridane la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
44,Los Llanos de Aridane la contración,"[<'con':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Los Llanos de Aridane de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
46,Los Llanos de Aridane producido,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'do':cV>]"
47,Los Llanos de Aridane contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
48,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
49,Los Llanos de Aridane concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
50,Los Llanos de Aridane la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
51,Los Llanos de Aridane la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
52,Los Llanos de Aridane de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
53,Los Llanos de Aridane compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
