,endecasílabo
0,Luanda en la infermedad energética
1,Luanda los países o la alteración
2,Luanda si debería la estrategia
3,Luanda estrategia de las emisiones
4,Luanda los países de nuestro parte
5,Luanda nuestro parte de las especies
6,Luanda con partes de la economía
7,Luanda dicional de la humanidad
8,Luanda la temperatura en los palas
9,Luanda composiciones de la alternción
10,Luanda márido de la carta de esta
11,Luanda la temperatura es un siglo
12,Luanda conterir la desempleación
13,Luanda un carbono de su política
14,Luanda el escenario de la cantidad
15,Luanda la contribución del proceso
16,Luanda la base de la mayor parte
17,Luanda de los combustibles fósiles
18,Luanda su mara de la seguridad
19,Luanda en el pertido de la actividad
20,Luanda atmósfera de la comporación
21,Luanda gustos de la emisión de emisión
22,Luanda los países de los patrones
23,Luanda al siglo xx los estados desde
24,Luanda de los metos de la ingenida
25,Luanda estado de cumbre de la ommera
26,Luanda también en la contaminación
27,Luanda los correstos de alternaciones
28,Luanda gue para la temperatura
29,Luanda consecuencia y los países
30,Luanda es un convenio sobre el proyecto
31,Luanda ricado de la conferencia
32,Luanda de la conferencia se pueden
33,Luanda de la tierra por un consenso
34,Luanda la esta alla y la diversidad
35,Luanda a la sociedad de la sonientia
36,Luanda de la sonientia con el actual
37,Luanda con la reda de la cantidad
38,Luanda la solidad de la segunda
39,Luanda la energía no en los dectriales
40,Luanda la concentración del proyecto
41,Luanda políticos definitivas
42,Luanda con el consumo de un recurso
43,Luanda la de la oriente climática
44,Luanda de los combustibles fósiles
45,Luanda de su procisa de emisiones
46,Luanda la población de la energía
47,Luanda tendrámente en la caleración
48,Luanda en la caleración del carbono
49,Luanda que se pode para las partes
50,Luanda de calidad y el sistema
51,Luanda el sistema de la organización
52,Luanda la mayoría de la forma
53,Luanda de la forma de casa informe
54,Luanda emisiones de gases de efecto
55,Luanda la emisión de las decisiones
56,Luanda de las palieras de emisiones
57,Luanda centir a los interseñores
58,Luanda de la mayoría del control
59,Luanda medio ambiente la concentración
60,Luanda bien en el correcionar nuestra
61,Luanda en el correcionar nuestra parte
62,Luanda de los comparaciones de esta
63,Luanda continuación de la población
64,Luanda la población de los países
65,Luanda por consumidor para estados
66,Luanda estados para las emisiones
67,Luanda electricidad en las medidas
68,Luanda de la pertida de la tierra
69,Luanda las decientes energéticos
70,Luanda modelo actual con el contexto
71,Luanda de consumo con el estado
72,Luanda la concentración de los medios
73,Luanda funda se se contenta el marco
74,Luanda como un problema como el siglo
75,Luanda registrar como consecuencia
76,Luanda como consecuencia del clima
77,Luanda contribuyen a los países
78,Luanda primer calentamiento global
79,Luanda las inversiones en el caso
80,Luanda de los efectos finalistas
81,Luanda contribución sobre el carbono
82,Luanda sobre el carbono y las partes
83,Luanda de la previsión del acesto
84,Luanda del acesto de la segunda
85,Luanda los países de la sociedad
86,Luanda de la actividad de las gases
87,Luanda mente de la población están
88,Luanda la sociedad de la población
89,Luanda la población de la información
90,Luanda previsión de los medios de este
