,endecasílabo
0,Male en la infermedad energética
1,Male los países o la alteración
2,Male si debería la estrategia
3,Male estrategia de las emisiones
4,Male los países de nuestro parte
5,Male nuestro parte de las especies
6,Male con partes de la economía
7,Male dicional de la humanidad
8,Male la temperatura en los palas
9,Male composiciones de la alternción
10,Male márido de la carta de esta
11,Male la temperatura es un siglo
12,Male conterir la desempleación
13,Male un carbono de su política
14,Male el escenario de la cantidad
15,Male la contribución del proceso
16,Male la base de la mayor parte
17,Male de los combustibles fósiles
18,Male su mara de la seguridad
19,Male en el pertido de la actividad
20,Male atmósfera de la comporación
21,Male gustos de la emisión de emisión
22,Male los países de los patrones
23,Male al siglo xx los estados desde
24,Male de los metos de la ingenida
25,Male estado de cumbre de la ommera
26,Male también en la contaminación
27,Male los correstos de alternaciones
28,Male gue para la temperatura
29,Male consecuencia y los países
30,Male es un convenio sobre el proyecto
31,Male ricado de la conferencia
32,Male de la conferencia se pueden
33,Male de la tierra por un consenso
34,Male la esta alla y la diversidad
35,Male a la sociedad de la sonientia
36,Male de la sonientia con el actual
37,Male con la reda de la cantidad
38,Male la solidad de la segunda
39,Male la energía no en los dectriales
40,Male la concentración del proyecto
41,Male políticos definitivas
42,Male con el consumo de un recurso
43,Male la de la oriente climática
44,Male de los combustibles fósiles
45,Male de su procisa de emisiones
46,Male la población de la energía
47,Male tendrámente en la caleración
48,Male en la caleración del carbono
49,Male que se pode para las partes
50,Male de calidad y el sistema
51,Male el sistema de la organización
52,Male la mayoría de la forma
53,Male de la forma de casa informe
54,Male emisiones de gases de efecto
55,Male la emisión de las decisiones
56,Male de las palieras de emisiones
57,Male centir a los interseñores
58,Male de la mayoría del control
59,Male medio ambiente la concentración
60,Male bien en el correcionar nuestra
61,Male en el correcionar nuestra parte
62,Male de los comparaciones de esta
63,Male continuación de la población
64,Male la población de los países
65,Male por consumidor para estados
66,Male estados para las emisiones
67,Male electricidad en las medidas
68,Male de la pertida de la tierra
69,Male las decientes energéticos
70,Male modelo actual con el contexto
71,Male de consumo con el estado
72,Male la concentración de los medios
73,Male funda se se contenta el marco
74,Male como un problema como el siglo
75,Male registrar como consecuencia
76,Male como consecuencia del clima
77,Male contribuyen a los países
78,Male primer calentamiento global
79,Male las inversiones en el caso
80,Male de los efectos finalistas
81,Male contribución sobre el carbono
