,verse,terminacion
0,Mamoudzou del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Mamoudzou países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Mamoudzou los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Mamoudzou partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Mamoudzou de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Mamoudzou para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Mamoudzou a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Mamoudzou contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Mamoudzou las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Mamoudzou de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Mamoudzou de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Mamoudzou sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Mamoudzou es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Mamoudzou ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Mamoudzou contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Mamoudzou guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Mamoudzou la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Mamoudzou aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Mamoudzou en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Mamoudzou diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Mamoudzou a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Mamoudzou n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Mamoudzou me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Mamoudzou los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Mamoudzou se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
25,Mamoudzou correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
26,Mamoudzou para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
27,Mamoudzou y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
28,Mamoudzou la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Mamoudzou de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
30,Mamoudzou de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
31,Mamoudzou la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
32,Mamoudzou en el carbón y al contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
33,Mamoudzou contribución en la esta alla,"[<'a':V>, <'lla':ccV>]"
34,Mamoudzou salia del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
35,Mamoudzou que los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
