,verse,terminacion
0,Mamoudzou permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Mamoudzou en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Mamoudzou de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Mamoudzou problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Mamoudzou modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Mamoudzou contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,Mamoudzou entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Mamoudzou carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Mamoudzou menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Mamoudzou parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Mamoudzou parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Mamoudzou mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Mamoudzou contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Mamoudzou mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,Mamoudzou marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,Mamoudzou mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Mamoudzou climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Mamoudzou como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,Mamoudzou producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Mamoudzou el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,Mamoudzou marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Mamoudzou climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,Mamoudzou está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,Mamoudzou marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Mamoudzou parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,Mamoudzou política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Mamoudzou climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Mamoudzou carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,Mamoudzou propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Mamoudzou contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,Mamoudzou contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Mamoudzou el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,Mamoudzou menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,Mamoudzou la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,Mamoudzou marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,Mamoudzou la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Mamoudzou por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Mamoudzou el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,Mamoudzou en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
39,Mamoudzou la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
40,Mamoudzou permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,Mamoudzou de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
42,Mamoudzou para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,Mamoudzou contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,Mamoudzou el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,Mamoudzou la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
46,Mamoudzou permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
47,Mamoudzou parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
48,Mamoudzou emisiones de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
49,Mamoudzou la propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
50,Mamoudzou producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Mamoudzou el proyecto de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
52,Mamoudzou permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
53,Mamoudzou de la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
54,Mamoudzou menos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
55,Mamoudzou permitado por la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Mamoudzou el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Mamoudzou parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
58,Mamoudzou en la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
59,Mamoudzou contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
60,Mamoudzou contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
61,Mamoudzou menos precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
62,Mamoudzou permita de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
63,Mamoudzou la capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
64,Mamoudzou de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
65,Mamoudzou menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
