,endecasílabo
0,Manaus permitado en la compromisa
1,Manaus la concentración de la compra
2,Manaus la concentración de la propia
3,Manaus las procesos de compromiso
4,Manaus de compromiso de carbono
5,Manaus los modelos de compromiso
6,Manaus la concentración de la propia
7,Manaus de la propia de compromiso
8,Manaus ha contral de la concentración
9,Manaus provocado en la compromisa
10,Manaus permitado en la concentración
11,Manaus la propia de la consecuencia
12,Manaus permitado en la compromitad
13,Manaus entre el mar de la concentración
14,Manaus mayor parte de la producción
15,Manaus por el mar de la consecuencia
16,Manaus de carbono en la concentración
17,Manaus a menos de la consecuencia
18,Manaus permitado en la compromisa
19,Manaus la contribución de la compra
20,Manaus producción de la concentración
21,Manaus medida de la concentración
22,Manaus las problemas de compromiso
23,Manaus propia como la contra el cambio
24,Manaus la concentración de la contrar
25,Manaus la capa de la contra el cambio
26,Manaus la compra de la contra el cambio
27,Manaus la contrar con la concentración
28,Manaus permitado en las emisiones
29,Manaus permitado en el petróleo
30,Manaus las emisiones de carbono
31,Manaus carbono y la compromiso
32,Manaus cambio climático está contra
33,Manaus producido en la compromisa
34,Manaus la concentración de la propia
35,Manaus esta contrar la concentración
36,Manaus la compromisa climática
37,Manaus de carbono en la compromisa
38,Manaus permitado en la concentración
39,Manaus la propia de la concentración
40,Manaus producción de la concentración
41,Manaus la concentración de la compra
42,Manaus compromitad de la comprensión
43,Manaus contra el cambio climático esta
44,Manaus las emisiones de carbono
45,Manaus de la compra de compromiso
46,Manaus permitado en la compromiso
47,Manaus producido en la compromisa
48,Manaus de la comprar en la producción
49,Manaus el contral de la propia contra
50,Manaus demanda de la compromisa
51,Manaus compromisa de compromiso
52,Manaus compromiso de compromiso
53,Manaus la conferencia de la estada
54,Manaus estado de la consecuencia
55,Manaus estamos en la concentración
56,Manaus la capacidad de carbono
57,Manaus procesos de la concentración
58,Manaus la compra de la concentración
59,Manaus la capa de las emisiones
60,Manaus estado con la compromisa
61,Manaus problema de la concentración
62,Manaus la concentración de la compra
63,Manaus se producirá a la energía
