,verse,terminacion
0,Manaus permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
1,Manaus la concentración de la compra,"[<'com':cVc>, <'pra':ccV>]"
2,Manaus la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
3,Manaus las procesos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Manaus de compromiso de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Manaus los modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
6,Manaus la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Manaus de la propia de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
8,Manaus ha contral de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
9,Manaus provocado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
10,Manaus permitado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Manaus la propia de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
12,Manaus permitado en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
13,Manaus entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
14,Manaus mayor parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
15,Manaus por el mar de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
16,Manaus de carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
17,Manaus a menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
18,Manaus permitado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Manaus la contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
20,Manaus producción de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Manaus medida de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Manaus las problemas de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
23,Manaus propia como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
24,Manaus la concentración de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
25,Manaus la capa de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
26,Manaus la compra de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Manaus la contrar con la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
28,Manaus permitado en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Manaus permitado en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
30,Manaus las emisiones de carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
31,Manaus carbono y la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
32,Manaus cambio climático está contra,"[<'con':cVc>, <'tra':ccV>]"
33,Manaus producido en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
34,Manaus la concentración de la propia,"[<'pro':ccV>, <'pia':cvV>]"
