,endecasílabo
0,Manhattan permitado en la atmósfera
1,Manhattan esta mayor política
2,Manhattan de carbono a la producción
3,Manhattan problema de compromiso
4,Manhattan modelos de compromiso
5,Manhattan esta mayor producida
6,Manhattan contribución de la propia
7,Manhattan carbono en la concentración
8,Manhattan menos de la consecuencia
9,Manhattan parte de la concentración
10,Manhattan parte de la concentración
11,Manhattan mundial de la concentración
12,Manhattan contribución de la compra
13,Manhattan el problema de reducir
14,Manhattan mayor parte de la salud
15,Manhattan estado como la propia
16,Manhattan marca de la concentración
17,Manhattan mayor en la compromisa
18,Manhattan climático como el cambio
19,Manhattan como el cambio climático
20,Manhattan producto en la compromisa
21,Manhattan en la salud de la contrar
22,Manhattan marco de la concentración
23,Manhattan climático en la atmósfera
24,Manhattan el cambio climático está
25,Manhattan esta esta mayor producción
26,Manhattan marca de la concentración
27,Manhattan parte de la contra el cambio
28,Manhattan política en la producción
29,Manhattan climática y el cambio
30,Manhattan al menos de la comprensión
31,Manhattan carbono en la compromisa
32,Manhattan propia de la concentración
33,Manhattan contra el cambio climático
34,Manhattan el cambio climático esta
35,Manhattan estado en la concentración
36,Manhattan contra el cambio climático
37,Manhattan menos de la compromisa
38,Manhattan la compra de compromiso
39,Manhattan marco de la concentración
40,Manhattan la comprar en la producción
41,Manhattan por el contral de la propia
42,Manhattan la contrar con la estrategia
43,Manhattan permitado de la propia
44,Manhattan de la propia climática
45,Manhattan para el cambio climático
46,Manhattan contra el cambio climático
47,Manhattan estado en la consecuencia
48,Manhattan la producción de la compra
49,Manhattan permitado de la compra
50,Manhattan parte de la compromisa
51,Manhattan estado su proporciona
52,Manhattan la propia de contra el cambio
53,Manhattan producirá a la energía
54,Manhattan en las contrabulidades
55,Manhattan permitado de la propia
56,Manhattan de la propia contra el cambio
57,Manhattan menos de la concentración
58,Manhattan permitado por la propia
59,Manhattan a la contra el combustible
60,Manhattan parte de la compromisa
61,Manhattan e la mayor actividad
62,Manhattan contra el cambio climático
63,Manhattan contra el cambio climático
64,Manhattan menos precipitaciones
65,Manhattan permita de la producción
66,Manhattan la capa de compromiso
67,Manhattan en la propia compromiso
68,Manhattan de contra la compromisa
69,Manhattan estado sobre la propia
70,Manhattan menos de la compromisa
71,Manhattan por el mar en la producción
72,Manhattan permita en la compromisa
73,Manhattan la producción de la compra
74,Manhattan contra el cambio climático
75,Manhattan permitado de la estado
76,Manhattan producido a la energía
77,Manhattan parte de la contra el cambio
78,Manhattan de contra la compromisa
79,Manhattan la contrar la compromisa
80,Manhattan comprensión de la producción
81,Manhattan propia con la compromisa
82,Manhattan permita en la compromisa
83,Manhattan por el cambio climático
84,Manhattan problema de la producción
85,Manhattan estado en la concentración
86,Manhattan parte de la compromisa
87,Manhattan la propia de la comprensión
88,Manhattan permitado en la producción
89,Manhattan seguir en la contribución
90,Manhattan la estada de compromiso
91,Manhattan parte de la concentración
92,Manhattan la propia como el problema
93,Manhattan problema con la atmósfera
94,Manhattan el contrado de carbono
95,Manhattan carbono que la comprensión
96,Manhattan la compromisa de deces
97,Manhattan deces con la compromisa
98,Manhattan se producirá en la propia
99,Manhattan esta mayor contra el cambio
100,Manhattan manor en la compromisa
101,Manhattan estado en la compromisa
102,Manhattan el mar y la contra el cambio
103,Manhattan modelo de la producción
104,Manhattan la energía necesaria
105,Manhattan los combustibles fósiles
106,Manhattan la propia como el estado
107,Manhattan a la capa de la compra
108,Manhattan compromiso de carbono
109,Manhattan carbono y el problema
110,Manhattan la energía contra el cambio
111,Manhattan contribución de la compra
112,Manhattan se esta mayor producida
113,Manhattan compromiso de la capa
114,Manhattan producto a las emisiones
115,Manhattan la propia de los procesos
116,Manhattan estado en la concentración
117,Manhattan segundo de la producción
118,Manhattan la comprensión de la propia
119,Manhattan permitado en la comprensión
120,Manhattan en el cambio climático
121,Manhattan el cambio climático esta
122,Manhattan parte de la concentración
123,Manhattan parte de la compromisa
124,Manhattan climático en la producción
125,Manhattan parte de la compromisa
126,Manhattan la producción de la compra
127,Manhattan la compra de la producción
128,Manhattan menos de la compromisa
129,Manhattan una vez más de la contrar
130,Manhattan marco de la concentración
131,Manhattan menos en la concentración
132,Manhattan ser estado a la producción
133,Manhattan contra el cambio climático
134,Manhattan los procesos de carbono
135,Manhattan seguridad establecir
136,Manhattan parte de la contribución
137,Manhattan parte de la compromisa
138,Manhattan a la propia contra el cambio
139,Manhattan consecuencia de la contrar
140,Manhattan la contrar la compromisa
141,Manhattan la compra de la estructura
142,Manhattan contra el cambio climático
143,Manhattan de la compra de consumo
144,Manhattan la compromisa de cambio
145,Manhattan por el cambio climático
146,Manhattan permitado en el promedio
147,Manhattan la estado de la comprensión
148,Manhattan estado se desarrollar
149,Manhattan se desarrollar la estada
150,Manhattan mercado de la energía
151,Manhattan estado en la contribución
152,Manhattan carbono en la compromisa
153,Manhattan menos de la concentración
154,Manhattan permitado en la producción
155,Manhattan contración de la producción
156,Manhattan de todo la contra el cambio
157,Manhattan menos de la concentración
158,Manhattan estado en la compromisa
159,Manhattan contra el cambio climático
160,Manhattan la comprensión de la compra
161,Manhattan la producción de la compra
162,Manhattan parte de la concentración
163,Manhattan menos de la concentración
164,Manhattan proceso de esta producción
165,Manhattan proceso de compromiso
166,Manhattan sin embargo se producir
167,Manhattan contra el mar en la atmósfera
168,Manhattan de compromiso de contra
