,verse,terminacion
0,Manukau City ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Manukau City la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Manukau City de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Manukau City de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Manukau City esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Manukau City países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Manukau City contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Manukau City en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Manukau City de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Manukau City marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Manukau City los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Manukau City as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Manukau City en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Manukau City de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Manukau City en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Manukau City de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Manukau City la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Manukau City s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Manukau City en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Manukau City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Manukau City la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Manukau City el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Manukau City nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Manukau City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Manukau City para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Manukau City el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Manukau City gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Manukau City la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Manukau City al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Manukau City de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Manukau City la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Manukau City la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Manukau City a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
