,endecasílabo
0,Maputo del proyecto la actividad
1,Maputo países de nuestro parte
2,Maputo los eficientes con partes
3,Maputo partes de la economía
4,Maputo de los s en el carbono
5,Maputo para marcio a la presencia
6,Maputo a la presencia de la salud
7,Maputo contonce más el peligro
8,Maputo las partes de la biosfera
9,Maputo de la biosfera de precios
10,Maputo de la alternción de la salud
11,Maputo sa amplia de la concentración
12,Maputo es un siglo xx estos partes
13,Maputo ndia de las concentraciones
14,Maputo contribución del proceso
15,Maputo guardo estado a la subida
16,Maputo la actual de las cubiertales
17,Maputo aumenta de las emisiones
18,Maputo en el que se definitica
19,Maputo diración de los países
20,Maputo a la intersión del capacidad
21,Maputo n el que debe el mercado
22,Maputo me considerable al siglo
23,Maputo los metos de la ingenida
24,Maputo se desalian el especie
25,Maputo correstos de alternaciones
26,Maputo para la temperatura
27,Maputo y los países de efectos
28,Maputo la conferencia se pueden
29,Maputo de los periodos de calor
30,Maputo de calor de los países
31,Maputo la tierra por un consenso
32,Maputo en el carbón y al contexto
33,Maputo contribución en la esta alla
34,Maputo salia del calentamiento
35,Maputo que los neoliberales
36,Maputo la aperación de la centra
37,Maputo pertinente con la reda
38,Maputo la reda de la cantidad
39,Maputo de la cantidad de tiempo
40,Maputo los procesos de la inversión
41,Maputo energía no en los dectriales
42,Maputo actividades políticos
43,Maputo de la oriente climática
44,Maputo la temperatura medio
45,Maputo medio albiente con su fecha
46,Maputo los combustibles fósiles
47,Maputo por el paso de la guerra
48,Maputo en la cauta de las segundas
49,Maputo la forma de casa informe
50,Maputo r para mayor aumento
51,Maputo se podría energética
52,Maputo y las oficinas para
53,Maputo marcha de la mayoría
54,Maputo la mayoría del control
55,Maputo con bien en el correcionar
56,Maputo los comparaciones de esta
57,Maputo de las pautas de emisiones
58,Maputo la pertida de la tierra
59,Maputo decientes energéticos
60,Maputo se puede ser concentración
61,Maputo ser concentración del caso
62,Maputo de la tierra en contribución
63,Maputo consumo con el estado
64,Maputo concentración de los medios
65,Maputo la manor aliminación
66,Maputo que se hace la energía
67,Maputo disponibles contribuyen
68,Maputo en el carbón en los estrenos
69,Maputo que están en el medio ambiente
70,Maputo lización de los efectos
71,Maputo proceso de los países
72,Maputo y contención de los partes
73,Maputo la actividad de las gases
74,Maputo sociedad de la población
75,Maputo en la lado de los países
76,Maputo ró el mismo de los asuntos
77,Maputo la previsión de los medios
78,Maputo establecida de carbono
79,Maputo de carbono e internacional
80,Maputo gas de los altimos o antes
81,Maputo de los alternos de especies
82,Maputo en los países de emisiones
83,Maputo parte de las emisiones
84,Maputo las emisiones del nivel
85,Maputo los efectos para el amor
86,Maputo para el amor de la función
87,Maputo cantidad de mantenida
88,Maputo dida de las emisiones
89,Maputo forma de la concentración
