,endecasílabo
0,Maputo permitado en la atmósfera
1,Maputo en el proyecto de la tierra
2,Maputo de carbono a la producción
3,Maputo problema de compromiso
4,Maputo modelos de compromiso
5,Maputo contribución de la propia
6,Maputo entre el mar de la concentración
7,Maputo carbono en la concentración
8,Maputo menos de la consecuencia
9,Maputo parte de la concentración
10,Maputo parte de la concentración
11,Maputo mundial de la concentración
12,Maputo contribución de la compra
13,Maputo mayor parte de la salud
14,Maputo marca de la concentración
15,Maputo mayor en la compromisa
16,Maputo climático como el cambio
17,Maputo como el cambio climático
18,Maputo producto en la compromisa
19,Maputo el petróleo y la propia
20,Maputo marco de la concentración
21,Maputo climático en la atmósfera
22,Maputo está contra la compromica
23,Maputo marca de la concentración
24,Maputo parte de la contra el cambio
25,Maputo política en la producción
26,Maputo climática y el cambio
27,Maputo carbono en la compromisa
28,Maputo propia de la concentración
29,Maputo contra el cambio climático
30,Maputo contra el cambio climático
31,Maputo el cambio climático sobre
32,Maputo menos de la compromisa
33,Maputo la compra de compromiso
34,Maputo marco de la concentración
35,Maputo la comprar en la producción
36,Maputo por el contral de la propia
37,Maputo el contral de la propia contra
38,Maputo en el proceso de la propia
39,Maputo la contrar con la estrategia
40,Maputo permitado de la propia
41,Maputo de la propia climática
42,Maputo para el cambio climático
43,Maputo contra el cambio climático
44,Maputo el cambio climático sobre
45,Maputo la producción de la compra
46,Maputo permitado de la compra
47,Maputo parte de la compromisa
48,Maputo emisiones de contra el cambio
49,Maputo la propia de contra el cambio
50,Maputo producirá a la energía
51,Maputo el proyecto de la actualidad
52,Maputo permitado de la propia
53,Maputo de la propia contra el cambio
54,Maputo menos de la concentración
55,Maputo permitado por la propia
56,Maputo el contrado en la compromisa
57,Maputo parte de la compromisa
58,Maputo en la propia de la comprensión
59,Maputo contra el cambio climático
60,Maputo contra el cambio climático
61,Maputo menos precipitaciones
62,Maputo permita de la producción
63,Maputo la capa de compromiso
64,Maputo de contra la compromisa
65,Maputo menos de la compromisa
66,Maputo por el mar en la producción
67,Maputo permita en la compromisa
68,Maputo la producción de la compra
69,Maputo contra el cambio climático
70,Maputo permitado de la estado
71,Maputo producido a la energía
72,Maputo el proceso de compromiso
73,Maputo parte de la contra el cambio
74,Maputo de contra la compromisa
75,Maputo la contrar la compromisa
76,Maputo comprensión de la producción
77,Maputo propia con la compromisa
78,Maputo permita en la compromisa
79,Maputo por el cambio climático
80,Maputo problema de la producción
81,Maputo parte de la compromisa
82,Maputo la propia de la comprensión
83,Maputo el mercado de la producción
84,Maputo permitado en la producción
85,Maputo seguir en la contribución
86,Maputo la estada de compromiso
87,Maputo parte de la concentración
88,Maputo la propia como el problema
89,Maputo problema con la atmósfera
90,Maputo carbono que la comprensión
91,Maputo la compromisa de deces
92,Maputo deces con la compromisa
