,verse,terminacion
0,Maracaibo proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Maracaibo aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Maracaibo de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Maracaibo los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Maracaibo los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Maracaibo la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Maracaibo nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Maracaibo amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Maracaibo el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Maracaibo un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Maracaibo márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Maracaibo un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Maracaibo de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Maracaibo consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Maracaibo en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Maracaibo de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Maracaibo calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Maracaibo las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Maracaibo la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Maracaibo la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Maracaibo te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Maracaibo actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Maracaibo de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Maracaibo ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Maracaibo el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Maracaibo de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Maracaibo compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Maracaibo carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,Maracaibo re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Maracaibo considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,Maracaibo al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,Maracaibo lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Maracaibo especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,Maracaibo de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Maracaibo de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,Maracaibo los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,Maracaibo los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Maracaibo calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Maracaibo permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,Maracaibo de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Maracaibo contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
41,Maracaibo de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Maracaibo los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
43,Maracaibo timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
44,Maracaibo general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
45,Maracaibo el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
46,Maracaibo se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
47,Maracaibo al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
48,Maracaibo el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
49,Maracaibo de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
50,Maracaibo s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Maracaibo n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Maracaibo la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Maracaibo a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
54,Maracaibo de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
55,Maracaibo por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
56,Maracaibo de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
57,Maracaibo consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Maracaibo de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
59,Maracaibo se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
60,Maracaibo para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
61,Maracaibo del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
62,Maracaibo consideración para,"[<'pa':cV>, <'ra':cV>]"
63,Maracaibo cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
64,Maracaibo podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
65,Maracaibo en el mercado probable,"[<'pro':ccV>, <'ba':cV>, <'ble':ccV>]"
66,Maracaibo las oficinas para,"[<'pa':cV>, <'ra':cV>]"
67,Maracaibo ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
68,Maracaibo bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
69,Maracaibo en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
70,Maracaibo de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
71,Maracaibo comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
72,Maracaibo por consumidor para,"[<'pa':cV>, <'ra':cV>]"
73,Maracaibo siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
74,Maracaibo los combustibles fueron,"[<'fue':cvV>, <'ron':cVc>]"
75,Maracaibo las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
76,Maracaibo puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
77,Maracaibo concentración del caso,"[<'ca':cV>, <'so':sV>]"
78,Maracaibo el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
79,Maracaibo el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
80,Maracaibo se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
81,Maracaibo un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
82,Maracaibo s de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
83,Maracaibo consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
84,Maracaibo del clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
85,Maracaibo primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
