,verse,terminacion
0,Maspalomas producto en el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
1,Maspalomas contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
2,Maspalomas carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Maspalomas en el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
4,Maspalomas su propia de la propia,"[<'pro':ccV>, <'pia':cvV>]"
5,Maspalomas el mar se desarrolla,"[<'de':cV>, <'sa':sV>, <'rro':ccV>, <'lla':ccV>]"
6,Maspalomas parte de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
7,Maspalomas alto de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
8,Maspalomas problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
9,Maspalomas estado a los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
10,Maspalomas como la propia como,"[<'co':cV>, <'mo':cV>]"
11,Maspalomas como la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
12,Maspalomas contra la propia contra,"[<'con':cVc>, <'tra':ccV>]"
13,Maspalomas el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
14,Maspalomas el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
15,Maspalomas contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Maspalomas la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
17,Maspalomas contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Maspalomas se producir el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Maspalomas el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Maspalomas cambio climático está,"[<'es':Vs>, <'tá':cV>]"
21,Maspalomas climático está contra,"[<'con':cVc>, <'tra':ccV>]"
22,Maspalomas contrar la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Maspalomas contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Maspalomas menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
25,Maspalomas sobre la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
26,Maspalomas ser en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
27,Maspalomas permitado en la propia,"[<'pro':ccV>, <'pia':cvV>]"
28,Maspalomas contra las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
29,Maspalomas estado contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Maspalomas el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Maspalomas problema de la comprar,"[<'com':cVc>, <'prar':ccVc>]"
32,Maspalomas el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
33,Maspalomas estado en el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
34,Maspalomas contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
