,endecasílabo
0,Masterton permitado en la atmósfera
1,Masterton esta mayor política
2,Masterton de carbono a la producción
3,Masterton problema de compromiso
4,Masterton modelos de compromiso
5,Masterton esta mayor producida
6,Masterton contribución de la propia
7,Masterton carbono en la concentración
8,Masterton menos de la consecuencia
9,Masterton parte de la concentración
10,Masterton parte de la concentración
11,Masterton mundial de la concentración
12,Masterton contribución de la compra
13,Masterton el problema de reducir
14,Masterton mayor parte de la salud
15,Masterton estado como la propia
16,Masterton marca de la concentración
17,Masterton mayor en la compromisa
18,Masterton climático como el cambio
19,Masterton como el cambio climático
20,Masterton producto en la compromisa
21,Masterton en la salud de la contrar
22,Masterton marco de la concentración
23,Masterton climático en la atmósfera
24,Masterton el cambio climático está
25,Masterton esta esta mayor producción
26,Masterton marca de la concentración
27,Masterton parte de la contra el cambio
28,Masterton política en la producción
29,Masterton climática y el cambio
30,Masterton al menos de la comprensión
31,Masterton carbono en la compromisa
32,Masterton propia de la concentración
33,Masterton contra el cambio climático
34,Masterton el cambio climático esta
35,Masterton estado en la concentración
36,Masterton contra el cambio climático
37,Masterton menos de la compromisa
38,Masterton la compra de compromiso
39,Masterton marco de la concentración
40,Masterton la comprar en la producción
41,Masterton por el contral de la propia
42,Masterton la contrar con la estrategia
43,Masterton permitado de la propia
44,Masterton de la propia climática
45,Masterton para el cambio climático
46,Masterton contra el cambio climático
47,Masterton estado en la consecuencia
48,Masterton la producción de la compra
49,Masterton permitado de la compra
50,Masterton parte de la compromisa
51,Masterton estado su proporciona
52,Masterton la propia de contra el cambio
53,Masterton producirá a la energía
54,Masterton en las contrabulidades
55,Masterton permitado de la propia
56,Masterton de la propia contra el cambio
57,Masterton menos de la concentración
58,Masterton permitado por la propia
59,Masterton a la contra el combustible
60,Masterton parte de la compromisa
61,Masterton e la mayor actividad
62,Masterton contra el cambio climático
63,Masterton contra el cambio climático
64,Masterton menos precipitaciones
65,Masterton permita de la producción
66,Masterton la capa de compromiso
67,Masterton en la propia compromiso
68,Masterton de contra la compromisa
69,Masterton estado sobre la propia
70,Masterton menos de la compromisa
71,Masterton por el mar en la producción
72,Masterton permita en la compromisa
73,Masterton la producción de la compra
74,Masterton contra el cambio climático
75,Masterton permitado de la estado
76,Masterton producido a la energía
77,Masterton parte de la contra el cambio
78,Masterton de contra la compromisa
79,Masterton la contrar la compromisa
80,Masterton comprensión de la producción
81,Masterton propia con la compromisa
82,Masterton permita en la compromisa
83,Masterton por el cambio climático
84,Masterton problema de la producción
85,Masterton estado en la concentración
86,Masterton parte de la compromisa
87,Masterton la propia de la comprensión
88,Masterton permitado en la producción
89,Masterton seguir en la contribución
90,Masterton la estada de compromiso
91,Masterton parte de la concentración
92,Masterton la propia como el problema
93,Masterton problema con la atmósfera
94,Masterton el contrado de carbono
95,Masterton carbono que la comprensión
96,Masterton la compromisa de deces
97,Masterton deces con la compromisa
98,Masterton se producirá en la propia
99,Masterton esta mayor contra el cambio
100,Masterton manor en la compromisa
101,Masterton estado en la compromisa
102,Masterton el mar y la contra el cambio
103,Masterton modelo de la producción
104,Masterton la energía necesaria
105,Masterton los combustibles fósiles
106,Masterton la propia como el estado
107,Masterton a la capa de la compra
108,Masterton compromiso de carbono
109,Masterton carbono y el problema
110,Masterton la energía contra el cambio
111,Masterton contribución de la compra
112,Masterton se esta mayor producida
113,Masterton compromiso de la capa
114,Masterton producto a las emisiones
115,Masterton la propia de los procesos
116,Masterton estado en la concentración
117,Masterton segundo de la producción
118,Masterton la comprensión de la propia
119,Masterton permitado en la comprensión
120,Masterton en el cambio climático
121,Masterton el cambio climático esta
122,Masterton parte de la concentración
123,Masterton parte de la compromisa
124,Masterton climático en la producción
125,Masterton parte de la compromisa
126,Masterton la producción de la compra
127,Masterton la compra de la producción
128,Masterton menos de la compromisa
129,Masterton una vez más de la contrar
130,Masterton marco de la concentración
131,Masterton menos en la concentración
132,Masterton ser estado a la producción
133,Masterton contra el cambio climático
134,Masterton los procesos de carbono
135,Masterton seguridad establecir
136,Masterton parte de la contribución
137,Masterton parte de la compromisa
138,Masterton a la propia contra el cambio
139,Masterton consecuencia de la contrar
140,Masterton la contrar la compromisa
141,Masterton la compra de la estructura
142,Masterton contra el cambio climático
143,Masterton de la compra de consumo
144,Masterton la compromisa de cambio
145,Masterton por el cambio climático
146,Masterton permitado en el promedio
147,Masterton la estado de la comprensión
148,Masterton estado se desarrollar
149,Masterton se desarrollar la estada
150,Masterton mercado de la energía
151,Masterton estado en la contribución
152,Masterton carbono en la compromisa
153,Masterton menos de la concentración
154,Masterton permitado en la producción
155,Masterton contración de la producción
156,Masterton de todo la contra el cambio
157,Masterton menos de la concentración
158,Masterton estado en la compromisa
159,Masterton contra el cambio climático
160,Masterton la comprensión de la compra
161,Masterton la producción de la compra
162,Masterton parte de la concentración
163,Masterton menos de la concentración
164,Masterton proceso de esta producción
165,Masterton proceso de compromiso
166,Masterton sin embargo se producir
167,Masterton contra el mar en la atmósfera
168,Masterton de compromiso de contra
169,Masterton contra la temperatura
170,Masterton menos de la concentración
171,Masterton carbono que los países
172,Masterton la producción de la mayor
173,Masterton problema de la producción
174,Masterton de compromiso de contra
175,Masterton menos de la contribución
176,Masterton por el cambio climático
177,Masterton climático y la propia
178,Masterton de compromiso de carbón
179,Masterton carbono en la compromisa
180,Masterton permitado de la tierra
181,Masterton emisiones de carbono
182,Masterton carbono por un problema
183,Masterton estado en la contra el cambio
184,Masterton de combustibles fósiles
185,Masterton producto en la concentración
186,Masterton proceso de compromiso
187,Masterton esta mayor producida
188,Masterton estado en la compromisa
189,Masterton contra el cambio climático
190,Masterton medida de compromiso
191,Masterton la estado de la comprensión
192,Masterton parte de la comprendencia
193,Masterton estado en la concentración
194,Masterton el mar de la contribución
195,Masterton la comprensión de la compra
196,Masterton de la compra de carbono
197,Masterton proceso de compromiso
198,Masterton estado con la atmósfera
199,Masterton estado se desarrollar
200,Masterton desarrollar el problema
201,Masterton un contrado en el contexto
202,Masterton compromiso de la contrar
203,Masterton la compromisa de cambio
204,Masterton estado en la concentración
205,Masterton estado de contra el cambio
206,Masterton el que producir el cambio
207,Masterton en la ciencia de la contrar
208,Masterton contra el cambio climático
209,Masterton el cambio climático esta
210,Masterton en la contrar los contrales
211,Masterton segundo contra la propia
212,Masterton actual de la contra el cambio
213,Masterton la propia de compromiso
214,Masterton la propia de compromiso
215,Masterton compromiso de la compra
216,Masterton de carbono en la atmósfera
217,Masterton menos en la contribución
218,Masterton menos en las emisiones
219,Masterton carbono en la compromisa
220,Masterton ento de la consecuencia
221,Masterton ser producido en la propia
222,Masterton en la propia contra el cambio
223,Masterton la energía para el cambio
224,Masterton parte de la concentración
225,Masterton el calentamiento global
226,Masterton de carbono a la producción
227,Masterton de compromiso de cambio
228,Masterton tendría en la consecuencia
229,Masterton consecuencia de la contrar
230,Masterton la contrar la concentración
231,Masterton de contra la contra el cambio
232,Masterton al contrado en la comprensión
233,Masterton e en el cambio climático
234,Masterton de la propia como contra
235,Masterton producto en la contra el cambio
236,Masterton productos de la producción
237,Masterton propio con la concentración
238,Masterton estado en la compromisa
239,Masterton de carbono de la propia
240,Masterton estado en la compromisa
241,Masterton marca de la concentración
242,Masterton producción de la producción
243,Masterton contra la compromicado
244,Masterton la producción de la compra
245,Masterton países de contra el cambio
246,Masterton se desarrollar el cambio
247,Masterton problema de compromiso
248,Masterton medida de la intersidad
249,Masterton conjunto de compromiso
250,Masterton la producción de la compra
251,Masterton estado en la concentración
252,Masterton consecuencia de la compren
253,Masterton la compren de consecuencia
254,Masterton estado de la comprensión
255,Masterton estado en la concentración
256,Masterton parte de la contribución
257,Masterton contra el cambio climático
258,Masterton compromiso de la mayor
259,Masterton a la propia contra el cambio
260,Masterton en la compromisa contra
261,Masterton secuedad de la atmósfera
262,Masterton la mayor por la producción
263,Masterton la producción de la compra
264,Masterton estado de compromiso
265,Masterton la propia en la compromisa
266,Masterton contra el cambio climático
267,Masterton estado en la conferencia
268,Masterton estados de contra el cambio
269,Masterton la demanda de la propia
270,Masterton de la propia contra el cambio
271,Masterton el cambio climático esta
272,Masterton contra el cambio climático
273,Masterton la intersidad biológica
274,Masterton la compromisa continuar
275,Masterton de la contrar la contración
276,Masterton estado se desarrollar
277,Masterton parte de la compromisa
278,Masterton estado en la concentración
279,Masterton contra el cambio climático
280,Masterton contra el cambio climático
281,Masterton en la propia de consumo
282,Masterton parte de la contra el cambio
283,Masterton permitado en el consumo
284,Masterton estado se desarrollar
285,Masterton parte de la contra el cambio
286,Masterton menos de la concentración
287,Masterton el mar de la concentración
288,Masterton amplia de la compromisa
289,Masterton de carbono y la contrar
290,Masterton estado en la compromisa
291,Masterton compromiso de la propia
292,Masterton la energía necesaria
293,Masterton carbono a la compromisa
294,Masterton ser producido en la contral
295,Masterton estado de los países
296,Masterton parte de la concentración
297,Masterton compra de la propia como
298,Masterton en el contrado en la propia
299,Masterton en la propia como el cambio
300,Masterton antes de la compromiso
301,Masterton compromisa contra el cambio
302,Masterton contra el cambio climático
303,Masterton de compromiso de un medio
304,Masterton en el contral de la propia
305,Masterton permitan para la compra
306,Masterton la compra de compromiso
307,Masterton la propia de la comprensión
308,Masterton cambio climático sobre
309,Masterton la propia de compromiso
310,Masterton estado de la producción
311,Masterton marco de la concentración
312,Masterton la temperatura mundial
313,Masterton ser producido en la propia
314,Masterton la propia con la producción
315,Masterton parte de la concentración
316,Masterton menos en la compromisa
317,Masterton propuesta en la contrabución
318,Masterton marco de la concentración
319,Masterton estado en la capacidad
320,Masterton de carbono y la propia
