,verse,terminacion
0,Masterton permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Masterton esta mayor política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
2,Masterton de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Masterton problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Masterton modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Masterton esta mayor producida,"[<'pro':ccV>, <'du':cv>, <'ci':cv>, <'da':cV>]"
6,Masterton contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
7,Masterton carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Masterton menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Masterton parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Masterton parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Masterton mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Masterton contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Masterton el problema de reducir,"[<'re':cV>, <'du':cv>, <'cir':cvc>]"
14,Masterton mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
15,Masterton estado como la propia,"[<'pro':ccV>, <'pia':cvV>]"
16,Masterton marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
17,Masterton mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
18,Masterton climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
19,Masterton como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
20,Masterton producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
21,Masterton en la salud de la contrar,"[<'con':cVc>, <'trar':ccVc>]"
22,Masterton marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
23,Masterton climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
24,Masterton el cambio climático está,"[<'es':Vs>, <'tá':cV>]"
25,Masterton esta esta mayor producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Masterton marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
27,Masterton parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
28,Masterton política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
29,Masterton climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
30,Masterton al menos de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
31,Masterton carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
32,Masterton propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
33,Masterton contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
34,Masterton el cambio climático esta,"[<'es':Vs>, <'ta':cV>]"
35,Masterton estado en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
36,Masterton contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
37,Masterton menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
38,Masterton la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Masterton marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
40,Masterton la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
41,Masterton por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
42,Masterton la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
43,Masterton permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
44,Masterton de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Masterton para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
46,Masterton contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
47,Masterton estado en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
48,Masterton la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
49,Masterton permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
50,Masterton parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
51,Masterton estado su proporciona,"[<'pro':ccV>, <'por':cVc>, <'cio':cvV>, <'na':cV>]"
52,Masterton la propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
53,Masterton producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
54,Masterton en las contrabulidades,"[<'con':cVc>, <'tra':ccV>, <'bu':cv>, <'li':cv>, <'da':cV>, <'des':cVs>]"
55,Masterton permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Masterton de la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
57,Masterton menos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
