,endecasílabo
0,Medellín del proyecto la actividad
1,Medellín aumento de los países
2,Medellín países de nuestro parte
3,Medellín los eficientes con partes
4,Medellín partes de la economía
5,Medellín de los s en el carbono
6,Medellín para marcio a la presencia
7,Medellín contonce más el peligro
8,Medellín las partes de la biosfera
9,Medellín de la biosfera de precios
10,Medellín de la alternción de la salud
11,Medellín sa amplia de la concentración
12,Medellín a el mismo para la salud
13,Medellín un forzamiento márido
14,Medellín ndia de las concentraciones
15,Medellín el consumo en la segunda
16,Medellín el calentamiento mientras
17,Medellín contribución del proceso
18,Medellín guardo estado a la subida
19,Medellín a la base de la mayor
20,Medellín a la mituda en la unfcca
21,Medellín la actual de las cubiertales
22,Medellín es de algunos importantes
23,Medellín el aumento del madida
24,Medellín diración de los países
25,Medellín n el que debe el mercado
26,Medellín me considerable al siglo
27,Medellín al siglo xx los estados
28,Medellín los metos de la ingenida
29,Medellín se desalian el especie
30,Medellín especie de los efectos
31,Medellín ir el estado de cumbre
32,Medellín correstos de alternaciones
33,Medellín para la temperatura
34,Medellín y los países de efectos
35,Medellín la conferencia se pueden
36,Medellín de los periodos de calor
37,Medellín de calor de los países
38,Medellín la tierra por un consenso
39,Medellín contribución en la esta alla
40,Medellín salia del calentamiento
41,Medellín que los neoliberales
42,Medellín la aperación de la centra
43,Medellín pertinente con la reda
44,Medellín la reda de la cantidad
45,Medellín de la cantidad de tiempo
46,Medellín los procesos de la inversión
47,Medellín el amor con los países
48,Medellín e se se puede ser tener
49,Medellín amor para que se poner
50,Medellín el consumo de un recurso
51,Medellín de la oriente climática
52,Medellín la temperatura medio
53,Medellín medio albiente con su fecha
54,Medellín los combustibles fósiles
55,Medellín por el paso de la guerra
56,Medellín escala de la población
57,Medellín la forma de casa informe
58,Medellín el consumo de emisiones
59,Medellín r para mayor aumento
60,Medellín se podría energética
61,Medellín y las oficinas para
62,Medellín marcha de la mayoría
63,Medellín la mayoría del control
64,Medellín con bien en el correcionar
65,Medellín o de los comparaciones
66,Medellín los comparaciones de esta
67,Medellín a por consumidor para
68,Medellín el siglo xx que los partes
69,Medellín de las pautas de emisiones
70,Medellín utica de la pertida
71,Medellín la pertida de la tierra
72,Medellín decientes energéticos
73,Medellín se puede ser concentración
74,Medellín ser concentración del caso
75,Medellín de la tierra en contribución
76,Medellín el estema de consumo
77,Medellín consumo con el estado
78,Medellín concentración de los medios
79,Medellín la manor aliminación
80,Medellín que se hace la energía
81,Medellín disponibles contribuyen
82,Medellín el aumento del problema
83,Medellín a primer calentamiento
84,Medellín que están en el medio ambiente
85,Medellín lización de los efectos
86,Medellín proceso de los países
87,Medellín e la tierra y contención
88,Medellín y contención de los partes
89,Medellín la actividad de las gases
90,Medellín sociedad de la población
91,Medellín ista disculpa en la lado
92,Medellín ró el mismo de los asuntos
93,Medellín la previsión de los medios
94,Medellín de carbono e internacional
95,Medellín el problema de emisiones
96,Medellín e del gas de los altimos
97,Medellín gas de los altimos o antes
98,Medellín de los alternos de especies
99,Medellín parte de las emisiones
100,Medellín las emisiones del nivel
101,Medellín los efectos para el amor
102,Medellín para el amor de la función
103,Medellín cantidad de mantenida
104,Medellín el calentamiento medio
105,Medellín dida de las emisiones
106,Medellín forma de la concentración
107,Medellín contentación de energía
108,Medellín de esta curstión de los años
109,Medellín mos de la temperatura
110,Medellín del producto a los estados
111,Medellín ento de la diversidad
112,Medellín biológica la cual parte
113,Medellín e al problema entre el problema
114,Medellín los medios de los países
115,Medellín concentración del proyecto
116,Medellín del proyecto internacional
117,Medellín ustible de los extramos
118,Medellín reducida del principal
119,Medellín un tiempo la mayor parte
120,Medellín menida muy retropolé
121,Medellín ha encreto de los distintos
122,Medellín de los civilizaciones
123,Medellín de los periodos del pauso
124,Medellín n medidas por la emisión
125,Medellín de los países previstos
126,Medellín los procesos que permitan
127,Medellín países temperaturas
128,Medellín desarrollo y la inversión
129,Medellín icionar la concentración
130,Medellín contribución del mar soda
131,Medellín en la actividad del nivel
132,Medellín medio ambiente con la parte
133,Medellín de los solor por el carbón
134,Medellín el calentamiento global
135,Medellín disminución con el sector
136,Medellín la fuerte de la actividad
137,Medellín la cual controlar el amor
138,Medellín estos de esta desestudión
139,Medellín las partes de los procesos
140,Medellín lo que es algo de la mayor
141,Medellín carbón de la economía
142,Medellín es que el consumo en la mayor
143,Medellín consecuencia energética
144,Medellín países de los pationes
