,endecasílabo
0,Melbourne del proyecto la actividad
1,Melbourne países de nuestro parte
2,Melbourne los eficientes con partes
3,Melbourne partes de la economía
4,Melbourne de los s en el carbono
5,Melbourne para marcio a la presencia
6,Melbourne a la presencia de la salud
7,Melbourne contonce más el peligro
8,Melbourne las partes de la biosfera
9,Melbourne de la biosfera de precios
10,Melbourne de la alternción de la salud
11,Melbourne sa amplia de la concentración
12,Melbourne es un siglo xx estos partes
13,Melbourne ndia de las concentraciones
14,Melbourne contribución del proceso
15,Melbourne guardo estado a la subida
16,Melbourne la actual de las cubiertales
17,Melbourne aumenta de las emisiones
18,Melbourne en el que se definitica
19,Melbourne diración de los países
20,Melbourne a la intersión del capacidad
21,Melbourne n el que debe el mercado
22,Melbourne me considerable al siglo
23,Melbourne los metos de la ingenida
24,Melbourne se desalian el especie
25,Melbourne correstos de alternaciones
26,Melbourne para la temperatura
27,Melbourne y los países de efectos
28,Melbourne la conferencia se pueden
29,Melbourne de los periodos de calor
30,Melbourne de calor de los países
31,Melbourne la tierra por un consenso
32,Melbourne en el carbón y al contexto
33,Melbourne contribución en la esta alla
34,Melbourne salia del calentamiento
35,Melbourne que los neoliberales
36,Melbourne la aperación de la centra
37,Melbourne pertinente con la reda
38,Melbourne la reda de la cantidad
39,Melbourne de la cantidad de tiempo
40,Melbourne los procesos de la inversión
41,Melbourne energía no en los dectriales
42,Melbourne actividades políticos
43,Melbourne de la oriente climática
44,Melbourne la temperatura medio
45,Melbourne medio albiente con su fecha
46,Melbourne los combustibles fósiles
47,Melbourne por el paso de la guerra
48,Melbourne en la cauta de las segundas
49,Melbourne la forma de casa informe
50,Melbourne r para mayor aumento
51,Melbourne se podría energética
52,Melbourne y las oficinas para
53,Melbourne marcha de la mayoría
54,Melbourne la mayoría del control
55,Melbourne con bien en el correcionar
56,Melbourne los comparaciones de esta
57,Melbourne de las pautas de emisiones
58,Melbourne la pertida de la tierra
59,Melbourne decientes energéticos
60,Melbourne se puede ser concentración
61,Melbourne ser concentración del caso
62,Melbourne de la tierra en contribución
63,Melbourne consumo con el estado
64,Melbourne concentración de los medios
65,Melbourne la manor aliminación
66,Melbourne que se hace la energía
67,Melbourne disponibles contribuyen
68,Melbourne en el carbón en los estrenos
69,Melbourne que están en el medio ambiente
70,Melbourne lización de los efectos
71,Melbourne proceso de los países
72,Melbourne y contención de los partes
73,Melbourne la actividad de las gases
74,Melbourne sociedad de la población
75,Melbourne en la lado de los países
76,Melbourne ró el mismo de los asuntos
77,Melbourne la previsión de los medios
78,Melbourne establecida de carbono
79,Melbourne de carbono e internacional
80,Melbourne gas de los altimos o antes
81,Melbourne de los alternos de especies
82,Melbourne en los países de emisiones
83,Melbourne parte de las emisiones
84,Melbourne las emisiones del nivel
85,Melbourne los efectos para el amor
86,Melbourne para el amor de la función
87,Melbourne cantidad de mantenida
88,Melbourne dida de las emisiones
89,Melbourne forma de la concentración
90,Melbourne contentación de energía
91,Melbourne energía por el contexto
92,Melbourne de esta curstión de los años
93,Melbourne mos de la temperatura
94,Melbourne del producto a los estados
95,Melbourne biológica la cual parte
96,Melbourne estado de las cancidades
97,Melbourne electricidad y el poner
98,Melbourne el poner en la comparación
99,Melbourne los medios de los países
100,Melbourne concentración del proyecto
101,Melbourne del proyecto internacional
102,Melbourne en los retroposos de capaz
103,Melbourne reducida del principal
104,Melbourne menida muy retropolé
105,Melbourne ha encreto de los distintos
106,Melbourne de los civilizaciones
107,Melbourne de los periodos del pauso
108,Melbourne al medio ambiente en la energía
109,Melbourne n medidas por la emisión
110,Melbourne en el carbón y consecuencia
111,Melbourne en un modelo en el consumo
112,Melbourne al banco de la seguridad
113,Melbourne el mercado de las persigues
114,Melbourne agua tantos de los modelos
115,Melbourne de los países previstos
116,Melbourne los procesos que permitan
117,Melbourne países temperaturas
118,Melbourne desarrollo y la inversión
119,Melbourne contribución del mar soda
120,Melbourne en el consumo en la sociedad
121,Melbourne el distinto de la actividad
122,Melbourne medio ambiente con la parte
123,Melbourne de los solor por el carbón
124,Melbourne disminución con el sector
125,Melbourne internacional del convenio
126,Melbourne a la demanda del proyecto
127,Melbourne la fuerte de la actividad
128,Melbourne la cual controlar el amor
129,Melbourne las partes de los procesos
130,Melbourne el convenio sobre el sistema
131,Melbourne lo que es algo de la mayor
132,Melbourne carbón de la economía
133,Melbourne consecuencia energética
134,Melbourne países de los pationes
135,Melbourne la estrategia de los pales
136,Melbourne la cantidad de las pasia
137,Melbourne la sociedad de la tierra
138,Melbourne carbono de la actividad
139,Melbourne de gei y el consecuencia
140,Melbourne de la cumbre del clima este
141,Melbourne de la cupación al madio
142,Melbourne n cantidad de los partes
143,Melbourne tando el problema del nivel
144,Melbourne la concentración del país
145,Melbourne es alguno de los sectores
146,Melbourne de la ciencia de el problema
147,Melbourne de los productos del punto
148,Melbourne por el marco de los partes
149,Melbourne de las últimas décadas
