,verse,terminacion
0,Mexico City ### load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Mexico City la recursosidad,"[<'re':cV>, <'cur':cvc>, <'so':sV>, <'si':sv>, <'dad':cVc>]"
2,Mexico City de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
3,Mexico City de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
4,Mexico City esto es la respuesta,"[<'res':cVs>, <'pues':cvVs>, <'ta':cV>]"
5,Mexico City países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
6,Mexico City contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
7,Mexico City en los eficientes,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'tes':cVs>]"
8,Mexico City de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
9,Mexico City marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
10,Mexico City los composiciones,"[<'com':cVc>, <'po':cV>, <'si':sv>, <'cio':cvV>, <'nes':cVs>]"
11,Mexico City as en el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
12,Mexico City en el sistema almo,"[<'al':Vc>, <'mo':cV>]"
13,Mexico City de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
14,Mexico City en un forzamiento,"[<'for':cVc>, <'za':cV>, <'mien':cvVc>, <'to':cV>]"
15,Mexico City de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
16,Mexico City la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
17,Mexico City s de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
18,Mexico City en el escenario,"[<'es':Vs>, <'ce':cV>, <'na':cV>, <'rio':cvV>]"
19,Mexico City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
20,Mexico City la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
21,Mexico City el calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
22,Mexico City nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
23,Mexico City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
24,Mexico City para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
25,Mexico City el mercado pero,"[<'pe':cV>, <'ro':cV>]"
26,Mexico City gustos de la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
27,Mexico City la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
28,Mexico City al de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
29,Mexico City de algunos países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
30,Mexico City la nueva alta al nivel,"[<'ni':cv>, <'vel':cVc>]"
31,Mexico City la inercia de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
32,Mexico City a través de enfrentir,"[<'en':Vc>, <'fren':ccVc>, <'tir':cvc>]"
33,Mexico City que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
34,Mexico City ente se desalian,"[<'de':cV>, <'sa':sV>, <'lian':cvVc>]"
35,Mexico City cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
36,Mexico City s es un convenio,"[<'con':cVc>, <'ve':cV>, <'nio':cvV>]"
37,Mexico City de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
38,Mexico City medidas permiten,"[<'per':cVc>, <'mi':cv>, <'ten':cVc>]"
39,Mexico City la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Mexico City del calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
41,Mexico City la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Mexico City es a la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
43,Mexico City de la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
44,Mexico City de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
45,Mexico City al calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
46,Mexico City los actividades,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'da':cV>, <'des':cVs>]"
47,Mexico City para que se poner,"[<'po':cV>, <'ner':cVc>]"
48,Mexico City la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
49,Mexico City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
50,Mexico City de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Mexico City las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Mexico City lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Mexico City a la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
54,Mexico City entre la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
55,Mexico City de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
56,Mexico City que se pode para,"[<'pa':cV>, <'ra':cV>]"
57,Mexico City de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
58,Mexico City la forma de casa,"[<'ca':cV>, <'sa':sV>]"
59,Mexico City de gases de efecto,"[<'e':V>, <'fec':cVc>, <'to':cV>]"
60,Mexico City desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
61,Mexico City casa de la mayor,"[<'ma':cV>, <'yor':cVc>]"
62,Mexico City en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
63,Mexico City de las principales,"[<'prin':ccvc>, <'ci':cv>, <'pa':cV>, <'les':cVs>]"
64,Mexico City del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
65,Mexico City mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
66,Mexico City y las oficinas,"[<'o':V>, <'fi':cv>, <'ci':cv>, <'nas':cVs>]"
67,Mexico City de la mayoría,"[<'ma':cV>, <'yo':cV>, <'rí':cV>, <'a':V>]"
68,Mexico City de esta incentidumbre,"[<'in':vc>, <'cen':cVc>, <'ti':cv>, <'dum':cvc>, <'bre':ccV>]"
69,Mexico City a por consumidor,"[<'con':cVc>, <'su':sv>, <'mi':cv>, <'dor':cVc>]"
70,Mexico City para estados para,"[<'pa':cV>, <'ra':cV>]"
71,Mexico City de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
