,endecasílabo
0,Mombasa del proyecto la actividad
1,Mombasa países de nuestro parte
2,Mombasa los eficientes con partes
3,Mombasa partes de la economía
4,Mombasa de los s en el carbono
5,Mombasa para marcio a la presencia
6,Mombasa a la presencia de la salud
7,Mombasa contonce más el peligro
8,Mombasa las partes de la biosfera
9,Mombasa de la biosfera de precios
10,Mombasa de la alternción de la salud
11,Mombasa sa amplia de la concentración
12,Mombasa es un siglo xx estos partes
13,Mombasa ndia de las concentraciones
14,Mombasa contribución del proceso
15,Mombasa guardo estado a la subida
16,Mombasa la actual de las cubiertales
17,Mombasa aumenta de las emisiones
18,Mombasa en el que se definitica
19,Mombasa diración de los países
20,Mombasa a la intersión del capacidad
21,Mombasa n el que debe el mercado
22,Mombasa me considerable al siglo
23,Mombasa los metos de la ingenida
24,Mombasa se desalian el especie
25,Mombasa correstos de alternaciones
26,Mombasa para la temperatura
27,Mombasa y los países de efectos
28,Mombasa la conferencia se pueden
29,Mombasa de los periodos de calor
30,Mombasa de calor de los países
31,Mombasa la tierra por un consenso
32,Mombasa en el carbón y al contexto
33,Mombasa contribución en la esta alla
34,Mombasa salia del calentamiento
35,Mombasa que los neoliberales
36,Mombasa la aperación de la centra
37,Mombasa pertinente con la reda
38,Mombasa la reda de la cantidad
39,Mombasa de la cantidad de tiempo
40,Mombasa los procesos de la inversión
41,Mombasa energía no en los dectriales
42,Mombasa actividades políticos
43,Mombasa de la oriente climática
44,Mombasa la temperatura medio
45,Mombasa medio albiente con su fecha
46,Mombasa los combustibles fósiles
47,Mombasa por el paso de la guerra
48,Mombasa en la cauta de las segundas
49,Mombasa la forma de casa informe
50,Mombasa r para mayor aumento
51,Mombasa se podría energética
52,Mombasa y las oficinas para
53,Mombasa marcha de la mayoría
54,Mombasa la mayoría del control
55,Mombasa con bien en el correcionar
56,Mombasa los comparaciones de esta
57,Mombasa de las pautas de emisiones
58,Mombasa la pertida de la tierra
59,Mombasa decientes energéticos
60,Mombasa se puede ser concentración
61,Mombasa ser concentración del caso
62,Mombasa de la tierra en contribución
63,Mombasa consumo con el estado
64,Mombasa concentración de los medios
65,Mombasa la manor aliminación
66,Mombasa que se hace la energía
67,Mombasa disponibles contribuyen
68,Mombasa en el carbón en los estrenos
69,Mombasa que están en el medio ambiente
70,Mombasa lización de los efectos
71,Mombasa proceso de los países
72,Mombasa y contención de los partes
73,Mombasa la actividad de las gases
74,Mombasa sociedad de la población
75,Mombasa en la lado de los países
76,Mombasa ró el mismo de los asuntos
77,Mombasa la previsión de los medios
78,Mombasa establecida de carbono
79,Mombasa de carbono e internacional
80,Mombasa gas de los altimos o antes
81,Mombasa de los alternos de especies
82,Mombasa en los países de emisiones
83,Mombasa parte de las emisiones
84,Mombasa las emisiones del nivel
85,Mombasa los efectos para el amor
86,Mombasa para el amor de la función
87,Mombasa cantidad de mantenida
88,Mombasa dida de las emisiones
89,Mombasa forma de la concentración
90,Mombasa contentación de energía
91,Mombasa energía por el contexto
92,Mombasa de esta curstión de los años
93,Mombasa mos de la temperatura
94,Mombasa del producto a los estados
95,Mombasa biológica la cual parte
96,Mombasa estado de las cancidades
97,Mombasa electricidad y el poner
98,Mombasa el poner en la comparación
99,Mombasa los medios de los países
100,Mombasa concentración del proyecto
101,Mombasa del proyecto internacional
102,Mombasa en los retroposos de capaz
103,Mombasa reducida del principal
104,Mombasa menida muy retropolé
105,Mombasa ha encreto de los distintos
106,Mombasa de los civilizaciones
107,Mombasa de los periodos del pauso
108,Mombasa al medio ambiente en la energía
109,Mombasa n medidas por la emisión
110,Mombasa en el carbón y consecuencia
111,Mombasa en un modelo en el consumo
112,Mombasa al banco de la seguridad
113,Mombasa el mercado de las persigues
114,Mombasa agua tantos de los modelos
115,Mombasa de los países previstos
116,Mombasa los procesos que permitan
117,Mombasa países temperaturas
118,Mombasa desarrollo y la inversión
119,Mombasa contribución del mar soda
120,Mombasa en el consumo en la sociedad
121,Mombasa el distinto de la actividad
122,Mombasa medio ambiente con la parte
123,Mombasa de los solor por el carbón
124,Mombasa disminución con el sector
125,Mombasa internacional del convenio
126,Mombasa a la demanda del proyecto
127,Mombasa la fuerte de la actividad
128,Mombasa la cual controlar el amor
129,Mombasa las partes de los procesos
130,Mombasa el convenio sobre el sistema
131,Mombasa lo que es algo de la mayor
