,endecasílabo
0,Mombasa permitado en la atmósfera
1,Mombasa en el proyecto de la tierra
2,Mombasa de carbono a la producción
3,Mombasa problema de compromiso
4,Mombasa modelos de compromiso
5,Mombasa contribución de la propia
6,Mombasa entre el mar de la concentración
7,Mombasa carbono en la concentración
8,Mombasa menos de la consecuencia
9,Mombasa parte de la concentración
10,Mombasa parte de la concentración
11,Mombasa mundial de la concentración
12,Mombasa contribución de la compra
13,Mombasa mayor parte de la salud
14,Mombasa marca de la concentración
15,Mombasa mayor en la compromisa
16,Mombasa climático como el cambio
17,Mombasa como el cambio climático
18,Mombasa producto en la compromisa
19,Mombasa el petróleo y la propia
20,Mombasa marco de la concentración
21,Mombasa climático en la atmósfera
22,Mombasa está contra la compromica
23,Mombasa marca de la concentración
24,Mombasa parte de la contra el cambio
25,Mombasa política en la producción
26,Mombasa climática y el cambio
27,Mombasa carbono en la compromisa
28,Mombasa propia de la concentración
29,Mombasa contra el cambio climático
30,Mombasa contra el cambio climático
31,Mombasa el cambio climático sobre
32,Mombasa menos de la compromisa
33,Mombasa la compra de compromiso
34,Mombasa marco de la concentración
35,Mombasa la comprar en la producción
36,Mombasa por el contral de la propia
37,Mombasa el contral de la propia contra
38,Mombasa en el proceso de la propia
39,Mombasa la contrar con la estrategia
40,Mombasa permitado de la propia
41,Mombasa de la propia climática
42,Mombasa para el cambio climático
43,Mombasa contra el cambio climático
44,Mombasa el cambio climático sobre
45,Mombasa la producción de la compra
46,Mombasa permitado de la compra
47,Mombasa parte de la compromisa
48,Mombasa emisiones de contra el cambio
49,Mombasa la propia de contra el cambio
50,Mombasa producirá a la energía
51,Mombasa el proyecto de la actualidad
52,Mombasa permitado de la propia
53,Mombasa de la propia contra el cambio
54,Mombasa menos de la concentración
55,Mombasa permitado por la propia
56,Mombasa el contrado en la compromisa
57,Mombasa parte de la compromisa
58,Mombasa en la propia de la comprensión
59,Mombasa contra el cambio climático
60,Mombasa contra el cambio climático
61,Mombasa menos precipitaciones
62,Mombasa permita de la producción
63,Mombasa la capa de compromiso
64,Mombasa de contra la compromisa
65,Mombasa menos de la compromisa
66,Mombasa por el mar en la producción
67,Mombasa permita en la compromisa
68,Mombasa la producción de la compra
69,Mombasa contra el cambio climático
70,Mombasa permitado de la estado
71,Mombasa producido a la energía
72,Mombasa el proceso de compromiso
73,Mombasa parte de la contra el cambio
74,Mombasa de contra la compromisa
75,Mombasa la contrar la compromisa
76,Mombasa comprensión de la producción
77,Mombasa propia con la compromisa
78,Mombasa permita en la compromisa
79,Mombasa por el cambio climático
80,Mombasa problema de la producción
81,Mombasa parte de la compromisa
82,Mombasa la propia de la comprensión
83,Mombasa el mercado de la producción
84,Mombasa permitado en la producción
85,Mombasa seguir en la contribución
86,Mombasa la estada de compromiso
87,Mombasa parte de la concentración
88,Mombasa la propia como el problema
89,Mombasa problema con la atmósfera
90,Mombasa carbono que la comprensión
91,Mombasa la compromisa de deces
92,Mombasa deces con la compromisa
93,Mombasa se producirá en la propia
94,Mombasa en la propia de compromiso
95,Mombasa manor en la compromisa
96,Mombasa modelo de la producción
97,Mombasa el cambio climático sobre
98,Mombasa la energía necesaria
99,Mombasa los combustibles fósiles
100,Mombasa la propia como el estado
101,Mombasa compromiso de carbono
102,Mombasa carbono y el problema
103,Mombasa la energía contra el cambio
104,Mombasa contribución de la compra
105,Mombasa se esta mayor producida
106,Mombasa compromiso de la capa
107,Mombasa el contrado en la compromisa
108,Mombasa producto a las emisiones
109,Mombasa la propia de los procesos
110,Mombasa el contrado en la concentración
111,Mombasa segundo de la producción
112,Mombasa la comprensión de la propia
113,Mombasa a la propia de compromiso
114,Mombasa permitado en la comprensión
115,Mombasa parte de la concentración
116,Mombasa parte de la compromisa
117,Mombasa climático en la producción
118,Mombasa parte de la compromisa
119,Mombasa el proceso de la comprensión
120,Mombasa la producción de la compra
121,Mombasa la compra de la producción
122,Mombasa menos de la compromisa
123,Mombasa marco de la concentración
124,Mombasa menos en la concentración
125,Mombasa ser estado a la producción
126,Mombasa contra el cambio climático
127,Mombasa los procesos de carbono
128,Mombasa seguridad establecir
129,Mombasa parte de la contribución
130,Mombasa parte de la compromisa
131,Mombasa consecuencia de la contrar
132,Mombasa la contrar la compromisa
133,Mombasa en la producción de la capa
134,Mombasa en la cumbre de la actualidad
135,Mombasa la compra de la estructura
136,Mombasa contra el cambio climático
137,Mombasa de la compra de consumo
138,Mombasa la compromisa de cambio
139,Mombasa por el cambio climático
140,Mombasa permitado en el promedio
141,Mombasa la estado de la comprensión
142,Mombasa se desarrollar la estada
143,Mombasa mercado de la energía
144,Mombasa carbono en la compromisa
145,Mombasa menos de la concentración
146,Mombasa permitado en la producción
147,Mombasa contración de la producción
148,Mombasa el contral de la concentración
149,Mombasa de todo la contra el cambio
150,Mombasa menos de la concentración
151,Mombasa contra el cambio climático
152,Mombasa la comprensión de la compra
153,Mombasa la producción de la compra
154,Mombasa parte de la concentración
155,Mombasa menos de la concentración
156,Mombasa proceso de esta producción
157,Mombasa proceso de compromiso
158,Mombasa sin embargo se producir
159,Mombasa contra el mar en la atmósfera
160,Mombasa de compromiso de contra
161,Mombasa contra la temperatura
162,Mombasa menos de la concentración
163,Mombasa carbono que los países
164,Mombasa la producción de la mayor
165,Mombasa problema de la producción
166,Mombasa de compromiso de contra
167,Mombasa menos de la contribución
168,Mombasa por el cambio climático
169,Mombasa climático y la propia
170,Mombasa de compromiso de carbón
171,Mombasa carbono en la compromisa
172,Mombasa permitado de la tierra
173,Mombasa carbono por un problema
174,Mombasa de combustibles fósiles
175,Mombasa producto en la concentración
176,Mombasa proceso de compromiso
177,Mombasa el proyecto en la compromisa
178,Mombasa contra el cambio climático
179,Mombasa medida de compromiso
180,Mombasa la estado de la comprensión
181,Mombasa parte de la comprendencia
182,Mombasa la comprensión de la compra
183,Mombasa de la compra de carbono
184,Mombasa proceso de compromiso
185,Mombasa desarrollar el problema
186,Mombasa compromiso de la contrar
187,Mombasa la compromisa de cambio
188,Mombasa contra el cambio climático
189,Mombasa segundo contra la propia
190,Mombasa la propia de compromiso
191,Mombasa la propia de compromiso
192,Mombasa compromiso de la compra
193,Mombasa de carbono en la atmósfera
194,Mombasa menos en la contribución
195,Mombasa menos en las emisiones
196,Mombasa carbono en la compromisa
197,Mombasa ser producido en la propia
198,Mombasa la energía para el cambio
199,Mombasa a la producción de la propia
200,Mombasa parte de la concentración
201,Mombasa de carbono a la producción
202,Mombasa de compromiso de cambio
203,Mombasa tendría en la consecuencia
204,Mombasa consecuencia de la contrar
205,Mombasa la contrar la concentración
206,Mombasa de contra la contra el cambio
207,Mombasa en la comprensión de la estada
208,Mombasa en el cambio climático esta
209,Mombasa de la propia como contra
210,Mombasa producto en la contra el cambio
211,Mombasa productos de la producción
212,Mombasa propio con la concentración
213,Mombasa de carbono de la propia
214,Mombasa marca de la concentración
215,Mombasa producción de la producción
216,Mombasa contra la compromicado
217,Mombasa la producción de la compra
218,Mombasa países de contra el cambio
219,Mombasa se desarrollar el cambio
220,Mombasa problema de compromiso
221,Mombasa medida de la intersidad
222,Mombasa el proceso de contra el cambio
223,Mombasa conjunto de compromiso
224,Mombasa la producción de la compra
225,Mombasa en la concentración de la actual
226,Mombasa consecuencia de la compren
227,Mombasa la compren de consecuencia
228,Mombasa parte de la contribución
229,Mombasa contra el cambio climático
230,Mombasa compromiso de la mayor
231,Mombasa secuedad de la atmósfera
232,Mombasa la mayor por la producción
233,Mombasa la producción de la compra
234,Mombasa la propia en la compromisa
235,Mombasa contra el cambio climático
236,Mombasa la demanda de la propia
237,Mombasa de la propia contra el cambio
238,Mombasa contra el cambio climático
239,Mombasa la intersidad biológica
240,Mombasa la compromisa continuar
241,Mombasa de la contrar la contración
242,Mombasa el problema de compromiso
243,Mombasa parte de la compromisa
244,Mombasa contra el cambio climático
245,Mombasa contra el cambio climático
246,Mombasa economía necesitad
247,Mombasa parte de la contra el cambio
248,Mombasa permitado en el consumo
249,Mombasa parte de la contra el cambio
250,Mombasa menos de la concentración
251,Mombasa de carbono y la contrar
252,Mombasa compromiso de la propia
253,Mombasa la energía necesaria
254,Mombasa carbono a la compromisa
255,Mombasa en el cambio climático esta
256,Mombasa ser producido en la contral
257,Mombasa parte de la concentración
258,Mombasa compra de la propia como
259,Mombasa el contrado en la propia como
260,Mombasa compromisa contra el cambio
261,Mombasa contra el cambio climático
262,Mombasa el cambio climático sobre
263,Mombasa de compromiso de un medio
264,Mombasa permitan para la compra
265,Mombasa la compra de compromiso
266,Mombasa la propia de la comprensión
267,Mombasa cambio climático sobre
268,Mombasa la propia de compromiso
269,Mombasa marco de la concentración
270,Mombasa la temperatura mundial
271,Mombasa ser producido en la propia
272,Mombasa la propia con la producción
273,Mombasa parte de la concentración
274,Mombasa menos en la compromisa
275,Mombasa en el mar de la contribución
276,Mombasa propuesta en la contrabución
277,Mombasa marco de la concentración
278,Mombasa de carbono y la propia
279,Mombasa el sumento de la demanda
