,verse,terminacion
0,Moroni del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Moroni países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
2,Moroni los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
3,Moroni partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
4,Moroni de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Moroni para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
6,Moroni a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
7,Moroni contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Moroni las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Moroni de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Moroni de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Moroni sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Moroni es un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
13,Moroni ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
14,Moroni contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
15,Moroni guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
16,Moroni la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
17,Moroni aumenta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
18,Moroni en el que se definitica,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'ca':cV>]"
19,Moroni diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
20,Moroni a la intersión del capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
21,Moroni n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
22,Moroni me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
23,Moroni los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
24,Moroni se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
