,verse,terminacion
0,Moscow ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Moscow los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Moscow si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Moscow los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Moscow nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Moscow en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Moscow con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Moscow dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Moscow e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Moscow la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Moscow composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Moscow en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Moscow márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Moscow la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Moscow conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Moscow la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Moscow la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Moscow de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Moscow su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Moscow gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Moscow los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Moscow de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Moscow el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Moscow también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Moscow los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Moscow gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Moscow consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Moscow ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Moscow de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Moscow de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Moscow la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Moscow de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Moscow en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Moscow con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Moscow en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Moscow estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Moscow la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Moscow ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Moscow la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Moscow la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Moscow umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Moscow actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Moscow políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Moscow con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Moscow la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Moscow en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Moscow de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Moscow ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Moscow ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Moscow de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Moscow la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Moscow tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Moscow que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Moscow en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Moscow de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Moscow la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Moscow de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Moscow la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Moscow aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Moscow de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Moscow energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Moscow centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Moscow de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Moscow medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Moscow bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Moscow de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Moscow continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Moscow la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Moscow por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Moscow de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Moscow las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Moscow modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Moscow esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Moscow en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Moscow de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Moscow la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Moscow funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Moscow como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Moscow registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Moscow como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Moscow en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Moscow o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
82,Moscow contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
83,Moscow primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
84,Moscow las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
85,Moscow de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
86,Moscow contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
87,Moscow sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
88,Moscow de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
89,Moscow del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
90,Moscow el proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
91,Moscow los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
92,Moscow de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
93,Moscow mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
94,Moscow la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
95,Moscow la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
96,Moscow previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
97,Moscow del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Moscow por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
99,Moscow los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
100,Moscow la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
101,Moscow puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
102,Moscow te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
103,Moscow de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
104,Moscow de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
105,Moscow contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
106,Moscow cantidad de mantenida entre,"[<'en':Vc>, <'tre':ccV>]"
107,Moscow mantenida entre la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
108,Moscow con el calentamiento medio,"[<'me':cV>, <'dio':cvV>]"
109,Moscow pueden el mercado que el amor,"[<'a':V>, <'mor':cVc>]"
110,Moscow mercado que el amor de viento,"[<'vien':cvVc>, <'to':cV>]"
111,Moscow de la segunda concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
112,Moscow las países para virturar,"[<'vi':cv>, <'rtu':ccv>, <'rar':cVc>]"
113,Moscow a forma de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
114,Moscow la concentración de la educción,"[<'e':V>, <'duc':cvc>, <'ción':cvVc>]"
115,Moscow la contentación de energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
116,Moscow de energía por el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
117,Moscow a de esta curstión de los años,"[<'a':V>, <'ños':cVs>]"
118,Moscow pueda despertar lo que es una,"[<'u':v>, <'na':cV>]"
119,Moscow de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
120,Moscow fósiles y las inversiones,"[<'in':vc>, <'ver':cVc>, <'sio':svV>, <'nes':cVs>]"
121,Moscow estado de las cancidades,"[<'can':cVc>, <'ci':cv>, <'da':cV>, <'des':cVs>]"
122,Moscow la superficie de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
123,Moscow electricidad y el poner,"[<'po':cV>, <'ner':cVc>]"
124,Moscow el poner en la comparación,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'ción':cvVc>]"
125,Moscow de los medios de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
