,verse,terminacion
0,Mumbai en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Mumbai los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Mumbai si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Mumbai estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Mumbai los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Mumbai nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Mumbai con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Mumbai dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Mumbai la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Mumbai composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Mumbai márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Mumbai la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Mumbai conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Mumbai un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Mumbai el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Mumbai la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Mumbai la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Mumbai de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Mumbai su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Mumbai en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
20,Mumbai atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
21,Mumbai gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
22,Mumbai los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
23,Mumbai al siglo xx los estados desde,"[<'des':cVs>, <'de':cV>]"
24,Mumbai de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
