,verse,terminacion
0,Nanjing del proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Nanjing aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Nanjing países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
3,Nanjing los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
4,Nanjing partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
5,Nanjing de los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
6,Nanjing para marcio a la presencia,"[<'pre':ccV>, <'sen':sVc>, <'cia':cvV>]"
7,Nanjing contonce más el peligro,"[<'pe':cV>, <'li':cv>, <'gro':ccV>]"
8,Nanjing las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Nanjing de la biosfera de precios,"[<'pre':ccV>, <'cios':cvVs>]"
10,Nanjing de la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Nanjing sa amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Nanjing a el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
13,Nanjing un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
14,Nanjing ndia de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
15,Nanjing el consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
16,Nanjing el calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Nanjing contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Nanjing guardo estado a la subida,"[<'su':sv>, <'bi':cv>, <'da':cV>]"
19,Nanjing a la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
20,Nanjing a la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
21,Nanjing la actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Nanjing es de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Nanjing el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
24,Nanjing diración de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
25,Nanjing n el que debe el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
26,Nanjing me considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
27,Nanjing al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
28,Nanjing los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
29,Nanjing se desalian el especie,"[<'es':Vs>, <'pe':cV>, <'cie':cvV>]"
30,Nanjing especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
31,Nanjing ir el estado de cumbre,"[<'cum':cvc>, <'bre':ccV>]"
32,Nanjing correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
33,Nanjing para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
34,Nanjing y los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
35,Nanjing la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
36,Nanjing de los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Nanjing de calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
