,endecasílabo
0,Naples permitado en la compromisa
1,Naples la concentración de la compra
2,Naples la concentración de la propia
3,Naples las procesos de compromiso
4,Naples de compromiso de carbono
5,Naples los modelos de compromiso
6,Naples la concentración de la propia
7,Naples de la propia de compromiso
8,Naples ha contral de la concentración
9,Naples provocado en la compromisa
10,Naples permitado en la concentración
11,Naples la propia de la consecuencia
12,Naples permitado en la compromitad
13,Naples entre el mar de la concentración
14,Naples mayor parte de la producción
15,Naples por el mar de la consecuencia
16,Naples de carbono en la concentración
17,Naples a menos de la consecuencia
18,Naples permitado en la compromisa
19,Naples la contribución de la compra
20,Naples producción de la concentración
21,Naples medida de la concentración
22,Naples las problemas de compromiso
23,Naples propia como la contra el cambio
24,Naples la concentración de la contrar
25,Naples la capa de la contra el cambio
26,Naples la compra de la contra el cambio
27,Naples la contrar con la concentración
28,Naples permitado en las emisiones
29,Naples permitado en el petróleo
30,Naples las emisiones de carbono
31,Naples carbono y la compromiso
32,Naples cambio climático está contra
33,Naples producido en la compromisa
34,Naples la concentración de la propia
35,Naples esta contrar la concentración
36,Naples la compromisa climática
37,Naples de carbono en la compromisa
38,Naples permitado en la concentración
39,Naples la propia de la concentración
40,Naples producción de la concentración
41,Naples la concentración de la compra
42,Naples compromitad de la comprensión
43,Naples contra el cambio climático esta
44,Naples las emisiones de carbono
45,Naples de la compra de compromiso
46,Naples permitado en la compromiso
47,Naples producido en la compromisa
48,Naples de la comprar en la producción
49,Naples el contral de la propia contra
50,Naples demanda de la compromisa
51,Naples compromisa de compromiso
52,Naples compromiso de compromiso
53,Naples la conferencia de la estada
54,Naples estado de la consecuencia
55,Naples estamos en la concentración
56,Naples la capacidad de carbono
57,Naples procesos de la concentración
58,Naples la compra de la concentración
59,Naples la capa de las emisiones
60,Naples estado con la compromisa
61,Naples problema de la concentración
62,Naples la concentración de la compra
63,Naples se producirá a la energía
64,Naples de la contrar la compromisa
65,Naples problema de la concentración
66,Naples la concentración de la propia
67,Naples el proyecto de la actualidad
68,Naples compromiso de esta población
69,Naples la propia de la contribución
70,Naples de compromiso de carbono
71,Naples estado con la compromisa
72,Naples la compromisa de carbono
73,Naples producción de la concentración
74,Naples cambio climático es proceso
75,Naples comprensión de la concentración
76,Naples la contra el cambio climático
77,Naples la contra el cambio climático
78,Naples la propia de la contribución
79,Naples esta parte de la producción
80,Naples de los procesos de carbono
81,Naples la propia de la contribución
82,Naples permitado en la compromisa
83,Naples compra de carbono a la propia
84,Naples ser producido a la energía
85,Naples el proceso de compromiso
86,Naples contra la largo de la propia
87,Naples la concentración de la propia
88,Naples esta mayor posibilidad
