,endecasílabo
0,Nouméa permitado en la atmósfera
1,Nouméa en el proyecto de la tierra
2,Nouméa de carbono a la producción
3,Nouméa problema de compromiso
4,Nouméa modelos de compromiso
5,Nouméa contribución de la propia
6,Nouméa entre el mar de la concentración
7,Nouméa carbono en la concentración
8,Nouméa menos de la consecuencia
9,Nouméa parte de la concentración
10,Nouméa parte de la concentración
11,Nouméa mundial de la concentración
12,Nouméa contribución de la compra
13,Nouméa mayor parte de la salud
14,Nouméa marca de la concentración
15,Nouméa mayor en la compromisa
16,Nouméa climático como el cambio
17,Nouméa como el cambio climático
18,Nouméa producto en la compromisa
19,Nouméa el petróleo y la propia
20,Nouméa marco de la concentración
21,Nouméa climático en la atmósfera
22,Nouméa está contra la compromica
23,Nouméa marca de la concentración
24,Nouméa parte de la contra el cambio
25,Nouméa política en la producción
26,Nouméa climática y el cambio
27,Nouméa carbono en la compromisa
28,Nouméa propia de la concentración
29,Nouméa contra el cambio climático
30,Nouméa contra el cambio climático
31,Nouméa el cambio climático sobre
32,Nouméa menos de la compromisa
33,Nouméa la compra de compromiso
34,Nouméa marco de la concentración
35,Nouméa la comprar en la producción
36,Nouméa por el contral de la propia
37,Nouméa el contral de la propia contra
38,Nouméa en el proceso de la propia
39,Nouméa la contrar con la estrategia
40,Nouméa permitado de la propia
41,Nouméa de la propia climática
42,Nouméa para el cambio climático
43,Nouméa contra el cambio climático
44,Nouméa el cambio climático sobre
45,Nouméa la producción de la compra
46,Nouméa permitado de la compra
47,Nouméa parte de la compromisa
48,Nouméa emisiones de contra el cambio
49,Nouméa la propia de contra el cambio
50,Nouméa producirá a la energía
51,Nouméa el proyecto de la actualidad
52,Nouméa permitado de la propia
53,Nouméa de la propia contra el cambio
54,Nouméa menos de la concentración
55,Nouméa permitado por la propia
56,Nouméa el contrado en la compromisa
57,Nouméa parte de la compromisa
58,Nouméa en la propia de la comprensión
59,Nouméa contra el cambio climático
60,Nouméa contra el cambio climático
61,Nouméa menos precipitaciones
62,Nouméa permita de la producción
63,Nouméa la capa de compromiso
64,Nouméa de contra la compromisa
65,Nouméa menos de la compromisa
66,Nouméa por el mar en la producción
67,Nouméa permita en la compromisa
68,Nouméa la producción de la compra
69,Nouméa contra el cambio climático
70,Nouméa permitado de la estado
71,Nouméa producido a la energía
72,Nouméa el proceso de compromiso
73,Nouméa parte de la contra el cambio
74,Nouméa de contra la compromisa
75,Nouméa la contrar la compromisa
76,Nouméa comprensión de la producción
77,Nouméa propia con la compromisa
78,Nouméa permita en la compromisa
79,Nouméa por el cambio climático
80,Nouméa problema de la producción
81,Nouméa parte de la compromisa
82,Nouméa la propia de la comprensión
83,Nouméa el mercado de la producción
84,Nouméa permitado en la producción
85,Nouméa seguir en la contribución
86,Nouméa la estada de compromiso
87,Nouméa parte de la concentración
88,Nouméa la propia como el problema
89,Nouméa problema con la atmósfera
90,Nouméa carbono que la comprensión
91,Nouméa la compromisa de deces
92,Nouméa deces con la compromisa
93,Nouméa se producirá en la propia
94,Nouméa en la propia de compromiso
