,endecasílabo
0,Olonkinbyen permitado en la atmósfera
1,Olonkinbyen esta mayor política
2,Olonkinbyen de carbono a la producción
3,Olonkinbyen problema de compromiso
4,Olonkinbyen modelos de compromiso
5,Olonkinbyen esta mayor producida
6,Olonkinbyen contribución de la propia
7,Olonkinbyen carbono en la concentración
8,Olonkinbyen menos de la consecuencia
9,Olonkinbyen parte de la concentración
10,Olonkinbyen parte de la concentración
11,Olonkinbyen mundial de la concentración
12,Olonkinbyen contribución de la compra
13,Olonkinbyen el problema de reducir
14,Olonkinbyen mayor parte de la salud
15,Olonkinbyen estado como la propia
16,Olonkinbyen marca de la concentración
17,Olonkinbyen mayor en la compromisa
18,Olonkinbyen climático como el cambio
19,Olonkinbyen como el cambio climático
20,Olonkinbyen producto en la compromisa
21,Olonkinbyen en la salud de la contrar
22,Olonkinbyen marco de la concentración
23,Olonkinbyen climático en la atmósfera
24,Olonkinbyen el cambio climático está
25,Olonkinbyen esta esta mayor producción
26,Olonkinbyen marca de la concentración
27,Olonkinbyen parte de la contra el cambio
28,Olonkinbyen política en la producción
29,Olonkinbyen climática y el cambio
30,Olonkinbyen al menos de la comprensión
31,Olonkinbyen carbono en la compromisa
32,Olonkinbyen propia de la concentración
33,Olonkinbyen contra el cambio climático
34,Olonkinbyen el cambio climático esta
35,Olonkinbyen estado en la concentración
36,Olonkinbyen contra el cambio climático
37,Olonkinbyen menos de la compromisa
38,Olonkinbyen la compra de compromiso
39,Olonkinbyen marco de la concentración
40,Olonkinbyen la comprar en la producción
41,Olonkinbyen por el contral de la propia
42,Olonkinbyen la contrar con la estrategia
43,Olonkinbyen permitado de la propia
44,Olonkinbyen de la propia climática
45,Olonkinbyen para el cambio climático
46,Olonkinbyen contra el cambio climático
47,Olonkinbyen estado en la consecuencia
48,Olonkinbyen la producción de la compra
49,Olonkinbyen permitado de la compra
50,Olonkinbyen parte de la compromisa
51,Olonkinbyen estado su proporciona
52,Olonkinbyen la propia de contra el cambio
53,Olonkinbyen producirá a la energía
54,Olonkinbyen en las contrabulidades
55,Olonkinbyen permitado de la propia
56,Olonkinbyen de la propia contra el cambio
57,Olonkinbyen menos de la concentración
58,Olonkinbyen permitado por la propia
59,Olonkinbyen a la contra el combustible
60,Olonkinbyen parte de la compromisa
61,Olonkinbyen e la mayor actividad
62,Olonkinbyen contra el cambio climático
63,Olonkinbyen contra el cambio climático
64,Olonkinbyen menos precipitaciones
65,Olonkinbyen permita de la producción
66,Olonkinbyen la capa de compromiso
67,Olonkinbyen en la propia compromiso
68,Olonkinbyen de contra la compromisa
69,Olonkinbyen estado sobre la propia
70,Olonkinbyen menos de la compromisa
71,Olonkinbyen por el mar en la producción
72,Olonkinbyen permita en la compromisa
73,Olonkinbyen la producción de la compra
74,Olonkinbyen contra el cambio climático
75,Olonkinbyen permitado de la estado
76,Olonkinbyen producido a la energía
77,Olonkinbyen parte de la contra el cambio
78,Olonkinbyen de contra la compromisa
79,Olonkinbyen la contrar la compromisa
80,Olonkinbyen comprensión de la producción
81,Olonkinbyen propia con la compromisa
82,Olonkinbyen permita en la compromisa
83,Olonkinbyen por el cambio climático
84,Olonkinbyen problema de la producción
85,Olonkinbyen estado en la concentración
86,Olonkinbyen parte de la compromisa
87,Olonkinbyen la propia de la comprensión
88,Olonkinbyen permitado en la producción
89,Olonkinbyen seguir en la contribución
90,Olonkinbyen la estada de compromiso
91,Olonkinbyen parte de la concentración
92,Olonkinbyen la propia como el problema
93,Olonkinbyen problema con la atmósfera
94,Olonkinbyen el contrado de carbono
95,Olonkinbyen carbono que la comprensión
96,Olonkinbyen la compromisa de deces
97,Olonkinbyen deces con la compromisa
98,Olonkinbyen se producirá en la propia
99,Olonkinbyen esta mayor contra el cambio
100,Olonkinbyen manor en la compromisa
101,Olonkinbyen estado en la compromisa
102,Olonkinbyen el mar y la contra el cambio
103,Olonkinbyen modelo de la producción
104,Olonkinbyen la energía necesaria
105,Olonkinbyen los combustibles fósiles
106,Olonkinbyen la propia como el estado
107,Olonkinbyen a la capa de la compra
108,Olonkinbyen compromiso de carbono
109,Olonkinbyen carbono y el problema
110,Olonkinbyen la energía contra el cambio
111,Olonkinbyen contribución de la compra
112,Olonkinbyen se esta mayor producida
113,Olonkinbyen compromiso de la capa
114,Olonkinbyen producto a las emisiones
115,Olonkinbyen la propia de los procesos
116,Olonkinbyen estado en la concentración
117,Olonkinbyen segundo de la producción
118,Olonkinbyen la comprensión de la propia
119,Olonkinbyen permitado en la comprensión
120,Olonkinbyen en el cambio climático
121,Olonkinbyen el cambio climático esta
122,Olonkinbyen parte de la concentración
123,Olonkinbyen parte de la compromisa
124,Olonkinbyen climático en la producción
125,Olonkinbyen parte de la compromisa
126,Olonkinbyen la producción de la compra
127,Olonkinbyen la compra de la producción
128,Olonkinbyen menos de la compromisa
129,Olonkinbyen una vez más de la contrar
130,Olonkinbyen marco de la concentración
131,Olonkinbyen menos en la concentración
132,Olonkinbyen ser estado a la producción
133,Olonkinbyen contra el cambio climático
134,Olonkinbyen los procesos de carbono
135,Olonkinbyen seguridad establecir
136,Olonkinbyen parte de la contribución
137,Olonkinbyen parte de la compromisa
138,Olonkinbyen a la propia contra el cambio
139,Olonkinbyen consecuencia de la contrar
140,Olonkinbyen la contrar la compromisa
141,Olonkinbyen la compra de la estructura
142,Olonkinbyen contra el cambio climático
143,Olonkinbyen de la compra de consumo
144,Olonkinbyen la compromisa de cambio
145,Olonkinbyen por el cambio climático
146,Olonkinbyen permitado en el promedio
147,Olonkinbyen la estado de la comprensión
148,Olonkinbyen estado se desarrollar
149,Olonkinbyen se desarrollar la estada
150,Olonkinbyen mercado de la energía
151,Olonkinbyen estado en la contribución
152,Olonkinbyen carbono en la compromisa
153,Olonkinbyen menos de la concentración
154,Olonkinbyen permitado en la producción
155,Olonkinbyen contración de la producción
156,Olonkinbyen de todo la contra el cambio
157,Olonkinbyen menos de la concentración
158,Olonkinbyen estado en la compromisa
159,Olonkinbyen contra el cambio climático
160,Olonkinbyen la comprensión de la compra
161,Olonkinbyen la producción de la compra
162,Olonkinbyen parte de la concentración
163,Olonkinbyen menos de la concentración
164,Olonkinbyen proceso de esta producción
165,Olonkinbyen proceso de compromiso
166,Olonkinbyen sin embargo se producir
167,Olonkinbyen contra el mar en la atmósfera
168,Olonkinbyen de compromiso de contra
169,Olonkinbyen contra la temperatura
170,Olonkinbyen menos de la concentración
171,Olonkinbyen carbono que los países
172,Olonkinbyen la producción de la mayor
173,Olonkinbyen problema de la producción
174,Olonkinbyen de compromiso de contra
175,Olonkinbyen menos de la contribución
176,Olonkinbyen por el cambio climático
177,Olonkinbyen climático y la propia
178,Olonkinbyen de compromiso de carbón
179,Olonkinbyen carbono en la compromisa
180,Olonkinbyen permitado de la tierra
181,Olonkinbyen emisiones de carbono
182,Olonkinbyen carbono por un problema
183,Olonkinbyen estado en la contra el cambio
184,Olonkinbyen de combustibles fósiles
185,Olonkinbyen producto en la concentración
186,Olonkinbyen proceso de compromiso
