,endecasílabo
0,Omdurman ir aumento de los países
1,Omdurman los países o la alteración
2,Omdurman si debería la estrategia
3,Omdurman los países de nuestro parte
4,Omdurman nuestro parte de las especies
5,Omdurman en los eficientes con partes
6,Omdurman con partes de la economía
7,Omdurman dicional de la humanidad
8,Omdurman e las partes de la biosfera
9,Omdurman la temperatura en los palas
10,Omdurman composiciones de la alternción
11,Omdurman en un forzamiento márido
12,Omdurman márido de la carta de esta
13,Omdurman la temperatura es un siglo
14,Omdurman conterir la desempleación
15,Omdurman la contribución del proceso
16,Omdurman la base de la mayor parte
17,Omdurman de los combustibles fósiles
18,Omdurman su mara de la seguridad
19,Omdurman gustos de la emisión de emisión
20,Omdurman los países de los patrones
21,Omdurman de los metos de la ingenida
22,Omdurman el especie de los efectos
23,Omdurman también en la contaminación
24,Omdurman los correstos de alternaciones
25,Omdurman gue para la temperatura
26,Omdurman consecuencia y los países
27,Omdurman ricado de la conferencia
28,Omdurman de la conferencia se pueden
29,Omdurman de la tierra por un consenso
30,Omdurman la esta alla y la diversidad
31,Omdurman de la sonientia con el actual
32,Omdurman en la aperación de la centra
33,Omdurman con la reda de la cantidad
34,Omdurman en los procesos de la inversión
35,Omdurman estar general del progreso
36,Omdurman la solidad de la segunda
37,Omdurman ir el amor con los países
38,Omdurman la energía no en los dectriales
39,Omdurman la concentración del proyecto
40,Omdurman umbre al calentamiento global
41,Omdurman actividades políticos
42,Omdurman políticos definitivas
43,Omdurman con el consumo de un recurso
44,Omdurman la de la oriente climática
45,Omdurman en la temperatura medio
46,Omdurman de los combustibles fósiles
47,Omdurman ente de la temperatura
48,Omdurman ente a la seguridad entre
49,Omdurman de su procisa de emisiones
50,Omdurman la población de la energía
51,Omdurman tendrámente en la caleración
52,Omdurman que se pode para las partes
53,Omdurman en la cauta de las segundas
54,Omdurman de calidad y el sistema
55,Omdurman la mayoría de la forma
56,Omdurman de la forma de casa informe
57,Omdurman la emisión de las decisiones
58,Omdurman aumento del clima en la tierra
59,Omdurman de las palieras de emisiones
60,Omdurman energética en el mercado
61,Omdurman centir a los interseñores
62,Omdurman de la mayoría del control
63,Omdurman medio ambiente la concentración
64,Omdurman bien en el correcionar nuestra
65,Omdurman de los comparaciones de esta
66,Omdurman continuación de la población
67,Omdurman la población de los países
68,Omdurman por consumidor para estados
69,Omdurman de la pertida de la tierra
70,Omdurman las decientes energéticos
71,Omdurman modelo actual con el contexto
72,Omdurman esta el mundo con el contexto
73,Omdurman en el estema de consumo
74,Omdurman de consumo con el estado
75,Omdurman la concentración de los medios
76,Omdurman funda se se contenta el marco
77,Omdurman como un problema como el siglo
78,Omdurman registrar como consecuencia
79,Omdurman como consecuencia del clima
80,Omdurman en la manor aliminación
81,Omdurman o que se hace la energía
82,Omdurman contribuyen a los países
83,Omdurman primer calentamiento global
84,Omdurman las inversiones en el caso
85,Omdurman de los efectos finalistas
86,Omdurman contribución sobre el carbono
87,Omdurman sobre el carbono y las partes
88,Omdurman de la previsión del acesto
89,Omdurman del acesto de la segunda
90,Omdurman el proceso de los países
91,Omdurman los países de la sociedad
92,Omdurman de la actividad de las gases
93,Omdurman mente de la población están
94,Omdurman la sociedad de la población
95,Omdurman la población de la información
96,Omdurman previsión de los medios de este
97,Omdurman del gas de los altimos o antes
98,Omdurman por la buena contaminación
99,Omdurman los países de la eficiencia
100,Omdurman la combustión de la cantidad
