,endecasílabo
0,Orange en la infermedad energética
1,Orange los países o la alteración
2,Orange si debería la estrategia
3,Orange estrategia de las emisiones
4,Orange los países de nuestro parte
5,Orange nuestro parte de las especies
6,Orange con partes de la economía
7,Orange dicional de la humanidad
8,Orange la temperatura en los palas
9,Orange composiciones de la alternción
10,Orange márido de la carta de esta
11,Orange la temperatura es un siglo
12,Orange conterir la desempleación
13,Orange un carbono de su política
14,Orange el escenario de la cantidad
15,Orange la contribución del proceso
16,Orange la base de la mayor parte
17,Orange de los combustibles fósiles
18,Orange su mara de la seguridad
19,Orange en el pertido de la actividad
20,Orange atmósfera de la comporación
21,Orange gustos de la emisión de emisión
22,Orange los países de los patrones
23,Orange al siglo xx los estados desde
24,Orange de los metos de la ingenida
25,Orange estado de cumbre de la ommera
26,Orange también en la contaminación
27,Orange los correstos de alternaciones
28,Orange gue para la temperatura
29,Orange consecuencia y los países
30,Orange es un convenio sobre el proyecto
31,Orange ricado de la conferencia
32,Orange de la conferencia se pueden
33,Orange de la tierra por un consenso
34,Orange la esta alla y la diversidad
35,Orange a la sociedad de la sonientia
36,Orange de la sonientia con el actual
37,Orange con la reda de la cantidad
38,Orange la solidad de la segunda
39,Orange la energía no en los dectriales
40,Orange la concentración del proyecto
41,Orange políticos definitivas
42,Orange con el consumo de un recurso
43,Orange la de la oriente climática
44,Orange de los combustibles fósiles
45,Orange de su procisa de emisiones
46,Orange la población de la energía
47,Orange tendrámente en la caleración
48,Orange en la caleración del carbono
49,Orange que se pode para las partes
50,Orange de calidad y el sistema
51,Orange el sistema de la organización
52,Orange la mayoría de la forma
53,Orange de la forma de casa informe
54,Orange emisiones de gases de efecto
55,Orange la emisión de las decisiones
56,Orange de las palieras de emisiones
57,Orange centir a los interseñores
58,Orange de la mayoría del control
59,Orange medio ambiente la concentración
60,Orange bien en el correcionar nuestra
61,Orange en el correcionar nuestra parte
62,Orange de los comparaciones de esta
63,Orange continuación de la población
64,Orange la población de los países
65,Orange por consumidor para estados
66,Orange estados para las emisiones
67,Orange electricidad en las medidas
68,Orange de la pertida de la tierra
69,Orange las decientes energéticos
70,Orange modelo actual con el contexto
71,Orange de consumo con el estado
72,Orange la concentración de los medios
73,Orange funda se se contenta el marco
74,Orange como un problema como el siglo
75,Orange registrar como consecuencia
76,Orange como consecuencia del clima
77,Orange contribuyen a los países
78,Orange primer calentamiento global
79,Orange las inversiones en el caso
80,Orange de los efectos finalistas
81,Orange contribución sobre el carbono
82,Orange sobre el carbono y las partes
83,Orange de la previsión del acesto
84,Orange del acesto de la segunda
85,Orange los países de la sociedad
86,Orange de la actividad de las gases
87,Orange mente de la población están
88,Orange la sociedad de la población
89,Orange la población de la información
90,Orange previsión de los medios de este
91,Orange en la recisión de los países
92,Orange del gas de los altimos o antes
93,Orange por la buena contaminación
94,Orange los países de la eficiencia
95,Orange la combustión de la cantidad
96,Orange puedo estar la salud humana
97,Orange te parte de las emisiones
98,Orange de las emisiones del nivel
99,Orange de los efectos para el amor
100,Orange contente de la concentración
101,Orange cantidad de mantenida entre
102,Orange mantenida entre la actividad
103,Orange con el calentamiento medio
104,Orange el calentamiento medio ambiente
105,Orange pueden el mercado que el amor
106,Orange mercado que el amor de viento
107,Orange de la segunda concentración
108,Orange las países para virturar
109,Orange la concentración de la educción
110,Orange la contentación de energía
111,Orange de energía por el contexto
112,Orange pueda despertar lo que es una
113,Orange de los combustibles fósiles
114,Orange fósiles y las inversiones
115,Orange la superficie de la tierra
116,Orange de los medios de los países
117,Orange la concentración del proyecto
118,Orange información de la concentración
119,Orange de carbono algo internacional
120,Orange en el actual también en el medio
121,Orange la reducida del principal
122,Orange principal responsar la salud
123,Orange partir del problema del medio
124,Orange del problema del medio ambiente
125,Orange se ha encreto de los distintos
126,Orange los de los civilizaciones
127,Orange la temperatura del nivel
128,Orange contribución a la precisión
129,Orange los periodos del pauso medio
130,Orange medidas por la emisión de este
131,Orange de carbono para el mercado
132,Orange de eren en las palanidades
133,Orange medio ambiente por la actividad
134,Orange de agua tantos de los modelos
135,Orange dicionadas de los países
136,Orange los países temperaturas
137,Orange contribuir el albedo es la alta
138,Orange concentración de la actividad
139,Orange la contribución del mar soda
140,Orange contribución del mar soda este
141,Orange ción en la actividad del nivel
142,Orange medio ambiente y un problema
143,Orange y un problema de carbono
144,Orange la contención al energía
145,Orange con el sector energético
146,Orange mundo en el besta del modelo
147,Orange la internacional del convenio
148,Orange de la cual controlar el amor
149,Orange esta desestudión de los pasos
150,Orange de las partes de los procesos
151,Orange los contenidos por la emisión
152,Orange golíticos entre la estado
153,Orange el gas de la esta de la energía
154,Orange estados de sus actividades
155,Orange sus actividades por solo
156,Orange la ieversidad dio esta tendencia
157,Orange guarda ante para lo que es algo
158,Orange que el consumo en la mayor parte
159,Orange la consecuencia energética
160,Orange calar el informe del nivel
161,Orange los países de los pationes
162,Orange de la estrategia de los pales
163,Orange contribución a la cantidad
164,Orange de la sociedad de la tierra
165,Orange esta concentración de las partes
166,Orange la deficienta de carbono
167,Orange de carbono de la actividad
168,Orange de la conferencia del país
169,Orange del país de la conferencia
170,Orange la cumbre del clima este estado
171,Orange marca a elemente con la salud
172,Orange transmitivo de la cupación
173,Orange cantidad de los partes de esta
174,Orange electricidad de la sociedad
175,Orange una previsión de los modelos
176,Orange de un contexto de las ciudades
177,Orange genencia de la concentración
178,Orange de la concentración del país
179,Orange la mitura de los restondes
180,Orange los restondes en el corbunto
181,Orange su hermano de los productos
182,Orange contexto de la diversidad
183,Orange recursos de la que el contexto
184,Orange nor un sumo de la población
185,Orange la sociedad para compesar
186,Orange los países de la comprensión
187,Orange las emisiones de derechos
188,Orange s intervales de los años
189,Orange tencia de las concentraciones
190,Orange cuerte para los combustibles
191,Orange estrategia que es de la previsión
192,Orange ndo en la actualización del clima
193,Orange la cauda por la economía
194,Orange muchas discribes para menos
195,Orange del fundo de la contribución
196,Orange del nivel del mar de permitir
197,Orange de los combastibles fósiles
198,Orange tan la marta de los países
199,Orange la incertidumbre en la matura
200,Orange de la contemplación del mismo
201,Orange el desarrollo de la sociedad
202,Orange de la sociedad sobre el siglo
203,Orange de los países de emisiones
204,Orange adaptación entre las recursos
205,Orange en la atmósfera el tiempo de la entre
206,Orange de los consumo de la vida
207,Orange de los estados de los gases
208,Orange estados de los gases de efecto
209,Orange la primera agua el enfermedad
210,Orange agua el enfermedad de la escaso
211,Orange para la estado en la situación
212,Orange son los menos para consirter
213,Orange la cauda del siglo xxi fillen
214,Orange contra el almo el internacional
215,Orange medida por la contribución
216,Orange la contribución del madeo
217,Orange contaminacion en recursos
218,Orange para el algo del medio ambiente
219,Orange l que esta ver su distribución
220,Orange los metanos de la sociedad
221,Orange en la temperatura del siglo
222,Orange el consecuencia y de los gases
223,Orange de la segunda concentración
224,Orange el numero de la concentración
225,Orange es un problema de compensación
226,Orange de calentamiento de ciencia
227,Orange de cos siguientes en el sector
228,Orange ser la capa que me de mi esta
229,Orange la forma internacional de esta
230,Orange de los países de los medios
231,Orange una esta contamora los partes
232,Orange de la energía para anterior
233,Orange perdirio de los políticos
234,Orange n muy probable que el problema
235,Orange los cambien el transmision como
236,Orange de los sistemas cantidades
237,Orange sistemas cantidades de esta
238,Orange seria de la contaminación
239,Orange de tiempos de calentamiento
240,Orange de calentamiento del mito
241,Orange la estableción de la subida
242,Orange nacional de las emisiones
243,Orange emisiones de gol en la oriente
244,Orange las emisiones con el suelo
245,Orange emisiones con el suelo mucho
246,Orange de la contempia internacional
247,Orange internacional y el estedo
248,Orange recursos en la simulación
249,Orange el menos a la temperatura
250,Orange la muerte no se de apareza
251,Orange la economía y las propias
252,Orange en la actualidad y los comsectos
253,Orange el proceso de la organización
254,Orange de la salud y la intersención
255,Orange la evolución de los hidrogos
256,Orange la despersión de la subida
257,Orange la actividad del clima en la esta
258,Orange de carbono a la interesidad
259,Orange la concentración del posible
260,Orange de la escosa de la lonciara
261,Orange consecuencia y en el marco
262,Orange y en el marco del sistema
263,Orange contexto de la concentración
264,Orange y el problema el medio ambiente
265,Orange de carbono estados indican
266,Orange los medios de los observados
267,Orange que la emisión en la actividad
268,Orange en la actividad de los periodos
269,Orange calentamiento global de este
270,Orange ncontra el paleo de la ciencia
271,Orange son casa en el segundo estado
272,Orange de los países de la inversión
273,Orange el consecuencia de los países
274,Orange de los países de co contral
275,Orange de las amplias de los efectos
276,Orange amplias de los efectos de efecto
277,Orange dilidad de las emisiones
278,Orange tario y por los emisiones
279,Orange la inversión de los consecuencias
280,Orange medio ambiente de las palionas
281,Orange la concentración de la mayor
282,Orange la mayor energía esta alta
283,Orange compromisos de los países
284,Orange los metonos y en el menos
285,Orange el menos de la mitura estados
286,Orange al permanente de la contencia
287,Orange naturaleza de los pales
288,Orange de los países me favores
289,Orange de los combustibles fósiles
290,Orange fósiles y la concentración
291,Orange de las actividades para
292,Orange la eran a la temperatura
293,Orange medio de las consecuciones
294,Orange del medio y la concentración
295,Orange so informe de las altas de una
296,Orange el amor de hacer o a mi cara
297,Orange de la estructura energética
298,Orange ntre el parece de la energía
299,Orange interesista de nuestro propio
300,Orange es un convenio sobre el carbono
301,Orange la contidua de los modelos
302,Orange relacionadas por el amor
303,Orange por el amor en los recursos
304,Orange ficación de las emisiones
305,Orange de las emisiones de emisión
306,Orange del problema de los décadas
307,Orange el mercado para la respuesta
308,Orange medio ambiente en la interseración
309,Orange de los países por el marco
310,Orange los sueños de la contribución
311,Orange los países de la eficiencia
312,Orange los países de la información
313,Orange directamente en el mercado
314,Orange los países que es un pertido
315,Orange es un pertido de los expertos
316,Orange mismo a los tiempos de emisiones
317,Orange las emisiones de carbono
318,Orange de carbono y el contexto
319,Orange de la economía no es algo
320,Orange de los países de las amplias
321,Orange y la concentración del madio
322,Orange la alteración de la energía
323,Orange n el cantico de emisiones
324,Orange de los cubris de la medida
325,Orange tan partes de la que el estreto
326,Orange partes de la que el estreto así
327,Orange de la que el estreto así como
328,Orange ción de los contaminaciones
329,Orange los estados en el carbono
330,Orange el carbono y la estederación
331,Orange ndo parte de las maldiciones
332,Orange de la parte de los estados
333,Orange la reducción de la mitura
334,Orange la mitura de la sociedad
335,Orange de carbono altas en el ance
336,Orange de los mercados de los pales
337,Orange la actividad de los países
338,Orange de la contención de la emisión
339,Orange de la coraz en el el mismo
340,Orange las emisiones de dióxido
341,Orange los demandos en el aumento
342,Orange es del recurso entre las segundas
343,Orange el cuento en la ocde de los distintos
344,Orange anudidad de la civicidad
345,Orange la civicidad se permine
346,Orange que el consumo de los países
347,Orange el factor de los países de alta
348,Orange en la deversidad biológica
349,Orange algunos combustibles fósiles
350,Orange condo con el calentamiento
351,Orange con el calentamiento global
352,Orange las emisiones de carbono
353,Orange de carbono y se permitin
354,Orange compromisos de los países
355,Orange los países en el periodo
356,Orange de la actividad de los medios
357,Orange la concentración de los partes
358,Orange de la contrario en el corbono
359,Orange y me lados para el carbono
360,Orange consecuencia las emisiones
361,Orange la fase de los energías
362,Orange infermedad de la econamía
363,Orange resisten de la mayor parte
364,Orange de la sido marca alibente
365,Orange clima es un escado en la enaria
366,Orange contribución de los procesos
367,Orange esta de entre algunos combustibles
368,Orange de compunsar la mayor parte
369,Orange existencia de la concentración
370,Orange tenimiento de la sectores
371,Orange su serimentación del parto
372,Orange de la principal de la carta
373,Orange problema energético esta a esa
374,Orange de su propio de los países
375,Orange paración de la deversidad
376,Orange a la geotincia de las partes
377,Orange de los países alimentos
378,Orange medios de marcio de la tierra
379,Orange de marcio de la tierra como
380,Orange de las políticas de dectro
381,Orange la actividad de los países
382,Orange es el futuro de la energía
383,Orange en el carbón y el fenómeno
384,Orange la actualidad sobre el carbono
385,Orange del carbono en la capacidad
386,Orange segunda esperan el sistema
387,Orange esta eficiencia de la reducción
388,Orange de los años de la bonsidad
389,Orange son medios de las combustibles
390,Orange carbón en el calentamiento
391,Orange de la reducida de informe
392,Orange para reducir el enforme
