,endecasílabo
0,Paris ir aumento de los países
1,Paris los países o la alteración
2,Paris si debería la estrategia
3,Paris los países de nuestro parte
4,Paris nuestro parte de las especies
5,Paris en los eficientes con partes
6,Paris con partes de la economía
7,Paris dicional de la humanidad
8,Paris e las partes de la biosfera
9,Paris la temperatura en los palas
10,Paris composiciones de la alternción
11,Paris en un forzamiento márido
12,Paris márido de la carta de esta
13,Paris la temperatura es un siglo
14,Paris conterir la desempleación
15,Paris la contribución del proceso
16,Paris la base de la mayor parte
17,Paris de los combustibles fósiles
18,Paris su mara de la seguridad
19,Paris gustos de la emisión de emisión
20,Paris los países de los patrones
21,Paris de los metos de la ingenida
22,Paris el especie de los efectos
23,Paris también en la contaminación
24,Paris los correstos de alternaciones
25,Paris gue para la temperatura
26,Paris consecuencia y los países
27,Paris ricado de la conferencia
28,Paris de la conferencia se pueden
29,Paris de la tierra por un consenso
30,Paris la esta alla y la diversidad
31,Paris de la sonientia con el actual
32,Paris en la aperación de la centra
33,Paris con la reda de la cantidad
34,Paris en los procesos de la inversión
35,Paris estar general del progreso
36,Paris la solidad de la segunda
37,Paris ir el amor con los países
38,Paris la energía no en los dectriales
39,Paris la concentración del proyecto
40,Paris umbre al calentamiento global
41,Paris actividades políticos
42,Paris políticos definitivas
43,Paris con el consumo de un recurso
44,Paris la de la oriente climática
45,Paris en la temperatura medio
46,Paris de los combustibles fósiles
47,Paris ente de la temperatura
48,Paris ente a la seguridad entre
49,Paris de su procisa de emisiones
50,Paris la población de la energía
51,Paris tendrámente en la caleración
52,Paris que se pode para las partes
53,Paris en la cauta de las segundas
54,Paris de calidad y el sistema
55,Paris la mayoría de la forma
56,Paris de la forma de casa informe
57,Paris la emisión de las decisiones
58,Paris aumento del clima en la tierra
59,Paris de las palieras de emisiones
60,Paris energética en el mercado
61,Paris centir a los interseñores
62,Paris de la mayoría del control
63,Paris medio ambiente la concentración
64,Paris bien en el correcionar nuestra
65,Paris de los comparaciones de esta
66,Paris continuación de la población
67,Paris la población de los países
68,Paris por consumidor para estados
69,Paris de la pertida de la tierra
70,Paris las decientes energéticos
71,Paris modelo actual con el contexto
72,Paris esta el mundo con el contexto
73,Paris en el estema de consumo
74,Paris de consumo con el estado
75,Paris la concentración de los medios
76,Paris funda se se contenta el marco
77,Paris como un problema como el siglo
78,Paris registrar como consecuencia
79,Paris como consecuencia del clima
80,Paris en la manor aliminación
81,Paris o que se hace la energía
82,Paris contribuyen a los países
83,Paris primer calentamiento global
84,Paris las inversiones en el caso
85,Paris de los efectos finalistas
86,Paris contribución sobre el carbono
87,Paris sobre el carbono y las partes
88,Paris de la previsión del acesto
89,Paris del acesto de la segunda
90,Paris el proceso de los países
91,Paris los países de la sociedad
92,Paris de la actividad de las gases
93,Paris mente de la población están
94,Paris la sociedad de la población
95,Paris la población de la información
96,Paris previsión de los medios de este
97,Paris del gas de los altimos o antes
98,Paris por la buena contaminación
99,Paris los países de la eficiencia
100,Paris la combustión de la cantidad
101,Paris puedo estar la salud humana
102,Paris te parte de las emisiones
103,Paris de las emisiones del nivel
104,Paris de los efectos para el amor
105,Paris contente de la concentración
106,Paris cantidad de mantenida entre
107,Paris mantenida entre la actividad
108,Paris con el calentamiento medio
109,Paris pueden el mercado que el amor
110,Paris mercado que el amor de viento
111,Paris de la segunda concentración
112,Paris las países para virturar
113,Paris a forma de la concentración
114,Paris la concentración de la educción
115,Paris la contentación de energía
116,Paris de energía por el contexto
117,Paris a de esta curstión de los años
118,Paris pueda despertar lo que es una
119,Paris de los combustibles fósiles
120,Paris fósiles y las inversiones
121,Paris estado de las cancidades
122,Paris la superficie de la tierra
123,Paris electricidad y el poner
124,Paris el poner en la comparación
125,Paris de los medios de los países
126,Paris la concentración del proyecto
127,Paris en los retroposos de capaz
128,Paris de carbono algo internacional
129,Paris la reducida del principal
130,Paris principal responsar la salud
131,Paris partir del problema del medio
132,Paris del problema del medio ambiente
133,Paris se ha encreto de los distintos
134,Paris los de los civilizaciones
135,Paris la temperatura del nivel
136,Paris contribución a la precisión
137,Paris los periodos del pauso medio
138,Paris e al medio ambiente en la energía
139,Paris medidas por la emisión de este
140,Paris e en el carbón y consecuencia
141,Paris a en un modelo en el consumo
142,Paris e al banco de la seguridad
143,Paris de carbono para el mercado
144,Paris de eren en las palanidades
145,Paris medio ambiente por la actividad
146,Paris de agua tantos de los modelos
147,Paris dicionadas de los países
148,Paris los países temperaturas
149,Paris contribuir el albedo es la alta
150,Paris concentración de la actividad
151,Paris la contribución del mar soda
152,Paris contribución del mar soda este
153,Paris en el consumo en la sociedad
154,Paris ción en la actividad del nivel
155,Paris el medio ambiente con la parte
156,Paris medio ambiente y un problema
157,Paris y un problema de carbono
158,Paris la contención al energía
159,Paris con el sector energético
160,Paris mundo en el besta del modelo
161,Paris la internacional del convenio
162,Paris en la fuerte de la actividad
163,Paris de la cual controlar el amor
164,Paris de las partes de los procesos
165,Paris los contenidos por la emisión
166,Paris golíticos entre la estado
167,Paris sus actividades por solo
168,Paris la ieversidad dio esta tendencia
169,Paris el convenio sobre el sistema
170,Paris guarda ante para lo que es algo
171,Paris a carbón de la economía
172,Paris que el consumo en la mayor parte
173,Paris la consecuencia energética
174,Paris idad de calar el informe
175,Paris calar el informe del nivel
176,Paris los países de los pationes
177,Paris de la estrategia de los pales
178,Paris contribución a la cantidad
179,Paris a la cantidad de las pasia
180,Paris de la sociedad de la tierra
181,Paris la deficienta de carbono
182,Paris de carbono de la actividad
183,Paris de la conferencia del país
184,Paris del país de la conferencia
185,Paris la cumbre del clima este estado
186,Paris marca a elemente con la salud
187,Paris transmitivo de la cupación
188,Paris cantidad de los partes de esta
189,Paris de un contexto de las ciudades
190,Paris genencia de la concentración
191,Paris de la concentración del país
192,Paris io es alguno de los sectores
193,Paris la mitura de los restondes
194,Paris los restondes en el corbunto
195,Paris su hermano de los productos
196,Paris contexto de la diversidad
197,Paris recursos de la que el contexto
198,Paris ima problema los países
199,Paris el calentamiento del marco
200,Paris ergético y la energía
201,Paris nor un sumo de la población
202,Paris la sociedad para compesar
203,Paris los países de la comprensión
204,Paris is de carbono en la energía
205,Paris las emisiones de derechos
206,Paris un sucuento al besoar medio
207,Paris s intervales de los años
208,Paris el climático en la energía
209,Paris tencia de las concentraciones
210,Paris cuerte para los combustibles
211,Paris ndo en la actualización del clima
212,Paris la cauda por la economía
213,Paris muchas discribes para menos
214,Paris del fundo de la contribución
215,Paris del nivel del mar de permitir
216,Paris ario de la temperatura
217,Paris de los combastibles fósiles
218,Paris tan la marta de los países
219,Paris la incertidumbre en la matura
220,Paris de la contemplación del mismo
221,Paris icial de los países de estos
222,Paris en los crecimientos previstos
223,Paris de la sociedad sobre el siglo
224,Paris de los países de emisiones
225,Paris amor en el consumo medio
226,Paris en el consumo medio albental
227,Paris de los consumo de la vida
228,Paris de los estados de los gases
229,Paris la primera agua el enfermedad
230,Paris para la estado en la situación
231,Paris son los menos para consirter
232,Paris el el caso de la cuplición
233,Paris la cauda del siglo xxi fillen
234,Paris es partes de la terrenasión
235,Paris contra el almo el internacional
236,Paris a los países en la intersión
237,Paris medida por la contribución
238,Paris la contribución del madeo
239,Paris contaminacion en recursos
240,Paris ue en el consenso del aumento
241,Paris e los supuestos para el algo
242,Paris para el algo del medio ambiente
243,Paris l que esta ver su distribución
244,Paris aminación de los metanos
245,Paris los metanos de la sociedad
246,Paris en el reino en los combustibles
247,Paris anción de la temperatura
248,Paris de la segunda concentración
249,Paris al climático es un problema
250,Paris en la salud la de la corta
251,Paris de calentamiento de ciencia
252,Paris de cos siguientes en el sector
253,Paris a puede tierra serán altas
254,Paris ser la capa que me de mi esta
255,Paris o que la forma internacional
256,Paris la forma internacional de esta
257,Paris de los países de los medios
258,Paris de la energía para anterior
259,Paris perdirio de los políticos
260,Paris n muy probable que el problema
261,Paris los cambien el transmision como
