,endecasílabo
0,Port Moresby ### load libraries
1,Port Moresby de la conferencia
2,Port Moresby de la contribución
3,Port Moresby mayor política
4,Port Moresby y la concentración
5,Port Moresby de la compromiso
6,Port Moresby la estado de cambio
7,Port Moresby en la concentración
8,Port Moresby de la compra de esta
9,Port Moresby por la compromisa
10,Port Moresby de la conferencia
11,Port Moresby en la concentración
12,Port Moresby de la compromisa
13,Port Moresby el temperatura
14,Port Moresby contra la demanda
15,Port Moresby a la concentración
16,Port Moresby de la compromisa
17,Port Moresby en la compromisa
18,Port Moresby de la compromisa
19,Port Moresby en la concentración
20,Port Moresby contra las procesos
21,Port Moresby propia de la propia
22,Port Moresby mar se desarrolla
23,Port Moresby de la concentración
24,Port Moresby mayor producida
25,Port Moresby de la capacidad
26,Port Moresby por la concentración
27,Port Moresby de la estrategía
28,Port Moresby en la concentración
29,Port Moresby a de la estratora
30,Port Moresby estado en el cambio
31,Port Moresby de la concentración
32,Port Moresby de la compromisa
33,Port Moresby en la compromisa
34,Port Moresby de la contribución
35,Port Moresby en la compromiso
36,Port Moresby esta mayor parte
37,Port Moresby de la consecuencia
38,Port Moresby contra la demanda
39,Port Moresby de la concentración
40,Port Moresby de la concentración
41,Port Moresby de la compromiso
42,Port Moresby esta mayor parte
43,Port Moresby parte de la salud
44,Port Moresby de la concentración
45,Port Moresby de la compromisa
46,Port Moresby esta las problemas
47,Port Moresby cambio climático
48,Port Moresby parte de la capa
49,Port Moresby de la contra el cambio
50,Port Moresby de la contra el cambio
51,Port Moresby de la concentración
52,Port Moresby de la compromisa
53,Port Moresby de la contribución
54,Port Moresby producir el cambio
55,Port Moresby cambio climático
56,Port Moresby esta mayor parte
57,Port Moresby de la contra el cambio
58,Port Moresby esta contra el medio
59,Port Moresby la contra un proyecto
60,Port Moresby de la concentración
61,Port Moresby de la compromiso
62,Port Moresby e la concentración
63,Port Moresby de la concentración
64,Port Moresby en la compromiso
65,Port Moresby esta mayor parte
66,Port Moresby en la concentración
67,Port Moresby de la compromisa
68,Port Moresby de la compromisa
69,Port Moresby menos de la compra
70,Port Moresby en la concentración
71,Port Moresby de la compromisa
72,Port Moresby de las emisiones
73,Port Moresby por la contra el cambio
74,Port Moresby esta mayor parte
75,Port Moresby de la concentración
76,Port Moresby de la concentración
77,Port Moresby esta mayor parte
78,Port Moresby cual con la producción
79,Port Moresby en la compromiso
80,Port Moresby de la capacidad
81,Port Moresby de la contra el cambio
82,Port Moresby de la consecuencia
83,Port Moresby de las emisiones
84,Port Moresby carbono a la propia
85,Port Moresby en la compromisa
86,Port Moresby en la concentración
87,Port Moresby de las emisiones
88,Port Moresby de la contribución
89,Port Moresby en la concentración
90,Port Moresby de la contribución
91,Port Moresby de las emisiones
92,Port Moresby esta contra el cambio
93,Port Moresby en la concentración
94,Port Moresby de la concentración
95,Port Moresby de la concentración
96,Port Moresby a la concentración
97,Port Moresby de las emisiones
98,Port Moresby la compra de cambio
99,Port Moresby de la compromisa
100,Port Moresby con la compromisa
101,Port Moresby esta mayor parte
102,Port Moresby de la compromisa
103,Port Moresby en la contra el cambio
104,Port Moresby de la concentración
105,Port Moresby de la concentración
106,Port Moresby de la concentración
107,Port Moresby en la contribución
108,Port Moresby de la concentración
109,Port Moresby de la compromisa
110,Port Moresby compromiso de esta
111,Port Moresby el temperatura
112,Port Moresby de la concentración
113,Port Moresby contrado en la propia
114,Port Moresby de la compromisa
115,Port Moresby de la concentración
116,Port Moresby de la concentración
117,Port Moresby de la compromisa
118,Port Moresby con la compromisa
119,Port Moresby de la compromisa
120,Port Moresby de la consecuencia
121,Port Moresby de la concentración
122,Port Moresby de la compromisa
123,Port Moresby la temperatura
124,Port Moresby la temperatura
125,Port Moresby en la concentración
126,Port Moresby de la concentración
127,Port Moresby de las emisiones
128,Port Moresby precipitaciones
129,Port Moresby las contribuciones
130,Port Moresby en la concentración
131,Port Moresby la contra el problema
132,Port Moresby de la compromisa
133,Port Moresby de la compromisa
134,Port Moresby de la concentración
135,Port Moresby en la compromisa
136,Port Moresby carbono a la propia
137,Port Moresby de la contra el cambio
138,Port Moresby de la concentración
139,Port Moresby largo de la propia
140,Port Moresby de la concentración
141,Port Moresby a esta mayor parte
142,Port Moresby de las emisiones
143,Port Moresby de las emisiones
144,Port Moresby de la compromisa
145,Port Moresby de la concentración
146,Port Moresby de la compromisa
147,Port Moresby y la concentración
148,Port Moresby de la compromisa
149,Port Moresby esta superficie
150,Port Moresby de la compromisa
151,Port Moresby en la compromisa
152,Port Moresby e la contra el cambio
153,Port Moresby a la compromisa
154,Port Moresby a la seguridad
155,Port Moresby en la concentración
156,Port Moresby esta contra el cambio
157,Port Moresby de la compromisa
158,Port Moresby en la compromiso
159,Port Moresby en la compromisa
160,Port Moresby a la superficie
161,Port Moresby de la contribución
162,Port Moresby de la concentración
163,Port Moresby de la concentración
164,Port Moresby de la compromisa
165,Port Moresby de la concentración
166,Port Moresby de la concentración
167,Port Moresby de la compromisa
168,Port Moresby de la concentración
169,Port Moresby de la compromisa
170,Port Moresby de la concentración
171,Port Moresby de la compromisa
172,Port Moresby en la compromisa
173,Port Moresby e en la concentración
174,Port Moresby de la contra el cambio
175,Port Moresby de la contra el cambio
176,Port Moresby de la compromisa
177,Port Moresby de la compromisa
178,Port Moresby mayor contra el cambio
179,Port Moresby de la concentración
180,Port Moresby de la compromisa
181,Port Moresby e la concentración
182,Port Moresby de la contra el cambio
183,Port Moresby en los combustibles
184,Port Moresby de la contribución
185,Port Moresby de las emisiones
186,Port Moresby de la contribución
187,Port Moresby de la concentración
188,Port Moresby en la compromisa
189,Port Moresby de la capacidad
190,Port Moresby de la concentración
191,Port Moresby en la compromisa
192,Port Moresby en la compromisa
193,Port Moresby en la compromiso
194,Port Moresby de la concentración
195,Port Moresby de la compromisa
196,Port Moresby mar de contra el cambio
197,Port Moresby de la concentración
198,Port Moresby de la conferencia
199,Port Moresby de las emisiones
200,Port Moresby esta producida
201,Port Moresby de la consecuencia
202,Port Moresby la temperatura
203,Port Moresby de la compromisa
204,Port Moresby a la concentración
205,Port Moresby de la contribución
206,Port Moresby de la concentración
207,Port Moresby en la concentración
208,Port Moresby de la concentración
209,Port Moresby estado en el cambio
210,Port Moresby esta la aprobación
211,Port Moresby en la concentración
212,Port Moresby la compra de cambio
213,Port Moresby a la compromisa
214,Port Moresby de la concentración
215,Port Moresby de la concentración
216,Port Moresby de la compromisa
217,Port Moresby de la contra el cambio
218,Port Moresby de la compromisa
219,Port Moresby de la compromisa
220,Port Moresby al contralización
221,Port Moresby de las emisiones
222,Port Moresby establecimiento
223,Port Moresby de la compromisa
224,Port Moresby de la contra el cambio
225,Port Moresby de la compromisa
226,Port Moresby esta mayor cambio
227,Port Moresby de la compromisa
228,Port Moresby en la compromisa
229,Port Moresby en las emisiones
230,Port Moresby marco de la propia
231,Port Moresby de la compromisa
232,Port Moresby de la concentración
233,Port Moresby de la compromisa
234,Port Moresby vez más de la contrar
235,Port Moresby en la compromisa
236,Port Moresby de la concentración
237,Port Moresby de la economía
238,Port Moresby de la capacidad
239,Port Moresby de la concentración
240,Port Moresby de la compromisa
241,Port Moresby en la concentración
242,Port Moresby de la consecuencia
243,Port Moresby la energía media
244,Port Moresby de la concentración
245,Port Moresby de la concentración
246,Port Moresby de la compromisa
247,Port Moresby de la contribución
248,Port Moresby de la concentración
249,Port Moresby de la compromisa
250,Port Moresby que se desarrollar
251,Port Moresby de la compromisa
252,Port Moresby establecimiento
253,Port Moresby de la compromisa
254,Port Moresby de la contra el cambio
255,Port Moresby contra la producción
256,Port Moresby esta la producción
257,Port Moresby de la concentración
258,Port Moresby de la compromisa
259,Port Moresby en la contraciones
260,Port Moresby en las emisiones
261,Port Moresby en la contribución
262,Port Moresby de la concentración
