,verse,terminacion
0,Praia nte en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Praia de los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Praia se distinte en la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
3,Praia en la temperatura de los palas,"[<'pa':cV>, <'las':cVs>]"
4,Praia la estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
5,Praia es la respuesta de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
6,Praia de los países de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
7,Praia de nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
8,Praia los países contigo en la emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
9,Praia la deferencia de los palabres,"[<'pa':cV>, <'la':cV>, <'bres':ccVs>]"
10,Praia marcio a la presencia de la salud,"[<'sa':sV>, <'lud':cvc>]"
11,Praia de la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
12,Praia los composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
13,Praia desempleación de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
14,Praia de los países de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
15,Praia consumo en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
16,Praia se están de algo que no queríamos,"[<'que':cvV>, <'rí':cV>, <'a':V>, <'mos':cVs>]"
17,Praia para diversidad biológica,"[<'bio':cvV>, <'ló':cV>, <'gi':cv>, <'ca':cV>]"
18,Praia el mercado pero la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
19,Praia la atmósfera de la comporación,"[<'com':cVc>, <'po':cV>, <'ra':cV>, <'ción':cvVc>]"
20,Praia de los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Praia en la energía se ha invervadente,"[<'in':vc>, <'ver':cVc>, <'va':cV>, <'den':cVc>, <'te':cV>]"
