,verse,terminacion
0,Pretoria permitado en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
1,Pretoria en el proyecto de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
2,Pretoria de carbono a la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
3,Pretoria problema de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
4,Pretoria modelos de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
5,Pretoria contribución de la propia,"[<'pro':ccV>, <'pia':cvV>]"
6,Pretoria entre el mar de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
7,Pretoria carbono en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Pretoria menos de la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
9,Pretoria parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
10,Pretoria parte de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
11,Pretoria mundial de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
12,Pretoria contribución de la compra,"[<'com':cVc>, <'pra':ccV>]"
13,Pretoria mayor parte de la salud,"[<'sa':sV>, <'lud':cvc>]"
14,Pretoria marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
15,Pretoria mayor en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Pretoria climático como el cambio,"[<'cam':cVc>, <'bio':cvV>]"
17,Pretoria como el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
18,Pretoria producto en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Pretoria el petróleo y la propia,"[<'pro':ccV>, <'pia':cvV>]"
20,Pretoria marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
21,Pretoria climático en la atmósfera,"[<'at':Vc>, <'mós':cVs>, <'fe':cV>, <'ra':cV>]"
22,Pretoria está contra la compromica,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'ca':cV>]"
23,Pretoria marca de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
24,Pretoria parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
25,Pretoria política en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
26,Pretoria climática y el cambio,"[<'cam':cVc>, <'bio':cvV>]"
27,Pretoria carbono en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
28,Pretoria propia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
29,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
30,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
31,Pretoria el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
32,Pretoria menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
33,Pretoria la compra de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
34,Pretoria marco de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,Pretoria la comprar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
36,Pretoria por el contral de la propia,"[<'pro':ccV>, <'pia':cvV>]"
37,Pretoria el contral de la propia contra,"[<'con':cVc>, <'tra':ccV>]"
38,Pretoria en el proceso de la propia,"[<'pro':ccV>, <'pia':cvV>]"
39,Pretoria la contrar con la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
40,Pretoria permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
41,Pretoria de la propia climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
42,Pretoria para el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
43,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
44,Pretoria el cambio climático sobre,"[<'so':sV>, <'bre':ccV>]"
45,Pretoria la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
46,Pretoria permitado de la compra,"[<'com':cVc>, <'pra':ccV>]"
47,Pretoria parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
48,Pretoria emisiones de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
49,Pretoria la propia de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
50,Pretoria producirá a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Pretoria el proyecto de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
52,Pretoria permitado de la propia,"[<'pro':ccV>, <'pia':cvV>]"
53,Pretoria de la propia contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
54,Pretoria menos de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
55,Pretoria permitado por la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Pretoria el contrado en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
57,Pretoria parte de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
58,Pretoria en la propia de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
59,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
60,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
61,Pretoria menos precipitaciones,"[<'pre':ccV>, <'ci':cv>, <'pi':cv>, <'ta':cV>, <'cio':cvV>, <'nes':cVs>]"
62,Pretoria permita de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
63,Pretoria la capa de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
64,Pretoria de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
65,Pretoria menos de la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
66,Pretoria por el mar en la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
67,Pretoria permita en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
68,Pretoria la producción de la compra,"[<'com':cVc>, <'pra':ccV>]"
69,Pretoria contra el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
70,Pretoria permitado de la estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
71,Pretoria producido a la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
72,Pretoria el proceso de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
73,Pretoria parte de la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
74,Pretoria de contra la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
75,Pretoria la contrar la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
76,Pretoria comprensión de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
77,Pretoria propia con la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
78,Pretoria permita en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
79,Pretoria por el cambio climático,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'co':cV>]"
80,Pretoria problema de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
