,verse,terminacion
0,Puebla en la infermedad energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
1,Puebla los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Puebla si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Puebla estrategia de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
4,Puebla los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
5,Puebla nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
6,Puebla con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Puebla dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Puebla la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
9,Puebla composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
10,Puebla márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
11,Puebla la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
12,Puebla conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
13,Puebla un carbono de su política,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'ca':cV>]"
14,Puebla el escenario de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Puebla la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Puebla la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Puebla de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Puebla su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Puebla en el pertido de la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
