,endecasílabo
0,Puerto del Rosario load libraries
1,Puerto del Rosario ### load model
2,Puerto del Rosario la contra el cambio
3,Puerto del Rosario la conferencia
4,Puerto del Rosario la contribución
5,Puerto del Rosario contra el proyecto
6,Puerto del Rosario en la compromisa
7,Puerto del Rosario de la intersidad
8,Puerto del Rosario la concentración
9,Puerto del Rosario la compromisa
10,Puerto del Rosario de compromiso
11,Puerto del Rosario la compromiso
12,Puerto del Rosario estado de cambio
13,Puerto del Rosario la concentración
14,Puerto del Rosario la compra de esta
15,Puerto del Rosario la compromisa
16,Puerto del Rosario la conferencia
17,Puerto del Rosario la concentración
18,Puerto del Rosario la compromisa
19,Puerto del Rosario el temperatura
20,Puerto del Rosario de la producción
21,Puerto del Rosario la concentración
22,Puerto del Rosario la compromisa
23,Puerto del Rosario la compromisa
24,Puerto del Rosario la compromisa
25,Puerto del Rosario la concentración
26,Puerto del Rosario la capacidad
27,Puerto del Rosario la concentración
28,Puerto del Rosario la estrategía
29,Puerto del Rosario la concentración
30,Puerto del Rosario en la concentración
31,Puerto del Rosario en la compromiso
32,Puerto del Rosario de la estratora
33,Puerto del Rosario en la compromisa
34,Puerto del Rosario la concentración
35,Puerto del Rosario la compromisa
36,Puerto del Rosario en la concentración
37,Puerto del Rosario la compromisa
38,Puerto del Rosario de compromiso
39,Puerto del Rosario de compromiso
40,Puerto del Rosario la contribución
41,Puerto del Rosario de la producción
42,Puerto del Rosario la contra el cambio
43,Puerto del Rosario en la compromitad
44,Puerto del Rosario la compromiso
45,Puerto del Rosario de compromiso
46,Puerto del Rosario de compromiso
47,Puerto del Rosario de la producción
48,Puerto del Rosario la consecuencia
49,Puerto del Rosario de los procesos
50,Puerto del Rosario de la comprensión
51,Puerto del Rosario en la compromisa
52,Puerto del Rosario de la producción
53,Puerto del Rosario de la producción
54,Puerto del Rosario la contribución
55,Puerto del Rosario como la propia
56,Puerto del Rosario la propia como
57,Puerto del Rosario la contra el cambio
58,Puerto del Rosario contra la propia
59,Puerto del Rosario la propia contra
60,Puerto del Rosario en la compromisa
61,Puerto del Rosario la contra el cambio
62,Puerto del Rosario la contra el cambio
63,Puerto del Rosario la contra el cambio
64,Puerto del Rosario la compromisa
65,Puerto del Rosario de compromiso
66,Puerto del Rosario en las emisiones
67,Puerto del Rosario en la compromisa
68,Puerto del Rosario en el petróleo
69,Puerto del Rosario la contra el cambio
70,Puerto del Rosario la contribución
71,Puerto del Rosario de la contración
72,Puerto del Rosario las emisiones
73,Puerto del Rosario climático está
74,Puerto del Rosario en la compromisa
75,Puerto del Rosario la contra el cambio
76,Puerto del Rosario la compromisa
77,Puerto del Rosario contra un proyecto
78,Puerto del Rosario la concentración
79,Puerto del Rosario la concentración
80,Puerto del Rosario la compromiso
81,Puerto del Rosario en la concentración
82,Puerto del Rosario la concentración
83,Puerto del Rosario la concentración
84,Puerto del Rosario la compromisa
85,Puerto del Rosario de compromiso
86,Puerto del Rosario en la compromiso
87,Puerto del Rosario la compromitad
88,Puerto del Rosario de la comprensión
89,Puerto del Rosario las emisiones
90,Puerto del Rosario en la concentración
91,Puerto del Rosario la concentración
92,Puerto del Rosario la compromisa
93,Puerto del Rosario la concentración
94,Puerto del Rosario la compromisa
95,Puerto del Rosario de la producción
96,Puerto del Rosario la concentración
97,Puerto del Rosario las emisiones
98,Puerto del Rosario la contra el cambio
99,Puerto del Rosario en la compromiso
100,Puerto del Rosario en la compromisa
101,Puerto del Rosario la contra el cambio
102,Puerto del Rosario la compromisa
103,Puerto del Rosario de compromiso
104,Puerto del Rosario de compromiso
105,Puerto del Rosario la compromiso
106,Puerto del Rosario de combustibles
107,Puerto del Rosario la capacidad
108,Puerto del Rosario la contra el cambio
109,Puerto del Rosario en la concentración
110,Puerto del Rosario por el promedio
111,Puerto del Rosario en la concentración
112,Puerto del Rosario en la compromisa
113,Puerto del Rosario en la compromisa
114,Puerto del Rosario la concentración
115,Puerto del Rosario las emisiones
116,Puerto del Rosario la concentración
117,Puerto del Rosario la contribución
118,Puerto del Rosario la concentración
119,Puerto del Rosario la contribución
120,Puerto del Rosario la conferencia
121,Puerto del Rosario las emisiones
122,Puerto del Rosario en la concentración
123,Puerto del Rosario la capacidad
124,Puerto del Rosario muchos procesos
125,Puerto del Rosario la concentración
126,Puerto del Rosario las emisiones
127,Puerto del Rosario en la consecuencia
128,Puerto del Rosario por el proyecto
129,Puerto del Rosario de contra el cambio
130,Puerto del Rosario por el proceso
131,Puerto del Rosario en la concentración
132,Puerto del Rosario su proporciona
133,Puerto del Rosario la compromisa
134,Puerto del Rosario de contra el cambio
135,Puerto del Rosario la contra el cambio
136,Puerto del Rosario de la actualidad
137,Puerto del Rosario de la producción
138,Puerto del Rosario la contribución
139,Puerto del Rosario de la comprensión
140,Puerto del Rosario la concentración
141,Puerto del Rosario la compromisa
142,Puerto del Rosario en la compromisa
143,Puerto del Rosario de esta población
144,Puerto del Rosario el temperatura
145,Puerto del Rosario la concentración
146,Puerto del Rosario la contribución
147,Puerto del Rosario la compromisa
148,Puerto del Rosario de compromiso
149,Puerto del Rosario la compromisa
150,Puerto del Rosario de compromiso
151,Puerto del Rosario la compromisa
152,Puerto del Rosario de compromiso
153,Puerto del Rosario de la demanda
154,Puerto del Rosario de la comprensión
155,Puerto del Rosario la concentración
156,Puerto del Rosario la concentración
157,Puerto del Rosario la contra el cambio
158,Puerto del Rosario la concentración
159,Puerto del Rosario la concentración
160,Puerto del Rosario la conferencia
161,Puerto del Rosario las emisiones
162,Puerto del Rosario de compromiso
163,Puerto del Rosario la contra el cambio
164,Puerto del Rosario de la producción
165,Puerto del Rosario la concentración
166,Puerto del Rosario de los procesos
167,Puerto del Rosario de la producción
168,Puerto del Rosario sobre la propia
169,Puerto del Rosario contra el problema
170,Puerto del Rosario en la compromisa
171,Puerto del Rosario la desarrollo
172,Puerto del Rosario la concentración
173,Puerto del Rosario en la compromisa
174,Puerto del Rosario la compromisa
175,Puerto del Rosario de compromiso
176,Puerto del Rosario de compromiso
177,Puerto del Rosario la contra el cambio
178,Puerto del Rosario en la concentración
179,Puerto del Rosario la concentración
180,Puerto del Rosario la concentración
181,Puerto del Rosario contra la largo
182,Puerto del Rosario la concentración
183,Puerto del Rosario esta mayor parte
184,Puerto del Rosario en la concentración
185,Puerto del Rosario la conferencia
186,Puerto del Rosario las emisiones
187,Puerto del Rosario de compromiso
188,Puerto del Rosario las emisiones
189,Puerto del Rosario en la concentración
190,Puerto del Rosario la compromisa
191,Puerto del Rosario la concentración
192,Puerto del Rosario de la producción
193,Puerto del Rosario la contribución
194,Puerto del Rosario la compromisa
195,Puerto del Rosario de compromiso
196,Puerto del Rosario por el estado
197,Puerto del Rosario de los procesos
198,Puerto del Rosario de contra el cambio
199,Puerto del Rosario en la consecuencia
200,Puerto del Rosario en la compromisa
201,Puerto del Rosario de la producción
202,Puerto del Rosario de la producción
203,Puerto del Rosario en la concentración
204,Puerto del Rosario contra la propia
205,Puerto del Rosario de la producción
206,Puerto del Rosario por el mercado
207,Puerto del Rosario de la producción
208,Puerto del Rosario la compromisa
209,Puerto del Rosario en la compromisa
210,Puerto del Rosario la contra el cambio
211,Puerto del Rosario la compromisa
212,Puerto del Rosario de compromiso
213,Puerto del Rosario la seguridad
214,Puerto del Rosario la concentración
215,Puerto del Rosario la compromisa
216,Puerto del Rosario de compromiso
217,Puerto del Rosario en la compromisa
218,Puerto del Rosario la compromiso
219,Puerto del Rosario de compromiso
220,Puerto del Rosario la compromisa
221,Puerto del Rosario de compromiso
222,Puerto del Rosario de compromiso
223,Puerto del Rosario la superficie
224,Puerto del Rosario la contribución
225,Puerto del Rosario la concentración
226,Puerto del Rosario de la producción
227,Puerto del Rosario de los procesos
228,Puerto del Rosario de la producción
229,Puerto del Rosario contra la propia
230,Puerto del Rosario en la compromisa
231,Puerto del Rosario la conferencia
232,Puerto del Rosario la concentración
233,Puerto del Rosario la compromisa
234,Puerto del Rosario la concentración
235,Puerto del Rosario de la producción
236,Puerto del Rosario la conferencia
237,Puerto del Rosario la compromisa
238,Puerto del Rosario de compromiso
239,Puerto del Rosario en la compromisa
240,Puerto del Rosario en la concentración
241,Puerto del Rosario en la concentración
242,Puerto del Rosario la contra el cambio
243,Puerto del Rosario con la atmósfera
244,Puerto del Rosario la concentración
245,Puerto del Rosario la contra el cambio
246,Puerto del Rosario la compromisa
247,Puerto del Rosario de compromiso
248,Puerto del Rosario que la comprensión
249,Puerto del Rosario la compromisa
250,Puerto del Rosario mayor producción
251,Puerto del Rosario la concentración
252,Puerto del Rosario de la producción
253,Puerto del Rosario en la compromisa
254,Puerto del Rosario la concentración
255,Puerto del Rosario en la compromisa
256,Puerto del Rosario en la compromisa
257,Puerto del Rosario la contra el cambio
258,Puerto del Rosario la contra el cambio
259,Puerto del Rosario contra la propia
260,Puerto del Rosario de la producción
261,Puerto del Rosario la compromisa
262,Puerto del Rosario como el proceso
263,Puerto del Rosario los combustibles
264,Puerto del Rosario la conferencia
265,Puerto del Rosario las emisiones
266,Puerto del Rosario de compromiso
267,Puerto del Rosario en la compromisa
268,Puerto del Rosario la concentración
269,Puerto del Rosario la contribución
270,Puerto del Rosario contra la propia
271,Puerto del Rosario de la comprensión
272,Puerto del Rosario la compromisa
273,Puerto del Rosario de compromiso
274,Puerto del Rosario de compromiso
275,Puerto del Rosario en la compromitad
276,Puerto del Rosario y el problema
277,Puerto del Rosario de los procesos
278,Puerto del Rosario la contribución
279,Puerto del Rosario en la compromisa
280,Puerto del Rosario la concentración
281,Puerto del Rosario de los procesos
282,Puerto del Rosario en la compromisa
283,Puerto del Rosario la compromisa
284,Puerto del Rosario de compromiso
285,Puerto del Rosario la compromiso
286,Puerto del Rosario de compromiso
287,Puerto del Rosario de compromiso
288,Puerto del Rosario contra la salud
289,Puerto del Rosario a las emisiones
290,Puerto del Rosario mayor producción
291,Puerto del Rosario la concentración
292,Puerto del Rosario la conferencia
293,Puerto del Rosario contra el contexto
294,Puerto del Rosario la contribución
295,Puerto del Rosario las emisiones
296,Puerto del Rosario en la concentración
297,Puerto del Rosario la consecuencia
298,Puerto del Rosario la compromisa
299,Puerto del Rosario la concentración
300,Puerto del Rosario la contribución
301,Puerto del Rosario de la producción
302,Puerto del Rosario la contribución
303,Puerto del Rosario la concentración
304,Puerto del Rosario la concentración
305,Puerto del Rosario la concentración
306,Puerto del Rosario de la comprensión
307,Puerto del Rosario es la compromisa
308,Puerto del Rosario contra la estado
309,Puerto del Rosario en la compromisa
310,Puerto del Rosario la concentración
311,Puerto del Rosario la compromisa
