,verse,terminacion
0,Puerto del Rosario load libraries,"[<'li':cv>, <'bra':ccV>, <'ries':cvVs>]"
1,Puerto del Rosario ### load model,"[<'mo':cV>, <'del':cVc>]"
2,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
3,Puerto del Rosario la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
4,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
5,Puerto del Rosario contra el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
6,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
7,Puerto del Rosario de la intersidad,"[<'in':vc>, <'ter':cVc>, <'si':sv>, <'dad':cVc>]"
8,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
9,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
10,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
11,Puerto del Rosario la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
12,Puerto del Rosario estado de cambio,"[<'cam':cVc>, <'bio':cvV>]"
13,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
14,Puerto del Rosario la compra de esta,"[<'es':Vs>, <'ta':cV>]"
15,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
16,Puerto del Rosario la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
17,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
18,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
19,Puerto del Rosario el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
20,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
21,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
22,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
23,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
24,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
25,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
26,Puerto del Rosario la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
27,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
28,Puerto del Rosario la estrategía,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gí':cV>, <'a':V>]"
29,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
30,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
31,Puerto del Rosario en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
32,Puerto del Rosario de la estratora,"[<'es':Vs>, <'tra':ccV>, <'to':cV>, <'ra':cV>]"
33,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
34,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
35,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
36,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
37,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
38,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
39,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
40,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
41,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
42,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
43,Puerto del Rosario en la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
44,Puerto del Rosario la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
45,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
46,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
47,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
48,Puerto del Rosario la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
49,Puerto del Rosario de los procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
50,Puerto del Rosario de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
51,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
52,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
53,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
54,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
55,Puerto del Rosario como la propia,"[<'pro':ccV>, <'pia':cvV>]"
56,Puerto del Rosario la propia como,"[<'co':cV>, <'mo':cV>]"
57,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
58,Puerto del Rosario contra la propia,"[<'pro':ccV>, <'pia':cvV>]"
59,Puerto del Rosario la propia contra,"[<'con':cVc>, <'tra':ccV>]"
60,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
61,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
62,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
63,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
64,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
65,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
66,Puerto del Rosario en las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
67,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
68,Puerto del Rosario en el petróleo,"[<'pe':cV>, <'tró':ccV>, <'le':cV>, <'o':V>]"
69,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
70,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
71,Puerto del Rosario de la contración,"[<'con':cVc>, <'tra':ccV>, <'ción':cvVc>]"
72,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
73,Puerto del Rosario climático está,"[<'es':Vs>, <'tá':cV>]"
74,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
75,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
76,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
77,Puerto del Rosario contra un proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
78,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
79,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
80,Puerto del Rosario la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
81,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
82,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
83,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
84,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
85,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
86,Puerto del Rosario en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
87,Puerto del Rosario la compromitad,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'tad':cVc>]"
88,Puerto del Rosario de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
89,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
90,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
91,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
92,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
93,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
94,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
95,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
96,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
97,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
98,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
99,Puerto del Rosario en la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
100,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
101,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
102,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
103,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
104,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
105,Puerto del Rosario la compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
106,Puerto del Rosario de combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
107,Puerto del Rosario la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
108,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
109,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
110,Puerto del Rosario por el promedio,"[<'pro':ccV>, <'me':cV>, <'dio':cvV>]"
111,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
112,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
113,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
114,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
115,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
116,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
117,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
118,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
119,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
120,Puerto del Rosario la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
121,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
122,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
123,Puerto del Rosario la capacidad,"[<'ca':cV>, <'pa':cV>, <'ci':cv>, <'dad':cVc>]"
124,Puerto del Rosario muchos procesos,"[<'pro':ccV>, <'ce':cV>, <'sos':sVs>]"
125,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
126,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
127,Puerto del Rosario en la consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
128,Puerto del Rosario por el proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
129,Puerto del Rosario de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
130,Puerto del Rosario por el proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
131,Puerto del Rosario en la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
132,Puerto del Rosario su proporciona,"[<'pro':ccV>, <'por':cVc>, <'cio':cvV>, <'na':cV>]"
133,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
134,Puerto del Rosario de contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
135,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
136,Puerto del Rosario de la actualidad,"[<'ac':Vc>, <'tua':cvV>, <'li':cv>, <'dad':cVc>]"
137,Puerto del Rosario de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
138,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
139,Puerto del Rosario de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
140,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
141,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
142,Puerto del Rosario en la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
143,Puerto del Rosario de esta población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
144,Puerto del Rosario el temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
145,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
146,Puerto del Rosario la contribución,"[<'con':cVc>, <'tri':ccv>, <'bu':cv>, <'ción':cvVc>]"
147,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
148,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
149,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
150,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
151,Puerto del Rosario la compromisa,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'sa':sV>]"
152,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
153,Puerto del Rosario de la demanda,"[<'de':cV>, <'man':cVc>, <'da':cV>]"
154,Puerto del Rosario de la comprensión,"[<'com':cVc>, <'pren':ccVc>, <'sión':svVc>]"
155,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
156,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
157,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
158,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
159,Puerto del Rosario la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
160,Puerto del Rosario la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
161,Puerto del Rosario las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
162,Puerto del Rosario de compromiso,"[<'com':cVc>, <'pro':ccV>, <'mi':cv>, <'so':sV>]"
163,Puerto del Rosario la contra el cambio,"[<'cam':cVc>, <'bio':cvV>]"
