,endecasílabo
0,Quatre Bornes proyecto la actividad
1,Quatre Bornes en la recursosidad
2,Quatre Bornes de entre el parto del mismo
3,Quatre Bornes ural de los países
4,Quatre Bornes los países de nuestro
5,Quatre Bornes los s en el carbono
6,Quatre Bornes la alternción de la salud
7,Quatre Bornes as en el sistema almo
8,Quatre Bornes nte de la comperación
9,Quatre Bornes márido de la carta
10,Quatre Bornes es un siglo xx estos
11,Quatre Bornes de las concentraciones
12,Quatre Bornes consumo en la segunda
13,Quatre Bornes de la función de carbón
14,Quatre Bornes calentamiento mientras
15,Quatre Bornes las nubes del proceso
16,Quatre Bornes la base de la mayor
17,Quatre Bornes la mituda en la unfcca
18,Quatre Bornes te de los combustibles
19,Quatre Bornes de algunos importantes
20,Quatre Bornes ntuad para diversidad
21,Quatre Bornes es el mercado pero
22,Quatre Bornes de la emisión de emisión
23,Quatre Bornes es de algunos países
24,Quatre Bornes compensario a la intersión
25,Quatre Bornes carbona en la energía
26,Quatre Bornes e la nueva alta al nivel
27,Quatre Bornes en la inercia de efectos
28,Quatre Bornes re en la emisión de todos
29,Quatre Bornes el que debe el mercado
30,Quatre Bornes considerable al siglo
31,Quatre Bornes lo que hay que se viere
32,Quatre Bornes el estado de cumbre
33,Quatre Bornes de cumbre de la ommera
34,Quatre Bornes en la contaminación
35,Quatre Bornes de las concentraciones
36,Quatre Bornes los países de efectos
37,Quatre Bornes los periodos de calor
38,Quatre Bornes calor de los países
39,Quatre Bornes e medidas permiten
40,Quatre Bornes permiten de la tierra
41,Quatre Bornes de la temperatura
42,Quatre Bornes contribución en la esta
43,Quatre Bornes de la temperatura
44,Quatre Bornes los neoliberales
45,Quatre Bornes io de la contribución
46,Quatre Bornes timo en la sopirticad
47,Quatre Bornes general del progreso
48,Quatre Bornes se se puede ser tener
49,Quatre Bornes umbre al calentamiento
50,Quatre Bornes ado de la sociedad
51,Quatre Bornes en la temperatura
52,Quatre Bornes de la temperatura
53,Quatre Bornes s de esta poderpera
54,Quatre Bornes n las concentraciones
55,Quatre Bornes la lucha de ser alta
56,Quatre Bornes el paso de la guerra
57,Quatre Bornes ente a la seguridad
58,Quatre Bornes de las temperaturas
59,Quatre Bornes ición de su procisa
60,Quatre Bornes por la temperatura
61,Quatre Bornes e que se pode para
62,Quatre Bornes a un forzamiento también
63,Quatre Bornes de la forma de casa
64,Quatre Bornes consumo de emisiones
65,Quatre Bornes de emisiones de gases
66,Quatre Bornes se desarrollan casa
67,Quatre Bornes e a mucha marca descual
68,Quatre Bornes para mayor aumento
69,Quatre Bornes del mar de los países
70,Quatre Bornes consideración para
71,Quatre Bornes inda de las palieras
72,Quatre Bornes cuentia de la producción
73,Quatre Bornes podría energética
74,Quatre Bornes a los interseñores
75,Quatre Bornes las oficinas para
76,Quatre Bornes bien en el correcionar
77,Quatre Bornes de los comparaciones
78,Quatre Bornes comparaciones de esta
79,Quatre Bornes por consumidor para
80,Quatre Bornes siglo xx que los partes
81,Quatre Bornes los combustibles fueron
82,Quatre Bornes entarión de las pautas
83,Quatre Bornes las pautas de emisiones
84,Quatre Bornes energéticos entre
85,Quatre Bornes puede ser concentración
86,Quatre Bornes concentración del caso
87,Quatre Bornes se se contenta el marco
88,Quatre Bornes así como un problema
89,Quatre Bornes s de la contratuira
90,Quatre Bornes consecuencia del clima
91,Quatre Bornes del clima de modelos
92,Quatre Bornes aumento del problema
93,Quatre Bornes primer calentamiento
94,Quatre Bornes calentamiento global
95,Quatre Bornes global de la estudida
96,Quatre Bornes ientia de la previsión
97,Quatre Bornes e de la conferencia
98,Quatre Bornes la tierra y contención
99,Quatre Bornes contención de los partes
100,Quatre Bornes ente de la actividad
101,Quatre Bornes de las gases de efecto
102,Quatre Bornes mente de la población
103,Quatre Bornes de la población están
104,Quatre Bornes previsión de los medios
105,Quatre Bornes carbono e internacional
106,Quatre Bornes problema de emisiones
107,Quatre Bornes del gas de los altimos
108,Quatre Bornes de los altimos o antes
109,Quatre Bornes ico de los alternos
110,Quatre Bornes los alternos de especies
111,Quatre Bornes idente en los países
112,Quatre Bornes es puedo estar la salud
113,Quatre Bornes ente de los efectos
114,Quatre Bornes el estado por algo
115,Quatre Bornes con el calentamiento
116,Quatre Bornes s pueden el mercado
117,Quatre Bornes el mercado que el amor
118,Quatre Bornes ima de la segunda
119,Quatre Bornes de las países para
120,Quatre Bornes que el impacto de un clima
121,Quatre Bornes de la temperatura
122,Quatre Bornes producto a los estados
123,Quatre Bornes despertar lo que es una
124,Quatre Bornes a de los combustibles
125,Quatre Bornes de las concentraciones
126,Quatre Bornes cial en los retroposos
127,Quatre Bornes del principal responsar
128,Quatre Bornes tiempo la mayor parte
129,Quatre Bornes e partir del problema
130,Quatre Bornes del problema del medio
131,Quatre Bornes en la temperatura
132,Quatre Bornes del nivel del mar de estos
133,Quatre Bornes a la precisión para
134,Quatre Bornes esta de los periodos
135,Quatre Bornes los periodos del pauso
136,Quatre Bornes del pauso medio ambiente
137,Quatre Bornes medidas por la emisión
138,Quatre Bornes intencia de agua tantos
139,Quatre Bornes los países previstos
140,Quatre Bornes procesos que permitan
141,Quatre Bornes los efectos fósiles
142,Quatre Bornes del mar soda este tiempo
143,Quatre Bornes de los economistas
144,Quatre Bornes o continua el distinto
145,Quatre Bornes en crecimiento sobre
146,Quatre Bornes sobre la diversidad
147,Quatre Bornes gran pera de los solor
148,Quatre Bornes los solor por el carbón
149,Quatre Bornes calentamiento global
150,Quatre Bornes bar de la concentración
151,Quatre Bornes de la segunda escala
152,Quatre Bornes el amor de la capa
153,Quatre Bornes interecificación
154,Quatre Bornes cuenta a los paleares
155,Quatre Bornes de la ieversidad dio esta
156,Quatre Bornes que el consumo en la mayor
157,Quatre Bornes de calar el informe
158,Quatre Bornes el informe del nivel
159,Quatre Bornes la energía nuclear
160,Quatre Bornes ivo de la estrategia
161,Quatre Bornes nada ha muy difícil
162,Quatre Bornes de la alta a la antórica
163,Quatre Bornes e de la conferencia
164,Quatre Bornes consecuencia del poder
165,Quatre Bornes del poder de los partes
166,Quatre Bornes gei y el consecuencia
167,Quatre Bornes de la cumbre del clima
168,Quatre Bornes la cumbre del clima este
169,Quatre Bornes por esta consecuencia
170,Quatre Bornes de la segunda parte
171,Quatre Bornes ar se pueden recursos
172,Quatre Bornes el carbono e intensidad
173,Quatre Bornes a menos del problema
174,Quatre Bornes la cupación al madio
175,Quatre Bornes control de los acuerdos
