,verse,terminacion
0,Queens ir aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
1,Queens los países o la alteración,"[<'al':Vc>, <'te':cV>, <'ra':cV>, <'ción':cvVc>]"
2,Queens si debería la estrategia,"[<'es':Vs>, <'tra':ccV>, <'te':cV>, <'gia':cvV>]"
3,Queens los países de nuestro parte,"[<'par':cVc>, <'te':cV>]"
4,Queens nuestro parte de las especies,"[<'es':Vs>, <'pe':cV>, <'cies':cvVs>]"
5,Queens en los eficientes con partes,"[<'par':cVc>, <'tes':cVs>]"
6,Queens con partes de la economía,"[<'e':V>, <'co':cV>, <'no':cV>, <'mí':cV>, <'a':V>]"
7,Queens dicional de la humanidad,"[<'hu':cv>, <'ma':cV>, <'ni':cv>, <'dad':cVc>]"
8,Queens e las partes de la biosfera,"[<'bios':cvVs>, <'fe':cV>, <'ra':cV>]"
9,Queens la temperatura en los palas,"[<'pa':cV>, <'las':cVs>]"
10,Queens composiciones de la alternción,"[<'al':Vc>, <'ter':cVc>, <'nción':ccvVc>]"
11,Queens en un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
12,Queens márido de la carta de esta,"[<'es':Vs>, <'ta':cV>]"
13,Queens la temperatura es un siglo,"[<'si':sv>, <'glo':ccV>]"
14,Queens conterir la desempleación,"[<'de':cV>, <'sem':sVc>, <'ple':ccV>, <'a':V>, <'ción':cvVc>]"
15,Queens la contribución del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
16,Queens la base de la mayor parte,"[<'par':cVc>, <'te':cV>]"
17,Queens de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
18,Queens su mara de la seguridad,"[<'se':sV>, <'gu':cv>, <'ri':cv>, <'dad':cVc>]"
19,Queens gustos de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
20,Queens los países de los patrones,"[<'pa':cV>, <'tro':ccV>, <'nes':cVs>]"
21,Queens de los metos de la ingenida,"[<'in':vc>, <'ge':cV>, <'ni':cv>, <'da':cV>]"
22,Queens el especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
23,Queens también en la contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
24,Queens los correstos de alternaciones,"[<'al':Vc>, <'ter':cVc>, <'na':cV>, <'cio':cvV>, <'nes':cVs>]"
25,Queens gue para la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
26,Queens consecuencia y los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
27,Queens ricado de la conferencia,"[<'con':cVc>, <'fe':cV>, <'ren':cVc>, <'cia':cvV>]"
28,Queens de la conferencia se pueden,"[<'pue':cvV>, <'den':cVc>]"
29,Queens de la tierra por un consenso,"[<'con':cVc>, <'sen':sVc>, <'so':sV>]"
30,Queens la esta alla y la diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
31,Queens de la sonientia con el actual,"[<'ac':Vc>, <'tual':cvVc>]"
32,Queens en la aperación de la centra,"[<'cen':cVc>, <'tra':ccV>]"
33,Queens con la reda de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
34,Queens en los procesos de la inversión,"[<'in':vc>, <'ver':cVc>, <'sión':svVc>]"
35,Queens estar general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
36,Queens la solidad de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
37,Queens ir el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Queens la energía no en los dectriales,"[<'dec':cVc>, <'tria':ccvV>, <'les':cVs>]"
39,Queens la concentración del proyecto,"[<'pro':ccV>, <'yec':cVc>, <'to':cV>]"
40,Queens umbre al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
41,Queens actividades políticos,"[<'po':cV>, <'lí':cV>, <'ti':cv>, <'cos':cVs>]"
42,Queens políticos definitivas,"[<'de':cV>, <'fi':cv>, <'ni':cv>, <'ti':cv>, <'vas':cVs>]"
43,Queens con el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
44,Queens la de la oriente climática,"[<'cli':ccv>, <'má':cV>, <'ti':cv>, <'ca':cV>]"
45,Queens en la temperatura medio,"[<'me':cV>, <'dio':cvV>]"
46,Queens de los combustibles fósiles,"[<'fó':cV>, <'si':sv>, <'les':cVs>]"
47,Queens ente de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
48,Queens ente a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
49,Queens de su procisa de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
50,Queens la población de la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
51,Queens tendrámente en la caleración,"[<'ca':cV>, <'le':cV>, <'ra':cV>, <'ción':cvVc>]"
52,Queens que se pode para las partes,"[<'par':cVc>, <'tes':cVs>]"
53,Queens en la cauta de las segundas,"[<'se':sV>, <'gun':cvc>, <'das':cVs>]"
54,Queens de calidad y el sistema,"[<'sis':svs>, <'te':cV>, <'ma':cV>]"
55,Queens la mayoría de la forma,"[<'for':cVc>, <'ma':cV>]"
56,Queens de la forma de casa informe,"[<'in':vc>, <'for':cVc>, <'me':cV>]"
57,Queens la emisión de las decisiones,"[<'de':cV>, <'ci':cv>, <'sio':svV>, <'nes':cVs>]"
58,Queens aumento del clima en la tierra,"[<'tie':cvV>, <'rra':ccV>]"
59,Queens de las palieras de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
60,Queens energética en el mercado,"[<'mer':cVc>, <'ca':cV>, <'do':cV>]"
61,Queens centir a los interseñores,"[<'in':vc>, <'ter':cVc>, <'se':sV>, <'ño':cV>, <'res':cVs>]"
62,Queens de la mayoría del control,"[<'con':cVc>, <'trol':ccVc>]"
63,Queens medio ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
64,Queens bien en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
65,Queens de los comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
66,Queens continuación de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
67,Queens la población de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
68,Queens por consumidor para estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
69,Queens de la pertida de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
70,Queens las decientes energéticos,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'cos':cVs>]"
71,Queens modelo actual con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
72,Queens esta el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
73,Queens en el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
74,Queens de consumo con el estado,"[<'es':Vs>, <'ta':cV>, <'do':cV>]"
75,Queens la concentración de los medios,"[<'me':cV>, <'dios':cvVs>]"
76,Queens funda se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
77,Queens como un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
78,Queens registrar como consecuencia,"[<'con':cVc>, <'se':sV>, <'cuen':cvVc>, <'cia':cvV>]"
79,Queens como consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
80,Queens en la manor aliminación,"[<'a':V>, <'li':cv>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
81,Queens o que se hace la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
82,Queens contribuyen a los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
83,Queens primer calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
84,Queens las inversiones en el caso,"[<'ca':cV>, <'so':sV>]"
85,Queens de los efectos finalistas,"[<'fi':cv>, <'na':cV>, <'lis':cvs>, <'tas':cVs>]"
86,Queens contribución sobre el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
87,Queens sobre el carbono y las partes,"[<'par':cVc>, <'tes':cVs>]"
88,Queens de la previsión del acesto,"[<'a':V>, <'ces':cVs>, <'to':cV>]"
89,Queens del acesto de la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
90,Queens el proceso de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
91,Queens los países de la sociedad,"[<'so':sV>, <'cie':cvV>, <'dad':cVc>]"
92,Queens de la actividad de las gases,"[<'ga':cV>, <'ses':sVs>]"
93,Queens mente de la población están,"[<'es':Vs>, <'tán':cVc>]"
94,Queens la sociedad de la población,"[<'po':cV>, <'bla':ccV>, <'ción':cvVc>]"
95,Queens la población de la información,"[<'in':vc>, <'for':cVc>, <'ma':cV>, <'ción':cvVc>]"
96,Queens previsión de los medios de este,"[<'es':Vs>, <'te':cV>]"
97,Queens del gas de los altimos o antes,"[<'an':Vc>, <'tes':cVs>]"
98,Queens por la buena contaminación,"[<'con':cVc>, <'ta':cV>, <'mi':cv>, <'na':cV>, <'ción':cvVc>]"
99,Queens los países de la eficiencia,"[<'e':V>, <'fi':cv>, <'cien':cvVc>, <'cia':cvV>]"
100,Queens la combustión de la cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
101,Queens puedo estar la salud humana,"[<'hu':cv>, <'ma':cV>, <'na':cV>]"
102,Queens te parte de las emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
103,Queens de las emisiones del nivel,"[<'ni':cv>, <'vel':cVc>]"
104,Queens de los efectos para el amor,"[<'a':V>, <'mor':cVc>]"
105,Queens contente de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
