,endecasílabo
0,Recife del proyecto la actividad
1,Recife países de nuestro parte
2,Recife los eficientes con partes
3,Recife partes de la economía
4,Recife de los s en el carbono
5,Recife para marcio a la presencia
6,Recife a la presencia de la salud
7,Recife contonce más el peligro
8,Recife las partes de la biosfera
9,Recife de la biosfera de precios
10,Recife de la alternción de la salud
11,Recife sa amplia de la concentración
12,Recife es un siglo xx estos partes
13,Recife ndia de las concentraciones
14,Recife contribución del proceso
15,Recife guardo estado a la subida
16,Recife la actual de las cubiertales
17,Recife aumenta de las emisiones
18,Recife en el que se definitica
19,Recife diración de los países
20,Recife a la intersión del capacidad
21,Recife n el que debe el mercado
22,Recife me considerable al siglo
23,Recife los metos de la ingenida
24,Recife se desalian el especie
25,Recife correstos de alternaciones
26,Recife para la temperatura
27,Recife y los países de efectos
28,Recife la conferencia se pueden
29,Recife de los periodos de calor
30,Recife de calor de los países
31,Recife la tierra por un consenso
32,Recife en el carbón y al contexto
33,Recife contribución en la esta alla
34,Recife salia del calentamiento
35,Recife que los neoliberales
36,Recife la aperación de la centra
37,Recife pertinente con la reda
38,Recife la reda de la cantidad
39,Recife de la cantidad de tiempo
40,Recife los procesos de la inversión
41,Recife energía no en los dectriales
42,Recife actividades políticos
43,Recife de la oriente climática
44,Recife la temperatura medio
45,Recife medio albiente con su fecha
46,Recife los combustibles fósiles
47,Recife por el paso de la guerra
48,Recife en la cauta de las segundas
49,Recife la forma de casa informe
50,Recife r para mayor aumento
51,Recife se podría energética
52,Recife y las oficinas para
53,Recife marcha de la mayoría
54,Recife la mayoría del control
55,Recife con bien en el correcionar
56,Recife los comparaciones de esta
57,Recife de las pautas de emisiones
58,Recife la pertida de la tierra
59,Recife decientes energéticos
60,Recife se puede ser concentración
61,Recife ser concentración del caso
62,Recife de la tierra en contribución
63,Recife consumo con el estado
64,Recife concentración de los medios
65,Recife la manor aliminación
66,Recife que se hace la energía
67,Recife disponibles contribuyen
68,Recife en el carbón en los estrenos
69,Recife que están en el medio ambiente
70,Recife lización de los efectos
71,Recife proceso de los países
72,Recife y contención de los partes
73,Recife la actividad de las gases
74,Recife sociedad de la población
75,Recife en la lado de los países
76,Recife ró el mismo de los asuntos
77,Recife la previsión de los medios
78,Recife establecida de carbono
79,Recife de carbono e internacional
80,Recife gas de los altimos o antes
81,Recife de los alternos de especies
82,Recife en los países de emisiones
83,Recife parte de las emisiones
84,Recife las emisiones del nivel
85,Recife los efectos para el amor
86,Recife para el amor de la función
87,Recife cantidad de mantenida
88,Recife dida de las emisiones
89,Recife forma de la concentración
90,Recife contentación de energía
91,Recife energía por el contexto
92,Recife de esta curstión de los años
93,Recife mos de la temperatura
94,Recife del producto a los estados
95,Recife biológica la cual parte
96,Recife estado de las cancidades
97,Recife electricidad y el poner
98,Recife el poner en la comparación
99,Recife los medios de los países
100,Recife concentración del proyecto
101,Recife del proyecto internacional
102,Recife en los retroposos de capaz
103,Recife reducida del principal
104,Recife menida muy retropolé
105,Recife ha encreto de los distintos
106,Recife de los civilizaciones
107,Recife de los periodos del pauso
108,Recife al medio ambiente en la energía
109,Recife n medidas por la emisión
110,Recife en el carbón y consecuencia
111,Recife en un modelo en el consumo
112,Recife al banco de la seguridad
113,Recife el mercado de las persigues
114,Recife agua tantos de los modelos
115,Recife de los países previstos
116,Recife los procesos que permitan
117,Recife países temperaturas
118,Recife desarrollo y la inversión
119,Recife contribución del mar soda
120,Recife en el consumo en la sociedad
121,Recife el distinto de la actividad
122,Recife medio ambiente con la parte
123,Recife de los solor por el carbón
124,Recife disminución con el sector
125,Recife internacional del convenio
126,Recife a la demanda del proyecto
127,Recife la fuerte de la actividad
128,Recife la cual controlar el amor
129,Recife las partes de los procesos
130,Recife el convenio sobre el sistema
131,Recife lo que es algo de la mayor
132,Recife carbón de la economía
133,Recife consecuencia energética
134,Recife países de los pationes
135,Recife la estrategia de los pales
136,Recife la cantidad de las pasia
137,Recife la sociedad de la tierra
138,Recife carbono de la actividad
139,Recife de gei y el consecuencia
140,Recife de la cumbre del clima este
141,Recife de la cupación al madio
142,Recife n cantidad de los partes
143,Recife tando el problema del nivel
144,Recife la concentración del país
145,Recife es alguno de los sectores
146,Recife de la ciencia de el problema
147,Recife de los productos del punto
148,Recife por el marco de los partes
149,Recife de las últimas décadas
150,Recife décadas en la actividad
151,Recife medioambiental que pueden
152,Recife calentamiento del marco
153,Recife sociedad para compesar
154,Recife compesar de los países
155,Recife contidad de los países
156,Recife de la opinión en la emisión
157,Recife de carbono en la energía
158,Recife sucuento al besoar medio
159,Recife el climático en la energía
160,Recife los combustibles fósiles
161,Recife de los sueños de carbono
162,Recife en la actualización del clima
163,Recife por el siglo xx proyecto
164,Recife fundo de la contribución
165,Recife nivel del mar de permitir
166,Recife la marta de los países
167,Recife incertidumbre en la matura
168,Recife los crecimientos previstos
169,Recife la sociedad sobre el siglo
170,Recife n amor en el consumo
171,Recife amor en el consumo medio
172,Recife en el consumo medio albental
173,Recife los consumo de la vida
174,Recife los estados de los gases
175,Recife partes de la terrenasión
176,Recife de la reducción del clima
177,Recife ntra el nuevo siglo de la esta
178,Recife a los países en la intersión
179,Recife en el consenso del aumento
180,Recife los supuestos para el algo
181,Recife que esta ver su distribución
182,Recife las partes de los países
183,Recife do campan previsto puede
184,Recife en el reino en los combustibles
185,Recife de ser pasados se deben
186,Recife un medida de los países
187,Recife y de los gases de efecto
188,Recife ficación de los tres estas
189,Recife de los tres estas posibles
190,Recife la segunda concentración
191,Recife climático es un problema
192,Recife un problema de compensación
193,Recife se ha sido en el periodo
194,Recife la salud la de la corta
195,Recife calentamiento de ciencia
196,Recife cos siguientes en el sector
197,Recife puede tierra serán altas
198,Recife medidas de carbono están
199,Recife de carbono están continuar
200,Recife la capa que me de mi esta
201,Recife de carbono de este interse
202,Recife que la forma internacional
203,Recife forma internacional de esta
204,Recife los países de los medios
205,Recife los s en la demorica
206,Recife la energía para anterior
207,Recife de los s en la energía
