,verse,terminacion
0,Saint-André proyecto la actividad,"[<'ac':Vc>, <'ti':cv>, <'vi':cv>, <'dad':cVc>]"
1,Saint-André aumento de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
2,Saint-André de entre el parto del mismo,"[<'mis':cvs>, <'mo':cV>]"
3,Saint-André los países de nuestro,"[<'nues':cvVs>, <'tro':ccV>]"
4,Saint-André los s en el carbono,"[<'car':cVc>, <'bo':cV>, <'no':cV>]"
5,Saint-André la alternción de la salud,"[<'sa':sV>, <'lud':cvc>]"
6,Saint-André nte de la comperación,"[<'com':cVc>, <'pe':cV>, <'ra':cV>, <'ción':cvVc>]"
7,Saint-André amplia de la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
8,Saint-André el mismo para la salud,"[<'sa':sV>, <'lud':cvc>]"
9,Saint-André un forzamiento márido,"[<'má':cV>, <'ri':cv>, <'do':cV>]"
10,Saint-André márido de la carta,"[<'car':cVc>, <'ta':cV>]"
11,Saint-André un siglo xx estos partes,"[<'par':cVc>, <'tes':cVs>]"
12,Saint-André de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
13,Saint-André consumo en la segunda,"[<'se':sV>, <'gun':cvc>, <'da':cV>]"
14,Saint-André en la segunda cantidad,"[<'can':cVc>, <'ti':cv>, <'dad':cVc>]"
15,Saint-André de la función de carbón,"[<'car':cVc>, <'bón':cVc>]"
16,Saint-André calentamiento mientras,"[<'mien':cvVc>, <'tras':ccVs>]"
17,Saint-André las nubes del proceso,"[<'pro':ccV>, <'ce':cV>, <'so':sV>]"
18,Saint-André la base de la mayor,"[<'ma':cV>, <'yor':cVc>]"
19,Saint-André la mituda en la unfcca,"[<'u':v>, <'nf':cc>, <'cca':ccV>]"
20,Saint-André te de los combustibles,"[<'com':cVc>, <'bus':cvs>, <'ti':cv>, <'bles':ccVs>]"
21,Saint-André actual de las cubiertales,"[<'cu':cv>, <'bier':cvVc>, <'ta':cV>, <'les':cVs>]"
22,Saint-André de algunos importantes,"[<'im':vc>, <'por':cVc>, <'tan':cVc>, <'tes':cVs>]"
23,Saint-André ntuad para diversidad,"[<'di':cv>, <'ver':cVc>, <'si':sv>, <'dad':cVc>]"
24,Saint-André el aumento del madida,"[<'ma':cV>, <'di':cv>, <'da':cV>]"
25,Saint-André de la emisión de emisión,"[<'e':V>, <'mi':cv>, <'sión':svVc>]"
26,Saint-André compensario a la intersión,"[<'in':vc>, <'ter':cVc>, <'sión':svVc>]"
27,Saint-André carbona en la energía,"[<'e':V>, <'ner':cVc>, <'gí':cV>, <'a':V>]"
28,Saint-André re en la emisión de todos,"[<'to':cV>, <'dos':cVs>]"
29,Saint-André considerable al siglo,"[<'si':sv>, <'glo':ccV>]"
30,Saint-André al siglo xx los estados,"[<'es':Vs>, <'ta':cV>, <'dos':cVs>]"
31,Saint-André lo que hay que se viere,"[<'vie':cvV>, <'re':cV>]"
32,Saint-André especie de los efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
33,Saint-André de cumbre de la ommera,"[<'om':Vc>, <'me':cV>, <'ra':cV>]"
34,Saint-André de las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
35,Saint-André los países de efectos,"[<'e':V>, <'fec':cVc>, <'tos':cVs>]"
36,Saint-André los periodos de calor,"[<'ca':cV>, <'lor':cVc>]"
37,Saint-André calor de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
38,Saint-André permiten de la tierra,"[<'tie':cvV>, <'rra':ccV>]"
39,Saint-André de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
40,Saint-André contribución en la esta,"[<'es':Vs>, <'ta':cV>]"
41,Saint-André de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
42,Saint-André los neoliberales,"[<'ne':cV>, <'o':V>, <'li':cv>, <'be':cV>, <'ra':cV>, <'les':cVs>]"
43,Saint-André timo en la sopirticad,"[<'so':sV>, <'pir':cvc>, <'ti':cv>, <'cad':cVc>]"
44,Saint-André general del progreso,"[<'pro':ccV>, <'gre':ccV>, <'so':sV>]"
45,Saint-André el amor con los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
46,Saint-André se se puede ser tener,"[<'te':cV>, <'ner':cVc>]"
47,Saint-André al calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
48,Saint-André el consumo de un recurso,"[<'re':cV>, <'cur':cvc>, <'so':sV>]"
49,Saint-André de la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
50,Saint-André s de esta poderpera,"[<'po':cV>, <'der':cVc>, <'pe':cV>, <'ra':cV>]"
51,Saint-André n las concentraciones,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'cio':cvV>, <'nes':cVs>]"
52,Saint-André la lucha de ser alta,"[<'al':Vc>, <'ta':cV>]"
53,Saint-André a la seguridad entre,"[<'en':Vc>, <'tre':ccV>]"
54,Saint-André de las temperaturas,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ras':cVs>]"
55,Saint-André por la temperatura,"[<'tem':cVc>, <'pe':cV>, <'ra':cV>, <'tu':cv>, <'ra':cV>]"
56,Saint-André de la forma de casa,"[<'ca':cV>, <'sa':sV>]"
57,Saint-André consumo de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
58,Saint-André de emisiones de gases,"[<'ga':cV>, <'ses':sVs>]"
59,Saint-André se desarrollan casa,"[<'ca':cV>, <'sa':sV>]"
60,Saint-André para mayor aumento,"[<'au':Vv>, <'men':cVc>, <'to':cV>]"
61,Saint-André del mar de los países,"[<'pa':cV>, <'í':V>, <'ses':sVs>]"
62,Saint-André consideración para,"[<'pa':cV>, <'ra':cV>]"
63,Saint-André cuentia de la producción,"[<'pro':ccV>, <'duc':cvc>, <'ción':cvVc>]"
64,Saint-André podría energética,"[<'e':V>, <'ner':cVc>, <'gé':cV>, <'ti':cv>, <'ca':cV>]"
65,Saint-André en el mercado probable,"[<'pro':ccV>, <'ba':cV>, <'ble':ccV>]"
66,Saint-André las oficinas para,"[<'pa':cV>, <'ra':cV>]"
67,Saint-André ambiente la concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
68,Saint-André bien en el correcionar,"[<'co':cV>, <'rre':ccV>, <'cio':cvV>, <'nar':cVc>]"
69,Saint-André en el correcionar nuestra,"[<'nues':cvVs>, <'tra':ccV>]"
70,Saint-André de los comparaciones,"[<'com':cVc>, <'pa':cV>, <'ra':cV>, <'cio':cvV>, <'nes':cVs>]"
71,Saint-André comparaciones de esta,"[<'es':Vs>, <'ta':cV>]"
72,Saint-André por consumidor para,"[<'pa':cV>, <'ra':cV>]"
73,Saint-André siglo xx que los partes,"[<'par':cVc>, <'tes':cVs>]"
74,Saint-André los combustibles fueron,"[<'fue':cvV>, <'ron':cVc>]"
75,Saint-André las pautas de emisiones,"[<'e':V>, <'mi':cv>, <'sio':svV>, <'nes':cVs>]"
76,Saint-André puede ser concentración,"[<'con':cVc>, <'cen':cVc>, <'tra':ccV>, <'ción':cvVc>]"
77,Saint-André concentración del caso,"[<'ca':cV>, <'so':sV>]"
78,Saint-André el mundo con el contexto,"[<'con':cVc>, <'tex':cVx>, <'to':cV>]"
79,Saint-André el estema de consumo,"[<'con':cVc>, <'su':sv>, <'mo':cV>]"
80,Saint-André se se contenta el marco,"[<'mar':cVc>, <'co':cV>]"
81,Saint-André un problema como el siglo,"[<'si':sv>, <'glo':ccV>]"
82,Saint-André s de la contratuira,"[<'con':cVc>, <'tra':ccV>, <'tui':cvv>, <'ra':cV>]"
83,Saint-André consecuencia del clima,"[<'cli':ccv>, <'ma':cV>]"
84,Saint-André del clima de modelos,"[<'mo':cV>, <'de':cV>, <'los':cVs>]"
85,Saint-André primer calentamiento,"[<'ca':cV>, <'len':cVc>, <'ta':cV>, <'mien':cvVc>, <'to':cV>]"
86,Saint-André calentamiento global,"[<'glo':ccV>, <'bal':cVc>]"
